,camp_name,house_num,house_ppl,time_camp,sex,age_group,ref,region,year
1,Safou,2,7,2,F,Enfant,D1,Dongou,2022
2,Safou,2,7,2,M,Adulte,D10,Dongou,2022
3,Bokombo4,1,4,5,F,Personne agée,D100,Dongou,2022
4,Bokombo4,3,2,5,F,Personne agée,D101,Dongou,2022
5,Bokombo4,1,4,5,F,Enfant,D102,Dongou,2022
6,Bokombo2,2,2,5,F,Adulte,D103,Dongou,2022
7,Bokombo3,1,2,5,M,Adulte,D104,Dongou,2022
8,Bokombo4,1,4,5,M,Personne agée,D105,Dongou,2022
9,Bokombo3,1,2,5,F,Adulte,D106,Dongou,2022
10,Bokombo1,5,5,5,M,Adulte,D107,Dongou,2022
11,Bokombo1,5,5,5,M,Enfant,D108,Dongou,2022
12,Bokombo1,5,5,5,F,Adulte,D109,Dongou,2022
13,Safou,1,3,2,F,Personne agée,D11,Dongou,2022
14,Bokombo1,5,5,5,M,Adulte,D110,Dongou,2022
15,Bokombo1,3,6,5,M,Enfant,D111,Dongou,2022
16,Bokombo1,1,2,4,F,Adulte,D112,Dongou,2022
17,Bokombo1,3,6,5,M,Enfant,D113,Dongou,2022
18,Bokombo1,3,6,5,M,Personne agée,D114,Dongou,2022
19,Bokombo1,3,6,5,F,Adulte,D115,Dongou,2022
20,Bokombo1,3,6,5,M,Adolescent,D116,Dongou,2022
21,Bokombo1,3,6,5,F,Personne agée,D117,Dongou,2022
22,Bokombo1,1,2,3,F,Enfant,D118,Dongou,2022
23,Bokombo6,9,4,2,M,Enfant,D119,Dongou,2022
24,Cacao,3,8,NA,F,Enfant,D12,Dongou,2022
25,Bokombo6,9,4,2,F,Adulte,D120,Dongou,2022
26,Bokombo6,9,4,2,M,Enfant,D121,Dongou,2022
27,Bokombo6,9,4,2,M,Adulte,D122,Dongou,2022
28,Bokombo6,8,8,2,M,Enfant,D123,Dongou,2022
29,Bokombo6,8,8,2,M,Enfant,D124,Dongou,2022
30,Bokombo6,8,8,2,M,Enfant,D125,Dongou,2022
31,Bokombo6,8,8,2,M,Enfant,D126,Dongou,2022
32,Bokombo6,8,8,2,M,Enfant,D127,Dongou,2022
33,Bokombo6,8,8,2,M,Adolescent,D128,Dongou,2022
