"","my_ref","mother","father","spouse","sibling","sib1","sib2","sib3","sib4","sib5","sib6","sib7","sib8","sib9","sib10"
"1","D1","D8","D10","0","D2,D3,D5,D6,D108","D2","D3","D5","D6","D108","","","","",""
"2","D10","0","0","D8","","","","","","","","","","",""
"3","D100","D101","0","D105","","","","","","","","","","",""
"4","D101","0","0","0","","","","","","","","","","",""
"5","D102","D100","D105","0","D88","D88","","","","","","","","",""
"6","D103","0","0","0","","","","","","","","","","",""
"7","D104","0","0","D106","","","","","","","","","","",""
"8","D105","0","0","D100","","","","","","","","","","",""
"9","D106","0","0","D104","","","","","","","","","","",""
"10","D107","0","0","0","","","","","","","","","","",""
"11","D108","D109","D10","0","D1,D2","D1","D2","","","","","","","",""
"12","D109","0","0","D110","","","","","","","","","","",""
"13","D11","0","0","D4","","","","","","","","","","",""
"14","D110","0","0","D109","","","","","","","","","","",""
"15","D111","D115","0","0","","","","","","","","","","",""
"16","D112","0","0","0","","","","","","","","","","",""
"17","D113","D117","D114","0","D115,D116","D115","D116","","","","","","","",""
"18","D114","0","0","D117","","","","","","","","","","",""
"19","D115","D117","D114","0","D113,D116","D113","D116","","","","","","","",""
"20","D116","D117","D114","0","D113,D115","D113","D115","","","","","","","",""
"21","D117","0","0","D114","","","","","","","","","","",""
"22","D118","D112","0","0","","","","","","","","","","",""
"23","D119","D120","D122","0","D121","D121","","","","","","","","",""
"24","D12","D17","D24","0","D13,D14,D25,D26,D27","D13","D14","D25","D26","D27","","","","",""
"25","D120","0","0","D122","","","","","","","","","","",""
"26","D121","D120","D122","0","D119","D119","","","","","","","","",""
"27","D122","0","0","D120","","","","","","","","","","",""
"28","D123","D129","D130","0","D124,D125,D126,D127,D128","D124","D125","D126","D127","D128","","","","",""
"29","D124","D129","D130","0","D123,D125,D126,D127,D128","D123","D125","D126","D127","D128","","","","",""
"30","D125","D129","D130","0","D123,D124,D126,D127,D128","D123","D124","D126","D127","D128","","","","",""
"31","D126","D129","D130","0","D123,D124,D125,D127,D128","D123","D124","D125","D127","D128","","","","",""
"32","D127","D129","D130","0","D123,D124,D125,D126,D128","D123","D124","D125","D126","D128","","","","",""
"33","D128","D129","D130","0","D123,D124,D125,D126,D127","D123","D124","D125","D126","D127","","","","",""
"34","D129","0","0","D130","","","","","","","","","","",""
"35","D13","D17","D24","0","D12,D14,D25,D26,D27","D12","D14","D25","D26","D27","","","","",""
"36","D130","0","0","D129","","","","","","","","","","",""
"37","D131","0","D132","0","","","","","","","","","","",""
"38","D132","0","0","0","","","","","","","","","","",""
"39","D133","D131","0","0","D134","D134","","","","","","","","",""
"40","D134","D131","0","0","D133","D133","","","","","","","","",""
"41","D135","0","0","0","","","","","","","","","","",""
"42","D136","0","0","0","","","","","","","","","","",""
"43","D137","0","0","0","","","","","","","","","","",""
"44","D138","0","0","D145,D143","","","","","","","","","","",""
"45","D139","0","0","0","","","","","","","","","","",""
"46","D14","D17","D24","0","D12,D13,D25,D26,D27","D12","D13","D25","D26","D27","","","","",""
"47","D140","D143","D138","0","D141,D142,D144","D141","D142","D144","","","","","","",""
"48","D141","D143","D138","0","D140,D142,D144","D140","D142","D144","","","","","","",""
"49","D142","D143","D138","0","D140,D141,D144","D140","D141","D144","","","","","","",""
"50","D143","0","0","D138","","","","","","","","","","",""
"51","D144","0","D138","0","D140,D141,D142","D140","D141","D142","","","","","","",""
"52","D145","0","0","D138","","","","","","","","","","",""
"53","D146","0","0","0","","","","","","","","","","",""
"54","D147","D148","D149","0","","","","","","","","","","",""
"55","D148","0","0","D149","","","","","","","","","","",""
"56","D149","0","0","D148","","","","","","","","","","",""
"57","D15","D22","D23","0","D16,D18,D19,D20,D21","D16","D18","D19","D20","D21","","","","",""
"58","D150","D152","D153","0","D151","D151","","","","","","","","",""
"59","D151","D152","D153","0","D150","D150","","","","","","","","",""
"60","D152","0","0","D153","","","","","","","","","","",""
"61","D153","0","0","D152","","","","","","","","","","",""
"62","D154","0","0","0","","","","","","","","","","",""
"63","D155","0","0","D160,D162","","","","","","","","","","",""
"64","D156","D157","D174","0","D175,D176","D175","D176","","","","","","","",""
"65","D157","0","0","D174","","","","","","","","","","",""
"66","D158","D160","D155","0","D159,D161","D159","D161","","","","","","","",""
"67","D159","D162","D155","0","D161,D158","D161","D158","","","","","","","",""
"68","D16","D22","D23","0","D15,D18,D19,D20,D21","D15","D18","D19","D20","D21","","","","",""
"69","D160","0","0","D155","","","","","","","","","","",""
"70","D161","D162","D155","0","D159,D158","D159","D158","","","","","","","",""
"71","D162","0","0","D155","","","","","","","","","","",""
"72","D163","D167","D168","0","D164,D165,D166","D164","D165","D166","","","","","","",""
"73","D164","D167","D168","0","D163,D165,D166","D163","D165","D166","","","","","","",""
"74","D165","D167","D168","0","D163,D164,D166","D163","D164","D166","","","","","","",""
"75","D166","D167","D168","0","D163,D164,D165","D163","D164","D165","","","","","","",""
"76","D167","0","0","D168","","","","","","","","","","",""
"77","D168","0","0","D167","","","","","","","","","","",""
"78","D169","0","0","D177","","","","","","","","","","",""
"79","D17","0","0","D24","","","","","","","","","","",""
"80","D170","D177","D169","0","D171,D172,D173","D171","D172","D173","","","","","","",""
"81","D171","D177","D169","0","D170,D172,D173","D170","D172","D173","","","","","","",""
"82","D172","D177","D169","0","D170,D171,D173","D170","D171","D173","","","","","","",""
