X,nom,ref,bp,married,age_married,where_met_spouse,how_met_spouse,married_before,times_married_before,prev_spouse_dead,prev_spouse_div,polygamy_ever,clan.x,clan_mum,clan_dad,clan_spouse,ref_spouse,bp_spouse,kids.x,kids_alive.x,house_num,house_ppl,time_camp,sex.x,region,year,camp_region,loc,people_number_2022,set_type
1,CAMP114,M202,Bangui,1,Adulte,Mboule,home_visit,1,1,,1,0,Bokiba,,,,203,Mboule,NA,3,1,5,1,M,Macao,2023,C,V,31,village_camp
2,CAMP114,M203,Bonga2,1,Adolescent,Mboule,funeral,0,,,NA,0,Bokobya,Sambala,Bokobya,Bokiba,200,Bangui,NA,3,1,5,1,F,Macao,2023,C,V,31,village_camp
3,CAMP114,M204,Bonga2,1,Adolescent,Boua,foraging,1,1,,1,1,Ebeke,Bombingo,Ebeke,Bokosso,206,Mboule,NA,3,2,5,2,F,Macao,2023,C,V,31,village_camp
4,CAMP114,M205,Bangui,1,Adolescent,mboule,funeral,0,,,NA,0,Bombela,,Bombela,,208,Mboule,NA,7,3,8,2,F,Macao,2023,C,V,31,village_camp
5,CAMP114,M161,Oui?,1,Bangui,village,Bangui,0,,,NA,0,NA,Mokumu,Bombela,"Ebonga, mokumu",Bangui,,5,0,2,6,2,M,Macao,2022,C,F,30,forest_camp
6,CAMP114,M206,Bonga2,1,Enfant,Baye,foraging,0,,,NA,0,Boundja,Sambala,Boundja,Bombingo,Aucun,Baye,NA,NA,4,6,2,F,Macao,2023,C,V,31,village_camp
7,CAMP114,M207,Bonga2,0,,,,0,,,NA,0,Bombingo,Boundja,Bombingo,,,,NA,0,4,6,2,M,Macao,2023,C,V,31,village_camp
8,CAMP035,M208,Bata,1,Adulte,Bangui,foraging,1,1,,1,0,Emeke,Mwepe,Emeke,Bongomba,213,Payo,NA,3,1,5,1,M,Macao,2023,C,V,11,village_camp
9,NA,M103,,1,Adolescent,Bangui,foraging,1,1,,1,0,Emanongo,Bongomba,Emanongo,Emeke,215,Bangui,1,NA,1,4,2,M,Macao,2022,C,F,30,forest_camp
10,NA,M104,Bangui,1,Adolescent,Boua1,foraging,0,,,NA,0,Emeke,Boundja,Emeke,Emanongo,214,Bangui,NA,NA,1,4,2,F,Macao,2022,C,F,30,forest_camp
11,CAMP056,M210,Adolescent,0,foraging,Bangui,Mike alphonsine,0,,Oui?,1,1,Dinze,Bokiba,"Bosando, dinze",La famille,,,NA,4,1,4,2,M,Macao,2023,C,V,34,village_camp
12,CAMP056,M211,Bangui,1,Enfant,Bobate,foraging,0,,,NA,0,Bokiba,Emeke,Bokiba,Bokobya,217,Bayanga,NA,5,1,4,2,F,Macao,2023,C,V,34,village_camp
13,CAMP056,M212,Bangui,1,Adolescent,Bangui,agriculture,0,,,NA,0,Bokiba,Emeke,Bokiba,Bongomba,220,Bangui,NA,4,2,5,3,M,Macao,2023,C,V,34,village_camp
14,CAMP056,M213,,1,Bangui,foraging,Bangui,0,,,NA,0,Bokiba,Bokiba,Emeke,"Ponga, bokiba",Bangui,,NA,3,7,3,3,M,Macao,2023,C,V,34,village_camp
15,CAMP056,M214,Bangui,1,Adulte,Bangui,home_visit,1,2,,1,0,Bokobya,Modjoue,Bokobya,Bosando,275,Bangui,NA,1,3,3,2,M,Macao,2023,C,V,34,village_camp
16,CAMP012,M220,Bangui,1,Adolescent,Koungou,funeral,1,1,1,NA,0,,Bokiba,,Boyemba,271,Payo,NA,0,1,2,1,M,Macao,2023,C,V,28,village_camp
17,CAMP012,M221,,1,Adulte,Bangui,foraging,1,2,,1,0,Bonguinda,Bobondjo,Bonguinda,Bongomba,234,,NA,2,2,4,1,F,Macao,2023,C,V,28,village_camp
18,CAMP012,M222,Likasa,1,Adulte,Bangui,home_visit,1,5,1,NA,0,Bongomba,Ngouta,Bongomba,Bonguinda,232,,NA,3,2,4,1,M,Macao,2023,C,V,28,village_camp
19,CAMP012,M223,,1,Adolescent,Bangui,foraging,0,,,NA,0,Bondongo,Bonguinda,Bondongo,Bokosso,236,Bangui,NA,8,3,10,1,F,Macao,2023,C,V,28,village_camp
20,CAMP012,M224,Bangui,1,Adulte,Bangui,foraging,0,,,NA,0,Tchaku,Tchaku,Bondongo,"Boundja, Tchaku",236,Bonguinda,NA,7,3,10,1,M,Macao,2023,C,V,28,village_camp
21,CAMP012,M227,Bangui,1,Adulte,Loundoungou,home_visit,1,1,,1,0,Bomboko,Bondongo,Bomboko,Bossombo,241,Macao,NA,1,4,3,1,F,Macao,2023,C,V,28,village_camp
22,CAMP012,M228,Djoube,1,Enfant,Bangui,foraging,0,,,NA,0,Bondongo,Bonguinda,Bondongo,Bomboko,240,Bangui,NA,7,5,5,1,F,Macao,2023,C,V,28,village_camp
23,CAMP012,M229,Bangui,1,Adolescent,Bangui,funeral,1,1,,1,0,Sambala,Sambala,Bondongo,Bombala et sambala,239,Djoube,NA,5,5,6,1,M,Macao,2023,C,V,28,village_camp
