,X,residence_camp,ref,sex,birthplace,age,children_alive,median_dist,max_dist,region,Lieu.de.naissance.de.leur.mère.coded,Lieu.de.naissance.de.leur.père.coded,Lieu.où.leur.mère.habite.coded,Lieu.où.leur.père.habite.coded,spouse_bp,mom_inlaw_bp,dad_inlaw_bp,dad_inlaw_living,mom_inlaw_living,spouse_myref,dist_bp_mom_bp,dist_living_mom_bp,dist_bp_dad_bp,dist_living_dad_bp,dist_living_own_bp,dist_living_mum_living,dist_living_dad_living,dist_bp_spouse_bp,dist_living_spouse_bp,dist_living_mum_inlaw_living,dist_living_dad_inlaw_living,dist_bp_mom_inlaw_bp,dist_living_mom_inlaw_bp,dist_bp_dad_inlaw_bp,dist_living_dad_inlaw_bp,camp_region.x,loc.x,people_number_2022.x,set_type
207,429,Kakelo6,M151,F,Bangui,Adulte,,11509.74892,47606.64384,Macao,Bangui,Mbandza,,,Macao,,Goubangoye,,,M150,0,11840.29787,NA,NA,11840.29787,NA,NA,47606.64384,50376.25398,NA,NA,NA,NA,91187.7485,96441.641,C,F,30,forest_camp
209,432,Kakelo4,M167,M,Bangui,Adulte,2,11704.0883,127175.4169,Macao,Bangui,Bangui,,,,,,,,0,0,11509.74892,0,11509.74892,11509.74892,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,F,30,forest_camp
210,433,Boua1,M90,F,Bangui,Adulte,,11105.41551,90648.67513,Macao,Bangui,Bangui,,,Bangui,,Bangui,,,M70,0,1752.499874,0,1752.499874,1752.499874,NA,NA,0,1752.499874,NA,NA,NA,NA,0,1752.499874,C,F,17,forest_camp
211,434,Kakelo6,M111,F,Bangui,Adulte,2,11509.74892,145508.9765,Macao,Bangui,Bangui,,,,,,,,0,0,11840.29787,0,11840.29787,11840.29787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,F,30,forest_camp
212,435,Kakelo4,M119,F,Bangui,Adolescent,,11307.58222,47606.64384,Macao,Bangui,Bangui,Kakelo4,,,,,,,0,0,11509.74892,0,11509.74892,11509.74892,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,F,30,forest_camp
213,438,Kakelo2,M132,F,Bangui,Adulte,,9328.283085,95966.91579,Macao,Bangui,Bangui,,,Bangui,Bangui,Bangui,,,M131,0,10679.80333,0,10679.80333,10679.80333,NA,NA,0,10679.80333,NA,NA,0,10679.80333,0,10679.80333,C,F,11,forest_camp
214,440,Kakelo5,M142,M,Bangui,Adolescent,,11509.74892,162268.2931,Macao,Bangui,Bangui,,,,,,,,0,0,11567.87874,0,11567.87874,11567.87874,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,F,9,forest_camp
215,442,Boua1,M63,F,Bangui,Personne âgee,,11509.74892,127175.4169,Macao,Bangui,Mombelou,,,Bangui,Bangui,Bangui,,,M62,0,1752.499874,NA,NA,1752.499874,NA,NA,0,1752.499874,NA,NA,0,1752.499874,0,1752.499874,C,F,17,forest_camp
216,443,Bateke1,M11,M,Djoubou,Adulte,,199970.7601,317760.3879,Macao,Djoubou,Djoubou,,,,,,,,0,0,192784.8818,0,192784.8818,192784.8818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,C,F,10,forest_camp
217,444,Kakelo4,M162,F,Bangui,Adulte,,21223.66746,47606.64384,Macao,Bangui,Bangui,,,Bangui,Bangui,Bangui,,,M161,0,11509.74892,0,11509.74892,11509.74892,NA,NA,0,11509.74892,NA,NA,0,11509.74892,0,11509.74892,C,F,30,forest_camp
