,ref,sex,region,median_dist,max_dist,min_dist,places_visited,times_live,times_just_visit,times_hunt,times_friend_visit,times_bantu_work,times_dance,times_fam_visit,times_fish,times_gather
1,D10,M,Dongou,NA,#NAME?,#NAME?,1,0,0,0,0,0,0,0,0,0
2,D100,F,Dongou,NA,#NAME?,#NAME?,3,0,0,0,0,0,0,2,0,0
3,D101,F,Dongou,NA,#NAME?,#NAME?,0,0,0,0,0,0,0,0,0,0
4,D103,F,Dongou,NA,#NAME?,#NAME?,3,0,0,0,0,0,0,3,0,0
5,D104,M,Dongou,NA,#NAME?,#NAME?,2,0,0,0,0,0,0,2,0,0
6,D105,M,Dongou,NA,#NAME?,#NAME?,2,0,0,1,0,0,0,1,0,0
7,D106,F,Dongou,NA,#NAME?,#NAME?,0,0,0,0,0,0,0,0,0,0
8,D107,M,Dongou,NA,#NAME?,#NAME?,3,0,0,0,0,0,1,2,0,0
9,D109,F,Dongou,NA,#NAME?,#NAME?,2,0,0,0,0,0,0,2,0,0
10,D11,F,Dongou,NA,#NAME?,#NAME?,0,0,0,0,0,0,0,0,0,0
11,D110,M,Dongou,NA,#NAME?,#NAME?,3,0,1,0,0,0,0,0,0,0
12,D112,F,Dongou,NA,#NAME?,#NAME?,2,0,0,0,0,0,0,1,0,0
13,D114,M,Dongou,NA,#NAME?,#NAME?,2,0,0,2,0,0,0,0,0,0
14,D115,F,Dongou,NA,#NAME?,#NAME?,1,0,0,0,0,0,0,0,1,0
15,D116,M,Dongou,NA,#NAME?,#NAME?,2,0,0,0,0,0,0,1,0,0
16,D117,F,Dongou,NA,#NAME?,#NAME?,1,0,0,0,0,0,0,0,1,0
17,D120,F,Dongou,NA,#NAME?,#NAME?,2,0,0,0,0,0,0,0,0,0
18,D122,M,Dongou,NA,#NAME?,#NAME?,2,0,0,0,0,0,0,0,0,0
19,D128,M,Dongou,NA,#NAME?,#NAME?,2,0,0,0,0,0,0,1,1,0
20,D129,F,Dongou,19234.9027,19234.9027,19234.9027,1,1,0,0,0,0,0,0,0,0
21,D130,M,Dongou,19234.9027,19234.9027,19234.9027,2,1,0,1,0,0,0,0,0,0
22,D131,F,Dongou,NA,#NAME?,#NAME?,2,0,0,0,0,0,0,0,0,0
23,D132,M,Dongou,NA,#NAME?,#NAME?,3,0,0,0,0,0,1,1,0,0
24,D135,F,Dongou,NA,#NAME?,#NAME?,0,0,0,0,0,0,0,0,0,0
25,D138,M,Dongou,NA,#NAME?,#NAME?,3,0,0,0,0,1,0,0,0,0
26,D143,F,Dongou,6473.81067,6473.81067,6473.81067,4,1,0,0,0,0,0,3,0,0
27,D144,F,Dongou,64881.5345,64881.5345,64881.5345,1,1,0,0,0,0,0,0,0,0
28,D145,F,Dongou,42058.2186,64881.5345,19234.9027,3,2,0,0,0,0,0,0,0,0
29,D147,M,Dongou,NA,#NAME?,#NAME?,1,0,0,0,1,0,0,0,0,0
30,D148,F,Dongou,NA,#NAME?,#NAME?,5,0,0,0,0,0,2,1,0,0
31,D149,M,Dongou,NA,#NAME?,#NAME?,6,0,0,0,0,4,0,2,0,0
32,D151,M,Dongou,NA,#NAME?,#NAME?,1,0,0,0,0,0,0,0,1,0
33,D152,F,Dongou,NA,#NAME?,#NAME?,2,0,0,0,0,0,0,0,0,0
34,D153,M,Dongou,9615.93709,12758.0635,6473.81067,5,2,0,0,0,1,0,2,0,0
35,D155,M,Dongou,NA,#NAME?,#NAME?,4,0,0,0,0,0,0,0,0,0
36,D156,F,Dongou,8439.31875,10286.4471,6592.19038,4,2,0,0,0,0,0,2,0,0
37,D157,F,Dongou,NA,#NAME?,#NAME?,3,0,0,0,0,0,0,2,0,0
38,D160,F,Dongou,6523.16886,6523.16886,6523.16886,3,1,0,0,0,0,0,0,1,0
39,D162,F,Dongou,NA,#NAME?,#NAME?,2,0,0,0,0,0,0,1,0,0
40,D167,F,Dongou,NA,#NAME?,#NAME?,2,0,0,0,0,0,1,0,0,0
41,D168,M,Dongou,19440.9745,19440.9745,19440.9745,2,1,0,0,0,0,0,0,0,0
42,D169,M,Dongou,NA,#NAME?,#NAME?,4,0,0,0,0,1,0,0,2,0
43,D17,F,Dongou,NA,#NAME?,#NAME?,1,0,0,0,0,0,0,0,0,0
44,D174,M,Dongou,NA,#NAME?,#NAME?,6,0,0,0,0,0,0,1,1,0
45,D176,M,Dongou,NA,#NAME?,#NAME?,1,0,0,0,0,0,1,0,0,0
46,D177,F,Dongou,6611.59399,6611.59399,6611.59399,3,1,0,0,0,0,0,0,0,0
47,D178,M,Dongou,NA,#NAME?,#NAME?,0,0,0,0,0,0,0,0,0,0
48,D179,F,Dongou,43633.1507,80767.8335,6498.46793,3,2,0,0,0,0,1,0,0,0
49,D180,F,Dongou,NA,#NAME?,#NAME?,1,0,0,0,0,0,0,0,0,0
50,D182,F,Dongou,29197.3954,39330.5261,19064.2647,5,2,0,0,0,0,0,1,1,0
51,D188,F,Dongou,NA,#NAME?,#NAME?,4,0,1,0,0,0,0,2,0,0
52,D189,F,Dongou,NA,#NAME?,#NAME?,1,0,0,0,0,0,0,1,0,0
53,D191,M,Dongou,6498.46793,6498.46793,6498.46793,4,1,1,0,0,0,0,0,0,0
54,D193,M,Dongou,NA,#NAME?,#NAME?,4,0,1,0,0,1,1,0,0,0
55,D196,F,Dongou,NA,#NAME?,#NAME?,3,0,0,0,0,0,1,0,0,0
56,D200,M,Dongou,NA,#NAME?,#NAME?,2,0,0,0,0,0,0,1,0,0
57,D204,F,Dongou,NA,#NAME?,#NAME?,0,0,0,0,0,0,0,0,0,0
58,D205,F,Dongou,NA,#NAME?,#NAME?,0,0,0,0,0,0,0,0,0,0
59,D207,M,Dongou,NA,#NAME?,#NAME?,3,0,0,0,0,2,0,0,0,0
60,D209,M,Dongou,NA,#NAME?,#NAME?,2,0,0,1,0,0,0,0,0,0
61,D210,F,Dongou,NA,#NAME?,#NAME?,3,0,0,0,0,2,0,0,0,0
62,D212,F,Dongou,35111.631,43826.3354,26396.9267,1,2,0,0,0,0,0,0,0,0
63,D213,M,Dongou,NA,#NAME?,#NAME?,4,0,0,0,0,1,0,0,0,0
64,D214,M,Dongou,NA,#NAME?,#NAME?,5,0,2,0,0,1,0,0,0,0
65,D215,M,Dongou,NA,#NAME?,#NAME?,3,0,0,0,0,1,0,0,0,0
66,D219,F,Dongou,NA,#NAME?,#NAME?,1,0,0,0,0,0,0,1,0,0
67,D22,F,Dongou,NA,#NAME?,#NAME?,3,0,0,0,0,0,0,3,0,0
68,D220,F,Dongou,36226.8389,36226.8389,36226.8389,2,1,0,0,0,0,1,0,0,0
69,D221,M,Dongou,NA,#NAME?,#NAME?,4,0,0,2,0,0,0,1,0,0
70,D224,F,Dongou,NA,#NAME?,#NAME?,3,0,0,0,0,0,0,2,0,0
71,D226,M,Dongou,NA,#NAME?,#NAME?,5,0,0,0,0,3,0,1,0,0
72,D228,F,Dongou,NA,#NAME?,#NAME?,4,0,0,0,0,0,0,2,0,0
73,D23,M,Dongou,NA,#NAME?,#NAME?,3,0,0,0,0,0,0,2,0,0
74,D232,F,Dongou,73789.2882,73789.2882,73789.2882,3,1,0,0,0,0,0,0,0,0
75,D239,M,Dongou,NA,#NAME?,#NAME?,2,0,0,0,0,1,0,0,0,0
76,D24,M,Dongou,NA,#NAME?,#NAME?,2,0,0,0,0,0,0,0,0,0
77,D240,F,Dongou,NA,#NAME?,#NAME?,2,0,0,0,0,0,0,0,0,0
78,D241,M,Dongou,NA,#NAME?,#NAME?,8,0,0,0,0,4,0,3,0,0
79,D245,F,Dongou,NA,#NAME?,#NAME?,2,0,1,0,0,0,0,1,0,0
80,D248,M,Dongou,24120.0273,24120.0273,24120.0273,3,1,0,0,0,1,0,0,0,0
81,D25,M,Dongou,NA,#NAME?,#NAME?,2,0,0,0,0,0,0,0,0,0
82,D250,F,Dongou,9822.11869,9822.11869,9822.11869,2,1,1,0,0,0,0,0,0,0
83,D252,F,Dongou,NA,#NAME?,#NAME?,2,0,1,0,0,0,0,1,0,0
84,D253,F,Dongou,5306.46286,5306.46286,5306.46286,2,1,0,0,0,0,0,0,0,0
85,D254,M,Dongou,NA,#NAME?,#NAME?,2,0,1,0,0,1,0,0,0,0
86,D257,M,Dongou,NA,#NAME?,#NAME?,2,0,0,0,0,0,0,0,0,0
87,D258,F,Dongou,NA,#NAME?,#NAME?,3,0,2,0,0,0,0,0,0,0
88,D259,M,Dongou,NA,#NAME?,#NAME?,3,0,0,0,0,0,0,0,0,0
89,D260,F,Dongou,NA,#NAME?,#NAME?,2,0,0,0,0,0,0,2,0,0
90,D263,F,Dongou,NA,#NAME?,#NAME?,4,0,0,0,0,2,0,1,0,0
91,D265,M,Dongou,10839.6959,10839.6959,10839.6959,4,1,0,0,0,0,0,0,0,0
92,D266,F,Dongou,40642.1794,63341.4944,17942.8643,4,2,0,0,0,0,0,1,0,0
93,D271,F,Dongou,NA,#NAME?,#NAME?,0,0,0,0,0,0,0,0,0,0
94,D272,M,Dongou,NA,#NAME?,#NAME?,2,0,0,0,0,0,1,1,0,0
95,D276,F,Dongou,NA,#NAME?,#NAME?,3,0,0,0,0,0,0,3,0,0
96,D280,M,Dongou,NA,#NAME?,#NAME?,1,0,0,0,0,0,0,1,0,0
97,D282,M,Dongou,NA,#NAME?,#NAME?,2,0,0,0,0,1,0,0,0,0
98,D283,F,Dongou,NA,#NAME?,#NAME?,1,0,0,0,0,0,0,0,0,0
99,D286,M,Dongou,NA,#NAME?,#NAME?,2,0,0,0,0,2,0,0,0,0
100,D287,M,Dongou,NA,#NAME?,#NAME?,3,0,0,2,0,1,0,0,0,0
101,D292,F,Dongou,NA,#NAME?,#NAME?,3,0,0,0,0,0,0,3,0,0
102,D293,F,Dongou,NA,#NAME?,#NAME?,0,0,0,0,0,0,0,0,0,0
103,D295,F,Dongou,NA,#NAME?,#NAME?,1,0,0,0,0,0,0,1,0,0
104,D302,F,Dongou,NA,#NAME?,#NAME?,0,0,0,0,0,0,0,0,0,0
105,D305,M,Dongou,NA,#NAME?,#NAME?,3,0,0,0,0,3,0,0,0,0
106,D306,F,Dongou,NA,#NAME?,#NAME?,2,0,0,0,0,0,0,0,0,0
107,D310,F,Dongou,NA,#NAME?,#NAME?,1,0,0,0,0,0,1,0,0,0
108,D311,F,Dongou,NA,#NAME?,#NAME?,0,0,0,0,0,0,0,0,0,0
109,D312,M,Dongou,NA,#NAME?,#NAME?,0,0,0,0,0,0,0,0,0,0
110,D315,M,Dongou,NA,#NAME?,#NAME?,2,0,0,0,0,0,0,0,0,0
111,D316,F,Dongou,NA,#NAME?,#NAME?,1,0,0,0,0,0,0,0,0,0
112,D317,F,Dongou,NA,#NAME?,#NAME?,0,0,0,0,0,0,0,0,0,0
113,D318,M,Dongou,NA,#NAME?,#NAME?,3,0,0,0,0,3,0,0,0,0
114,D322,F,Dongou,NA,#NAME?,#NAME?,0,0,0,0,0,0,0,0,0,0
115,D324,M,Dongou,NA,#NAME?,#NAME?,2,0,0,0,0,1,0,0,0,0
116,D326,F,Dongou,NA,#NAME?,#NAME?,1,0,0,0,0,0,1,0,0,0
117,D33,F,Dongou,3454.88979,3454.88979,3454.88979,2,1,0,0,0,0,1,0,0,0
118,D330,M,Dongou,NA,#NAME?,#NAME?,2,0,0,0,0,1,0,0,0,0
119,D331,F,Dongou,NA,#NAME?,#NAME?,1,0,0,0,0,0,0,1,0,0
120,D337,F,Dongou,NA,#NAME?,#NAME?,1,0,0,0,0,0,0,0,0,0
121,D34,F,Dongou,NA,#NAME?,#NAME?,1,0,0,0,0,0,0,1,0,0
122,D343,F,Dongou,NA,#NAME?,#NAME?,0,0,0,0,0,0,0,0,0,0
123,D344,F,Dongou,NA,#NAME?,#NAME?,2,0,0,0,0,0,0,0,0,0
124,D345,M,Dongou,NA,#NAME?,#NAME?,5,0,0,0,0,0,0,3,0,0
125,D346,F,Dongou,NA,#NAME?,#NAME?,1,0,0,0,0,0,0,0,0,0
126,D347,M,Dongou,NA,#NAME?,#NAME?,0,0,0,0,0,0,0,0,0,0
127,D349,F,Dongou,NA,#NAME?,#NAME?,0,0,0,0,0,0,0,0,0,0
128,D35,M,Dongou,NA,#NAME?,#NAME?,2,0,0,0,0,0,0,0,0,0
129,D350,F,Dongou,NA,#NAME?,#NAME?,1,0,0,0,0,0,0,1,0,0
130,D352,F,Dongou,NA,#NAME?,#NAME?,0,0,0,0,0,0,0,0,0,0
131,D353,M,Dongou,NA,#NAME?,#NAME?,4,0,0,0,0,3,0,1,0,0
132,D357,F,Dongou,NA,#NAME?,#NAME?,4,0,0,0,0,3,0,0,0,0
133,D358,F,Dongou,NA,#NAME?,#NAME?,2,0,0,0,0,0,0,2,0,0
134,D359,M,Dongou,NA,#NAME?,#NAME?,6,0,0,1,0,2,0,2,0,0
135,D360,M,Dongou,NA,#NAME?,#NAME?,2,0,0,1,0,0,0,0,0,0
136,D361,F,Dongou,NA,#NAME?,#NAME?,6,0,0,0,0,4,0,0,0,0
137,D363,F,Dongou,NA,#NAME?,#NAME?,2,0,0,0,0,0,0,0,0,0
138,D365,F,Dongou,NA,#NAME?,#NAME?,1,0,0,0,0,0,0,1,0,0
139,D366,F,Dongou,NA,#NAME?,#NAME?,2,0,0,0,0,0,0,2,0,0
140,D367,M,Dongou,NA,#NAME?,#NAME?,1,0,0,0,0,0,0,1,0,0
141,D368,F,Dongou,NA,#NAME?,#NAME?,7,0,0,0,0,7,0,0,0,0
142,D369,M,Dongou,NA,#NAME?,#NAME?,8,0,0,0,0,8,0,0,0,0
143,D37,M,Dongou,NA,#NAME?,#NAME?,0,0,0,0,0,0,0,0,0,0
144,D373,F,Dongou,NA,#NAME?,#NAME?,1,0,0,0,0,0,0,1,0,0
145,D375,M,Dongou,NA,#NAME?,#NAME?,0,0,0,0,0,0,0,0,0,0
146,D376,M,Dongou,NA,#NAME?,#NAME?,2,0,0,0,0,0,0,2,0,0
147,D379,M,Dongou,NA,#NAME?,#NAME?,3,0,0,0,0,1,0,2,0,0
148,D38,F,Dongou,NA,#NAME?,#NAME?,2,0,0,0,0,0,0,1,0,0
149,D380,F,Dongou,NA,#NAME?,#NAME?,2,0,0,0,0,0,0,2,0,0
150,D381,F,Dongou,NA,#NAME?,#NAME?,3,0,0,0,0,0,0,3,0,0
151,D384,F,Dongou,NA,#NAME?,#NAME?,0,0,0,0,0,0,0,0,0,0
152,D386,M,Dongou,NA,#NAME?,#NAME?,0,0,0,0,0,0,0,0,0,0
153,D388,F,Dongou,NA,#NAME?,#NAME?,0,0,0,0,0,0,0,0,0,0
154,D39,M,Dongou,NA,#NAME?,#NAME?,2,0,2,0,0,0,0,0,0,0
155,D391,F,Dongou,NA,#NAME?,#NAME?,0,0,0,0,0,0,0,0,0,0
156,D394,F,Dongou,NA,#NAME?,#NAME?,0,0,0,0,0,0,0,0,0,0
157,D395,M,Dongou,NA,#NAME?,#NAME?,0,0,0,0,0,0,0,0,0,0
158,D396,M,Dongou,NA,#NAME?,#NAME?,0,0,0,0,0,0,0,0,0,0
159,D4,M,Dongou,24207.9944,29698.456,18717.5329,2,2,0,0,0,0,0,0,0,0
160,D40,F,Dongou,NA,#NAME?,#NAME?,2,0,0,0,0,0,0,0,0,0
161,D401,F,Dongou,NA,#NAME?,#NAME?,0,0,0,0,0,0,0,0,0,0
162,D402,F,Dongou,NA,#NAME?,#NAME?,0,0,0,0,0,0,0,0,0,0
163,D404,M,Dongou,NA,#NAME?,#NAME?,0,0,0,0,0,0,0,0,0,0
164,D409,F,Dongou,NA,#NAME?,#NAME?,0,0,0,0,0,0,0,0,0,0
165,D410,M,Dongou,NA,#NAME?,#NAME?,0,0,0,0,0,0,0,0,0,0
166,D413,F,Dongou,NA,#NAME?,#NAME?,0,0,0,0,0,0,0,0,0,0
167,D414,F,Dongou,NA,#NAME?,#NAME?,0,0,0,0,0,0,0,0,0,0
168,D415,M,Dongou,NA,#NAME?,#NAME?,0,0,0,0,0,0,0,0,0,0
169,D416,F,Dongou,NA,#NAME?,#NAME?,0,0,0,0,0,0,0,0,0,0
170,D419,F,Dongou,NA,#NAME?,#NAME?,0,0,0,0,0,0,0,0,0,0
171,D42,M,Dongou,NA,#NAME?,#NAME?,2,0,1,0,0,0,0,0,0,0
172,D420,F,Dongou,NA,#NAME?,#NAME?,0,0,0,0,0,0,0,0,0,0
173,D424,F,Dongou,NA,#NAME?,#NAME?,0,0,0,0,0,0,0,0,0,0
174,D43,M,Dongou,NA,#NAME?,#NAME?,3,0,0,0,0,0,0,2,0,0
175,D44,M,Dongou,NA,#NAME?,#NAME?,1,0,0,0,0,0,0,0,0,0
176,D47,F,Dongou,NA,#NAME?,#NAME?,4,0,0,0,0,0,0,2,0,1
177,D48,M,Dongou,207234.411,207234.411,207234.411,2,1,0,0,0,0,0,1,0,0
178,D49,M,Dongou,NA,#NAME?,#NAME?,0,0,0,0,0,0,0,0,0,0
179,D50,F,Dongou,34633.5082,34633.5082,34633.5082,2,1,0,0,0,0,0,1,0,0
180,D51,M,Dongou,NA,#NAME?,#NAME?,2,0,0,1,0,0,0,0,0,0
181,D52,F,Dongou,NA,#NAME?,#NAME?,3,0,1,0,0,0,0,1,0,0
182,D53,F,Dongou,NA,#NAME?,#NAME?,2,0,0,0,0,0,0,2,0,0
183,D56,M,Dongou,NA,#NAME?,#NAME?,3,0,0,0,0,0,0,3,0,0
184,D58,F,Dongou,NA,#NAME?,#NAME?,2,0,0,0,0,0,0,1,0,0
185,D61,F,Dongou,NA,#NAME?,#NAME?,2,0,0,0,0,0,0,2,0,0
186,D65,M,Dongou,103302.797,103302.797,103302.797,10,1,0,3,0,1,0,1,0,0
187,D67,F,Dongou,NA,#NAME?,#NAME?,0,0,0,0,0,0,0,0,0,0
188,D68,F,Dongou,NA,#NAME?,#NAME?,6,0,2,0,0,0,0,2,0,0
189,D7,M,Dongou,NA,#NAME?,#NAME?,4,0,0,0,0,0,0,3,0,0
190,D72,F,Dongou,NA,#NAME?,#NAME?,3,0,0,0,0,0,0,0,0,0
191,D73,M,Dongou,NA,#NAME?,#NAME?,2,0,0,0,0,0,0,0,0,0
192,D74,M,Dongou,NA,#NAME?,#NAME?,2,0,0,0,0,0,0,2,0,0
193,D76,F,Dongou,NA,#NAME?,#NAME?,2,0,0,0,0,0,0,0,0,0
194,D77,M,Dongou,NA,#NAME?,#NAME?,4,0,0,0,0,0,0,0,0,0
195,D78,F,Dongou,NA,#NAME?,#NAME?,4,0,0,0,0,0,0,0,0,0
196,D8,F,Dongou,29698.456,29698.456,29698.456,1,1,0,0,0,0,0,0,0,0
197,D83,F,Dongou,NA,#NAME?,#NAME?,3,0,0,0,0,0,0,1,0,0
198,D84,F,Dongou,NA,#NAME?,#NAME?,0,0,0,0,0,0,0,0,0,0
199,D87,F,Dongou,NA,#NAME?,#NAME?,1,0,0,0,0,0,0,1,0,0
200,D88,M,Dongou,NA,#NAME?,#NAME?,2,0,0,0,0,0,0,1,0,0
201,D9,F,Dongou,71215.6949,107851.7,34579.6898,4,2,0,0,0,0,0,1,0,0
202,D90,F,Dongou,42283.8925,65114.0344,19453.7506,3,2,0,0,0,0,0,0,0,0
203,D91,F,Dongou,NA,#NAME?,#NAME?,3,0,0,0,0,0,0,3,0,0
204,D92,F,Dongou,NA,#NAME?,#NAME?,0,0,0,0,0,0,0,0,0,0
205,D94,M,Dongou,65114.0344,65114.0344,65114.0344,3,1,0,0,0,0,0,0,0,0
206,D99,M,Dongou,NA,#NAME?,#NAME?,2,0,1,0,0,0,1,0,0,0
207,M151,F,Macao,NA,#NAME?,#NAME?,7,0,0,0,1,1,0,0,0,0
209,M167,M,Macao,NA,#NAME?,#NAME?,11,0,0,1,2,4,0,0,0,0
210,M90,F,Macao,966.229058,1752.49987,179.958242,10,2,0,0,0,0,0,1,0,5
211,M111,F,Macao,11840.2979,11840.2979,11840.2979,9,1,0,0,1,0,0,1,0,3
212,M119,F,Macao,11509.7489,11509.7489,11509.7489,8,1,0,0,0,0,0,0,1,0
213,M132,F,Macao,NA,#NAME?,#NAME?,2,0,0,0,0,1,0,0,0,1
214,M142,M,Macao,NA,#NAME?,#NAME?,7,0,0,1,1,1,0,1,0,0
215,M63,F,Macao,NA,#NAME?,#NAME?,5,0,0,0,0,1,0,0,0,2
216,M11,M,Macao,NA,#NAME?,#NAME?,4,0,2,0,1,0,0,0,0,0
217,M162,F,Macao,NA,#NAME?,#NAME?,3,0,0,0,1,1,0,0,0,0
218,M130,M,Macao,NA,#NAME?,#NAME?,13,0,0,0,1,3,0,1,5,0
219,M126,M,Macao,NA,#NAME?,#NAME?,5,0,0,0,1,2,0,0,1,1
220,M68,F,Macao,NA,#NAME?,#NAME?,3,0,0,0,1,1,0,1,0,0
221,M36,F,Macao,NA,#NAME?,#NAME?,3,0,1,0,0,0,0,1,0,0
222,M94,M,Macao,10804.336,10804.336,10804.336,2,2,0,0,0,0,0,0,0,0
223,M32,F,Macao,NA,#NAME?,#NAME?,3,0,0,0,1,0,0,0,0,0
224,M84,F,Macao,NA,#NAME?,#NAME?,1,0,0,0,0,1,0,0,0,0
225,M15,F,Macao,NA,#NAME?,#NAME?,6,0,1,0,2,0,0,1,0,0
226,M2,M,Macao,35003.7856,35003.7856,35003.7856,4,1,1,0,0,0,0,1,0,0
227,M74,M,Macao,1874.17276,1874.17276,1874.17276,3,1,0,0,0,1,0,1,0,0
228,M5,F,Macao,NA,#NAME?,#NAME?,1,0,0,0,0,0,0,0,0,0
229,M26,F,Macao,24156.7446,24156.7446,24156.7446,4,1,0,0,1,0,0,2,0,0
230,M154,F,Macao,NA,#NAME?,#NAME?,3,0,0,0,0,1,0,1,0,0
231,M81,M,Macao,3939.02498,3939.02498,3939.02498,3,1,0,0,0,0,0,1,0,0
232,M93,M,Macao,1752.49987,1752.49987,1752.49987,10,1,0,0,0,0,0,0,0,2
233,M127,F,Macao,NA,#NAME?,#NAME?,10,0,0,0,0,1,0,1,1,6
234,M116,F,Macao,11509.7489,11509.7489,11509.7489,2,1,0,0,0,1,0,0,0,0
235,M96,M,Macao,33844.7873,56885.2387,10804.336,11,2,0,0,0,0,0,0,0,1
236,M49,F,Macao,NA,#NAME?,#NAME?,2,0,0,0,0,0,0,2,0,0
237,M140,M,Macao,NA,#NAME?,#NAME?,7,0,0,0,1,4,0,0,0,0
238,M103,M,Macao,NA,#NAME?,#NAME?,9,0,2,4,0,0,0,1,0,0
239,M92,F,Macao,NA,#NAME?,#NAME?,11,0,0,0,0,0,0,0,0,3
240,M108,F,Macao,11840.2979,11840.2979,11840.2979,9,1,0,0,0,0,0,1,0,2
241,M31,M,Macao,5706.82781,5706.82781,5706.82781,11,1,0,0,5,2,0,2,0,1
242,M99,F,Macao,11567.8787,11567.8787,11567.8787,9,1,0,0,0,1,0,0,0,6
243,M24,M,Macao,109043.328,109043.328,109043.328,1,1,0,0,0,0,0,0,0,0
244,M83,M,Macao,10679.8033,10679.8033,10679.8033,3,1,0,0,0,1,0,0,0,1
245,M12,F,Macao,NA,#NAME?,#NAME?,2,0,0,0,0,1,0,0,0,0
246,M150,M,Macao,NA,#NAME?,#NAME?,8,0,0,2,0,3,0,1,0,0
247,M41,F,Macao,NA,#NAME?,#NAME?,3,0,1,0,0,0,0,0,0,0
248,M115,M,Macao,11509.7489,11509.7489,11509.7489,4,1,0,0,0,1,0,0,0,0
249,M131,M,Macao,NA,#NAME?,#NAME?,9,0,0,1,3,2,1,0,0,0
250,M25,F,Macao,NA,#NAME?,#NAME?,1,0,0,0,0,1,0,0,0,0
251,M137,F,Macao,NA,#NAME?,#NAME?,5,0,0,0,1,1,0,0,1,2
252,M97,F,Macao,NA,#NAME?,#NAME?,3,0,0,0,0,0,0,0,2,0
253,M172,F,Macao,NA,#NAME?,#NAME?,8,1,0,0,0,0,0,1,2,1
254,M122,F,Macao,NA,#NAME?,#NAME?,5,0,0,0,0,1,0,1,1,1
255,M161,M,Macao,NA,#NAME?,#NAME?,6,0,0,0,1,2,0,0,0,0
256,M89,M,Macao,10679.8033,10679.8033,10679.8033,4,1,0,0,0,0,0,0,0,0
257,M1,F,Macao,35003.7856,35003.7856,35003.7856,2,1,0,0,0,0,0,0,0,0
258,M107,M,Macao,NA,#NAME?,#NAME?,5,0,0,0,0,2,0,0,0,0
259,M7,M,Macao,NA,#NAME?,#NAME?,2,0,0,0,0,2,0,0,0,0
260,M33,M,Macao,NA,#NAME?,#NAME?,10,0,1,0,2,3,0,3,0,0
261,M37,M,Macao,NA,#NAME?,#NAME?,3,0,1,1,0,0,0,0,0,0
262,M55,M,Macao,NA,#NAME?,#NAME?,5,1,0,0,0,1,0,1,0,0
263,M177,F,Macao,NA,#NAME?,#NAME?,13,0,1,0,0,0,0,3,0,6
264,M39,M,Macao,NA,#NAME?,#NAME?,4,0,0,0,1,1,0,0,0,1
265,M67,M,Macao,NA,#NAME?,#NAME?,10,0,0,0,1,2,0,0,5,2
