ref,sex,birthplace,region,median_dist,max_dist,min_dist,places_visited,times_live,times_just_visit,times_hunt,times_friend_visit,times_bantu_work,times_dance,times_fam_visit,times_fish,times_gather
D10,M,Mindjoukou,Dongou,NA,NA,NA,1,0,0,0,0,0,0,0,0,0
D100,F,Dongou,Dongou,NA,NA,NA,3,0,0,0,0,0,0,2,0,0
D101,F,Btou,Dongou,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
D103,F,Bongoye,Dongou,NA,NA,NA,3,0,0,0,0,0,0,3,0,0
D104,M,Bongoye,Dongou,NA,NA,NA,2,0,0,0,0,0,0,2,0,0
D105,M,Manfouet,Dongou,NA,NA,NA,2,0,0,1,0,0,0,1,0,0
D106,F,Ikouangala,Dongou,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
D107,M,Losso,Dongou,NA,NA,NA,3,0,0,0,0,0,1,2,0,0
D109,F,Boucy-boucy,Dongou,NA,NA,NA,2,0,0,0,0,0,0,2,0,0
D11,F,Bondzale,Dongou,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
D110,M,Ikouangala,Dongou,NA,NA,NA,3,0,1,0,0,0,0,0,0,0
D112,F,Ikouangala,Dongou,NA,NA,NA,2,0,0,0,0,0,0,1,0,0
D114,M,Ikouangala,Dongou,NA,NA,NA,2,0,0,2,0,0,0,0,0,0
D115,F,Ngandola,Dongou,NA,NA,NA,1,0,0,0,0,0,0,0,1,0
D116,M,Ikouangala,Dongou,NA,NA,NA,2,0,0,0,0,0,0,1,0,0
D117,F,Losso,Dongou,NA,NA,NA,1,0,0,0,0,0,0,0,1,0
D120,F,Ikouangala,Dongou,NA,NA,NA,2,0,0,0,0,0,0,0,0,0
D122,M,Manfouet,Dongou,NA,NA,NA,2,0,0,0,0,0,0,0,0,0
D128,M,Dongou,Dongou,NA,NA,NA,2,0,0,0,0,0,0,1,1,0
D129,F,Dongou,Dongou,19234.9027,19234.9027,19234.9027,1,1,0,0,0,0,0,0,0,0
D130,M,Dongou,Dongou,19234.9027,19234.9027,19234.9027,2,1,0,1,0,0,0,0,0,0
D131,F,Ikouangala,Dongou,NA,NA,NA,2,0,0,0,0,0,0,0,0,0
D132,M,Manfouet,Dongou,NA,NA,NA,3,0,0,0,0,0,1,1,0,0
D135,F,Manfouet,Dongou,NA,NA,NA,0,0,0,0,0,0,0,0,0,0
D138,M,Sambala,Dongou,NA,NA,NA,3,0,0,0,0,1,0,0,0,0
D143,F,Mafouet,Dongou,6473.81067,6473.81067,6473.81067,4,1,0,0,0,0,0,3,0,0
D144,F,Ikouangala,Dongou,64881.5345,64881.5345,64881.5345,1,1,0,0,0,0,0,0,0,0
D145,F,Dongou,Dongou,42058.2186,64881.5345,19234.9027,3,2,0,0,0,0,0,0,0,0
D147,M,Boucy-boucy,Dongou,NA,NA,NA,1,0,0,0,1,0,0,0,0,0
D148,F,Manfouet,Dongou,NA,NA,NA,5,0,0,0,0,0,2,1,0,0
