,residence_camp,ref,sex,birthplace,age,children_alive,median_dist,max_dist,region,Lieu.de.naissance.de.leur.mère.coded,Lieu.de.naissance.de.leur.père.coded,Lieu.où.leur.mère.habite.coded,Lieu.où.leur.père.habite.coded,spouse_bp,mom_inlaw_bp,dad_inlaw_bp,dad_inlaw_living,mom_inlaw_living,spouse_myref
1,Safou,D1,F,Impfondo,Enfant,NA,NA,#NAME?,Dongou,Losso,Mindjoukou,Safou,Safou,NA,NA,NA,NA,NA,0
2,Safou,D10,M,Mindjoukou,Adulte,NA,149369.9794,149369.9794,Dongou,NA,NA,NA,NA,Losso,NA,NA,NA,NA,D8
3,Bokombo4,D100,F,Dongou,Personne agee,NA,37507.99071,200167.8845,Dongou,Betou,NA,Bokombo4,NA,Manfouete,NA,NA,NA,NA,D105
4,Bokombo4,D101,F,Betou,Personne agee,NA,NA,#NAME?,Dongou,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
5,Bokombo4,D102,F,Ikouangala,Enfant,NA,NA,#NAME?,Dongou,Dongou,Manfouete,Bokombo4,Bokombo4,NA,NA,NA,NA,NA,0
6,Bokombo2,D103,F,Bongoye,Adulte,1,61870.61881,91756.54373,Dongou,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
7,Bokombo3,D104,M,Bongoye,Adulte,NA,34035.11334,50740.82932,Dongou,NA,NA,NA,NA,Ikouangala,NA,NA,NA,NA,D106
8,Bokombo4,D105,M,Manfouete,Personne agee,NA,78808.22028,92533.4575,Dongou,NA,NA,NA,NA,Dongou,Betou,NA,NA,Bokombo4,D100
9,Bokombo3,D106,F,Ikouangala,Adulte,NA,14895.47617,80744.6322,Dongou,NA,NA,NA,NA,Bongoye,NA,NA,NA,NA,D104
10,Bokombo1,D107,M,Losso,Adulte,NA,52768.47685,92368.25093,Dongou,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
11,Bokombo1,D108,M,Boucyboucy,Enfant,NA,NA,#NAME?,Dongou,Boucyboucy,Mindjoukou,Bokombo1,Safou,NA,NA,NA,NA,NA,0
12,Bokombo1,D109,F,Boucyboucy,Adulte,NA,28161.31211,74720.04786,Dongou,NA,NA,NA,NA,Ikouangala,NA,NA,NA,NA,D110
13,Safou,D11,F,Bondzale,Personne agee,NA,NA,#NAME?,Dongou,NA,NA,NA,NA,Boucyboucy,NA,NA,NA,NA,D4
14,Bokombo1,D110,M,Ikouangala,Adulte,NA,14097.48642,61643.63055,Dongou,NA,NA,NA,NA,Boucyboucy,NA,NA,NA,NA,D109
15,Bokombo1,D111,M,Ikouangala,Enfant,NA,NA,#NAME?,Dongou,Ngandola,NA,Bokombo1,NA,NA,NA,NA,NA,NA,0
16,Bokombo1,D112,F,Ikouangala,Adulte,1,51030.80677,87166.13738,Dongou,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
17,Bokombo1,D113,M,Ikouangala,Enfant,NA,NA,#NAME?,Dongou,Losso,Ikouangala,Bokombo1,Bokombo1,NA,NA,NA,NA,NA,0
18,Bokombo1,D114,M,Ikouangala,Personne agee,NA,60036.88647,112419.1166,Dongou,NA,NA,NA,NA,Losso,NA,NA,NA,NA,D117
19,Bokombo1,D115,F,Ngandola,Adulte,NA,NA,#NAME?,Dongou,Losso,Ikouangala,Bokombo1,Bokombo1,NA,NA,NA,NA,NA,0
20,Bokombo1,D116,M,Ikouangala,Adolescent,NA,14097.48642,14895.47617,Dongou,Losso,Ikouangala,Bokombo1,Bokombo1,NA,NA,NA,NA,NA,0
21,Bokombo1,D117,F,Losso,Personne agee,NA,54449.72924,54449.72924,Dongou,NA,NA,NA,NA,Ikouangala,NA,NA,NA,NA,D114
22,Bokombo1,D118,F,Ikouangala,Enfant,NA,NA,#NAME?,Dongou,Ikouangala,NA,Bokombo1,NA,NA,NA,NA,NA,NA,0
23,Bokombo6,D119,M,NA,Enfant,NA,NA,#NAME?,Dongou,Ikouangala,Manfouete,Bokombo6,Bokombo6,NA,NA,NA,NA,NA,0
24,Cacao,D12,F,NA,Enfant,NA,NA,#NAME?,Dongou,Moangouma,Botanga,Cacao,Cacao,NA,NA,NA,NA,NA,0
25,Bokombo6,D120,F,Ikouangala,Adulte,2,11275.06623,61643.63055,Dongou,NA,NA,NA,NA,Manfouete,NA,NA,NA,NA,D122
26,Bokombo6,D121,M,Ikouangala,Enfant,NA,13299.49668,14895.47617,Dongou,Ikouangala,Manfouete,Bokombo6,Bokombo6,NA,NA,NA,NA,NA,0
27,Bokombo6,D122,M,Manfouete,Adulte,NA,38956.07838,92533.4575,Dongou,NA,NA,NA,NA,Ikouangala,NA,NA,NA,NA,D120
28,Bokombo6,D123,M,Dongou,Enfant,NA,16649.80242,18404.12868,Dongou,Dongou,Dongou,Bokombo6,Bokombo6,NA,NA,NA,NA,NA,0
29,Bokombo6,D124,M,Dongou,Enfant,NA,18404.12868,28161.31211,Dongou,Dongou,Dongou,Bokombo6,Bokombo6,NA,NA,NA,NA,NA,0
30,Bokombo6,D125,M,Dongou,Enfant,NA,18404.12868,28161.31211,Dongou,Dongou,Dongou,Bokombo6,Bokombo6,NA,NA,NA,NA,NA,0
31,Bokombo6,D126,M,Dongou,Enfant,NA,18404.12868,28161.31211,Dongou,Dongou,Dongou,Bokombo6,Bokombo6,NA,NA,NA,NA,NA,0
32,Bokombo6,D127,M,Ikouangala,Enfant,NA,13299.49668,61643.63055,Dongou,Dongou,Dongou,Bokombo6,Bokombo6,NA,NA,NA,NA,NA,0
33,Bokombo6,D128,M,Dongou,Adolescent,NA,18404.12868,28161.31211,Dongou,Dongou,Dongou,Bokombo6,Bokombo6,NA,NA,NA,NA,NA,0
34,Bokombo6,D129,F,Dongou,Adulte,6,18404.12868,25466.4265,Dongou,NA,NA,NA,NA,Dongou,NA,NA,NA,NA,D130
35,Cacao,D13,M,Bondzale,Enfant,NA,NA,#NAME?,Dongou,Moangouma,Botanga,Cacao,Cacao,NA,NA,NA,NA,NA,0
36,Bokombo6,D130,M,Dongou,Adulte,6,18404.12868,46854.66932,Dongou,NA,NA,NA,NA,Dongou,NA,NA,NA,NA,D129
37,Bokombo6,D131,F,Ikouangala,Adolescent,NA,7654.656293,14895.47617,Dongou,NA,Manfouete,NA,Bokombo6,NA,NA,NA,NA,NA,0
38,Bokombo6,D132,M,Manfouete,Personne agee,2,37020.78885,55481.4052,Dongou,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
39,Bokombo6,D133,M,Boucyboucy,Enfant,NA,13299.49668,28161.31211,Dongou,Ikouangala,NA,Bokombo6,NA,NA,NA,NA,NA,NA,0
40,Bokombo6,D134,M,Bokombo,Enfant,NA,15280.72534,18404.12868,Dongou,Ikouangala,NA,Bokombo6,NA,NA,NA,NA,NA,NA,0
41,Bokombo6,D135,F,Manfouete,Personne agee,3,39363.11425,55481.4052,Dongou,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
42,Bokombo6,D136,F,Ikouangala,Enfant,NA,13299.49668,14895.47617,Dongou,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
43,Bokombo6,D137,F,Ikouangala,Enfant,NA,11469.8269,30113.53643,Dongou,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
44,Bokombo6,D138,M,Sambala,Personne agee,NA,13930.71751,215126.4864,Dongou,NA,NA,NA,NA,NA,NA,NA,NA,NA,"D145,D143"
45,Bokombo6,D139,M,Ikouangala,Enfant,NA,12384.66179,14895.47617,Dongou,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
46,Cacao,D14,F,Bondzale,Enfant,NA,NA,#NAME?,Dongou,Moangouma,Botanga,Cacao,Cacao,NA,NA,NA,NA,NA,0
47,Bokombo6,D140,M,Bokombo 6,Enfant,NA,NA,#NAME?,Dongou,Mafouete,Sambala,Bokombo6,Bokombo6,NA,NA,NA,NA,NA,0
48,Bokombo6,D141,F,Sambala,Enfant,NA,8877.081313,15952.78468,Dongou,Mafouete,Sambala,Bokombo6,Bokombo6,NA,NA,NA,NA,NA,0
49,Bokombo6,D142,M,NA,Enfant,NA,NA,#NAME?,Dongou,Mafouete,Sambala,Bokombo6,Bokombo6,NA,NA,NA,NA,NA,0
50,Bokombo6,D143,F,Mafouete,Personne agee,NA,NA,#NAME?,Dongou,NA,NA,NA,NA,Sambala,NA,NA,NA,NA,D138
51,Bokombo6,D144,F,Ikouangala,Adolescent,NA,12384.66179,61643.63055,Dongou,NA,Sambala,NA,Bokombo6,NA,NA,NA,NA,NA,0
52,Bokombo6,D145,F,Dongou,Personne agee,NA,27581.65194,95627.68718,Dongou,NA,NA,NA,NA,Sambala,NA,NA,NA,NA,D138
