"","Var1","Var2","Freq"
"1","Betou","<1m",5
"2","Dongou","<1m",5
"3","Enyelle","<1m",14
"4","Macao","<1m",92
"5","Minganga","<1m",32
"6","Betou","1-6m",58
"7","Dongou","1-6m",92
"8","Enyelle","1-6m",76
"9","Macao","1-6m",173
"10","Minganga","1-6m",135
"11","Betou","7m-1y",20
"12","Dongou","7m-1y",9
"13","Enyelle","7m-1y",9
"14","Macao","7m-1y",14
"15","Minganga","7m-1y",11
"16","Betou","Few yrs",30
"17","Dongou","Few yrs",74
"18","Enyelle","Few yrs",61
"19","Macao","Few yrs",1
"20","Minganga","Few yrs",5
"21","Betou","Many yrs",14
"22","Dongou","Many yrs",235
"23","Enyelle","Many yrs",106
"24","Macao","Many yrs",23
"25","Minganga","Many yrs",20
