,age,sex,mean_prop_count_1,median_prop_count_1,mean_prop_count_2,median_prop_count_2,mean_prop_count_3,median_prop_count_3,mean_prop_count_4,median_prop_count_4,mean_prop_count_5,median_prop_count_5,mean_prop_count_6,median_prop_count_6,mean_places_total
1,Adolescent,F,0.222,0.073,0.089,0.000,0.100,0.000,0.015,0.000,0.015,0.000,0.427,0.469,4.859
2,Adolescent,M,0.225,0.059,0.148,0.000,0.071,0.000,0.016,0.000,0.024,0.000,0.350,0.200,6.600
3,Adulte,F,0.235,0.100,0.084,0.000,0.071,0.000,0.014,0.000,0.018,0.000,0.456,0.500,6.057
4,Adulte,M,0.235,0.143,0.122,0.000,0.070,0.000,0.024,0.000,0.014,0.000,0.425,0.400,8.914
5,Personne âgée,F,0.267,0.118,0.101,0.000,0.052,0.000,0.022,0.000,0.000,0.000,0.432,0.500,5.463
6,Personne âgée,M,0.271,0.111,0.111,0.000,0.050,0.000,0.027,0.000,0.042,0.000,0.394,0.333,7.340
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,age,sex,mean_prop_count_1,mean_prop_count_2_5,mean_prop_count_6,,,,,,
,,,,,Adolescent,F,0.222,0.219,0.427,,,,,,
,,,,,Adolescent,M,0.225,0.261,0.350,,,,,,
,,,,,Adulte,F,0.235,0.187,0.456,,,,,,
,,,,,Adulte,M,0.235,0.230,0.425,,,,,,
,,,,,Personne âgée,F,0.267,0.175,0.432,,,,,,
,,,,,Personne âgée,M,0.271,0.230,0.394,,,,,,
