"","residence_camp","ref","sex","birthplace","age","children_alive","median_dist","max_dist","region"
"1","Safou","D1","F","Impfondo","Enfant",NA,NA,-Inf,"Dongou"
"2","Safou","D10","M","Mindjoukou","Adulte",NA,29698.4559851022,29698.4559851022,"Dongou"
"3","Bokombo4","D100","F","Dongou","Personne âgée",NA,19440.9745111851,213864.625006972,"Dongou"
"4","Bokombo4","D101","F","Bétou","Personne âgée",NA,NA,-Inf,"Dongou"
"5","Bokombo4","D102","F","Ikouangala","Enfant",NA,NA,-Inf,"Dongou"
"6","Bokombo2","D103","F","Bongoye","Adulte","1",41883.0676697019,80784.6146749581,"Dongou"
"7","Bokombo3","D104","M","Bongoye","Adulte",NA,43838.3441092511,77390.2411022632,"Dongou"
"8","Bokombo4","D105","M","Manfoueté","Personne âgée",NA,66675.9465852993,68263.7748150023,"Dongou"
"9","Bokombo3","D106","F","Ikouangala","Adulte",NA,19453.7506002642,77390.2411022632,"Dongou"
"10","Bokombo1","D107","M","Losso","Adulte",NA,42086.3668673966,80767.8335424014,"Dongou"
"11","Bokombo1","D108","M","Boucy-boucy","Enfant",NA,NA,-Inf,"Dongou"
"12","Bokombo1","D109","F","Boucy-boucy","Adulte",NA,18404.1286822817,63814.6618497907,"Dongou"
"13","Safou","D11","F","Bondzale","Personne âgée",NA,NA,-Inf,"Dongou"
"14","Bokombo1","D110","M","Ikouangala","Adulte",NA,15059.1777055332,63814.6618497907,"Dongou"
"15","Bokombo1","D111","M","Ikouangala","Enfant",NA,NA,-Inf,"Dongou"
"16","Bokombo1","D112","F","Ikouangala","Adulte","1",49585.9811123416,80767.8335424014,"Dongou"
"17","Bokombo1","D113","M","Ikouangala","Enfant",NA,NA,-Inf,"Dongou"
"18","Bokombo1","D114","M","Ikouangala","Personne âgée",NA,63216.044707407,114274.767427089,"Dongou"
"19","Bokombo1","D115","F","Ngandola","Adulte",NA,7404.69054192718,7404.69054192718,"Dongou"
"20","Bokombo1","D116","M","Ikouangala","Adolescent",NA,15059.1777055332,18404.1286822817,"Dongou"
"21","Bokombo1","D117","F","Losso","Personne âgée",NA,80767.8335424014,80767.8335424014,"Dongou"
"22","Bokombo1","D118","F","Ikouangala","Enfant",NA,NA,-Inf,"Dongou"
"23","Bokombo6","D119","M",NA,"Enfant",NA,14870.4038378331,64881.5344654317,"Dongou"
"24","Cacao","D12","F",NA,"Enfant",NA,NA,-Inf,"Dongou"
"25","Bokombo6","D120","F","Ikouangala","Adulte","2",19234.9026806827,64881.5344654317,"Dongou"
"26","Bokombo6","D121","M","Ikouangala","Enfant",NA,10505.9049949835,19234.9026806827,"Dongou"
"27","Bokombo6","D122","M","Manfoueté","Adulte",NA,6473.81066838884,64881.5344654317,"Dongou"
"28","Bokombo6","D123","M","Dongou","Enfant",NA,12854.3566745358,19234.9026806827,"Dongou"
"29","Bokombo6","D124","M","Dongou","Enfant",NA,10505.9049949835,19234.9026806827,"Dongou"
"30","Bokombo6","D125","M","Dongou","Enfant",NA,10505.9049949835,19234.9026806827,"Dongou"
"31","Bokombo6","D126","M","Dongou","Enfant",NA,10505.9049949835,19234.9026806827,"Dongou"
"32","Bokombo6","D127","M","Ikouangala","Enfant",NA,15996.4830985369,64881.5344654317,"Dongou"
"33","Bokombo6","D128","M","Dongou","Adolescent",NA,10505.9049949835,19234.9026806827,"Dongou"
"34","Bokombo6","D129","F","Dongou","Adulte","6",6473.81066838884,19234.9026806827,"Dongou"
"35","Cacao","D13","M","Bondzale","Enfant",NA,NA,-Inf,"Dongou"
"36","Bokombo6","D130","M","Dongou","Adulte","6",12758.0635163911,64881.5344654317,"Dongou"
"37","Bokombo6","D131","F","Ikouangala","Adolescent",NA,12758.0635163911,19234.9026806827,"Dongou"
"38","Bokombo6","D132","M","Manfoueté","Personne âgée","2",8659.42069263296,19234.9026806827,"Dongou"
"39","Bokombo6","D133","M","Boucy-boucy","Enfant",NA,10505.9049949835,19234.9026806827,"Dongou"
"40","Bokombo6","D134","M","Bokombo","Enfant",NA,15996.4830985369,19234.9026806827,"Dongou"
"41","Bokombo6","D135","F","Manfoueté","Personne âgée","3",8489.85783168616,19234.9026806827,"Dongou"
"42","Bokombo6","D136","F","Ikouangala","Enfant",NA,10505.9049949835,19234.9026806827,"Dongou"
"43","Bokombo6","D137","F","Ikouangala","Enfant",NA,11243.2512243861,27781.2673988163,"Dongou"
"44","Bokombo6","D138","M","Sambala","Personne âgée",NA,11980.5974537887,213692.346099126,"Dongou"
"45","Bokombo6","D139","M","Ikouangala","Enfant",NA,8489.85783168616,19234.9026806827,"Dongou"
"46","Cacao","D14","F","Bondzale","Enfant",NA,NA,-Inf,"Dongou"
"47","Bokombo6","D140","M","Bokombo 6","Enfant",NA,11631.9842556873,19234.9026806827,"Dongou"
"48","Bokombo6","D141","F","Sambala","Enfant",NA,11631.9842556873,19234.9026806827,"Dongou"
"49","Bokombo6","D142","M",NA,"Enfant",NA,10505.9049949835,19234.9026806827,"Dongou"
"50","Bokombo6","D143","F","Mafoueté","Personne âgée",NA,9965.8703954216,213692.346099126,"Dongou"
"51","Bokombo6","D144","F","Ikouangala","Adolescent",NA,11631.9842556873,64881.5344654317,"Dongou"
"52","Bokombo6","D145","F","Dongou","Personne âgée",NA,9220.85096318525,77622.720628387,"Dongou"
"53","Bokombo6","D146","M","Ikouangala","Enfant",NA,19234.9026806827,153077.051704543,"Dongou"
"54","Bokombo6","D147","M","Boucy-boucy","Adolescent",NA,12758.0635163911,213692.346099126,"Dongou"
"55","Bokombo6","D148","F","Manfoueté","Adulte",NA,27616.8623834261,213692.346099126,"Dongou"
"56","Bokombo6","D149","M","Mimbelli","Adulte","3",9220.85096318525,867975.15843956,"Dongou"
"57","Tangassi","D15","F","Boucy-boucy","Enfant",NA,NA,-Inf,"Dongou"
"58","Bokombo6","D150","M","Boucy-boucy","Enfant",NA,10505.9049949835,19234.9026806827,"Dongou"
