"","residence_camp","ref","sex","birthplace","age","have_children","children_alive","children_dead","median_dist","max_dist","region"
"1","Bonga2","M202","M","Bangui","Adulte",1,"3","1",96905.630405279,163069.420712733,"Macao"
"2","Bonga2","M203","F","Bonga2","Adulte",1,"3","3",NA,-Inf,"Macao"
"3","Bonga2","M204","F","Bonga2","Adulte",1,"3","0",104829.204013604,163069.420712733,"Macao"
"4","Bonga2","M205","F","Bangui","Adulte",1,"7","0",46588.987314476,46588.987314476,"Macao"
"5","Bonga2","M401","F","Bangui","Adulte",1,"","",NA,-Inf,"Macao"
"6","Bonga2","M206","F","Bonga2","Personne âgée",1,"","10",69215.5916510833,91842.1959876905,"Macao"
"7","Bonga2","M207","M","Bonga2","Adulte",0,"0","",69215.5916510833,91842.1959876905,"Macao"
"8","Bate","M208","M","Bate","Adulte",1,"3","3",87923.6820229656,128341.492227516,"Macao"
"9","Bonga2","M209","F","Thanry","Enfant",0,"0","",NA,-Inf,"Macao"
"10","Bonga1","M210","M","","Adulte",1,"4","3",91569.6988834075,162607.79570266,"Macao"
"11","Bonga1","M211","F","Bangui","Adulte",1,"5","2",31593.2030496297,46200.1960374823,"Macao"
"12","Bonga1","M212","M","Bangui","Adulte",1,"4","Aucun",68163.5408924396,162607.79570266,"Macao"
"13","Bonga1","M213","M","Bangui","Personne âgée",1,"3","2",88434.4374310807,128653.31795126,"Macao"
"14","Bonga1","M214","M","Bangui","Adulte",1,"1","1",80833.5723072125,128653.31795126,"Macao"
"15","Bonga1","M215","M","Bangui","Enfant",0,"0","",NA,-Inf,"Macao"
"16","Bonga1","M216","F","Bonga1","Enfant",0,"0","",NA,-Inf,"Macao"
"17","Bonga1","M217","M","Bangii","Enfant",0,"0","",NA,-Inf,"Macao"
"18","Bonga1","M218","M","Bangui","Enfant",0,"0","",NA,-Inf,"Macao"
"19","Bonga1","M219","F","Bangui","Enfant",0,"0","",NA,-Inf,"Macao"
"20","Payo","M220","M","Bangui","Adolescent",0,"0","",104448.611633586,162756.001455586,"Macao"
"21","Payo","M221","F","","Personne âgée",1,"2","1",84649.1604536787,162756.001455586,"Macao"
"22","Payo","M222","M","","Personne âgée",1,"3","2",52088.3942527075,95292.5117399502,"Macao"
"23","Payo","M223","F","","Adulte",1,"8","1",95693.2295007648,162756.001455586,"Macao"
"24","Payo","M224","M","Bangui","Adulte",1,"7","1",84649.1604536787,229953.945010597,"Macao"
"25","Payo","M225","M","Bangui","Enfant",0,"0","",NA,-Inf,"Macao"
"26","Payo","M227","F","Bangui","Adulte",1,"1","Aucun",49114.8080321473,145245.237189943,"Macao"
"27","Payo","M228","F","Djoube","Adulte",1,"7","0",46141.221811587,162756.001455586,"Macao"
"28","Payo","M229","M","Bangui","Adulte",1,"5","1",84649.1604536787,162756.001455586,"Macao"
"29","Payo","M230","M","Macao","Adulte",1,"Erreur","",145245.237189943,171279.944889144,"Macao"
"30","Payo","M231","F","Bangui","Enfant",0,"0","",NA,-Inf,"Macao"
"31","Payo","M232","F","Bangui","Enfant",0,"0","",NA,-Inf,"Macao"
"32","Payo","M233","M","Bangui","Enfant",0,"0","",NA,-Inf,"Macao"
"33","Payo","M234","F","Bangui","Enfant",0,"0","",NA,-Inf,"Macao"
"34","Payo","M235","F","Bangui","Enfant",0,"0","",NA,-Inf,"Macao"
"35","Payo","M236","M","Loundoungou","Enfant",0,"0","",NA,-Inf,"Macao"
"36","Bate","M237","F","Bangui","Adulte",1,"3","3",32036.0489590948,46629.5862509959,"Macao"
"37","Bate","M238","M","Bandza","Adulte",1,"3","3",54646.7167361103,91850.921805027,"Macao"
"38","Bete3","M239","M","Bangui","Adulte",1,"2","1",88283.1674446598,162750.992247725,"Macao"
"39","Bete3","M240","F","Bangui","Adulte",1,"2","1",46327.0918961585,91651.136580345,"Macao"
"40","Bete3","M241","F","Bangui","Adulte",1,"2","1",16336.240150809,16336.240150809,"Macao"
"41","Bete1","M242","M","Bangui","Adulte",1,"5","10",88443.8490516258,162643.817613059,"Macao"
"42","Bete1","M243","F","Mboule","Adulte",1,"5","4",49076.6174980099,91611.3792922077,"Macao"
"43","Bete1","M244","F","Bangui","Personne âgée",1,"3","10",31576.5761453479,46182.5040756221,"Macao"
"44","Bete1","M245","M","Bangui","Adulte",1,"4","5",68165.329876827,128679.258352249,"Macao"
"45","Payo","M246","M","Boua","Adulte",1,"5","2",80838.0870613755,162756.001455586,"Macao"
"46","Payo","M247","F","","Personne âgée",1,"3","5",80838.0870613755,128746.532594066,"Macao"
"47","Payo","M248","F","Bangui","Adulte",1,"5","2",31538.7418016329,46141.221811587,"Macao"
"48","Bete3","M249","M","Bangui","Enfant",0,"0","",NA,-Inf,"Macao"
"49","Bete3","M250","M","Loundoungou","Enfant",0,"0","",NA,-Inf,"Macao"
"50","Bonga1","M251","","Mboule","Adulte",1,"5","0",46200.1960374823,91569.6988834075,"Macao"
"51","Bete1","M252","F","Bangui","Adolescent",1,"1","Aucun",46182.5040756221,46182.5040756221,"Macao"
"52","Bete1","M253","F","Bangui","Adulte",1,"6","2",49076.6174980099,162643.817613059,"Macao"
"53","Bete1","M254","M","Bangui","Adolescent",1,"1","0",49076.6174980099,162643.817613059,"Macao"
"54","Bete1","M255","F","Bangui","Adolescent",1,"1","Aucun",46182.5040756221,91611.3792922077,"Macao"
"55","Payo","M257","F","Bangui","Adolescent",0,"0","",46141.221811587,46141.221811587,"Macao"
"56","Bonga1","M258","F","Bangui","Personne âgée",1,"3","2",31593.2030496297,46200.1960374823,"Macao"
"57","Payo","M256","M","","Enfant",0,"0","",NA,-Inf,"Macao"
"58","Bonga1","M259","F","Bangui","Adulte",1,"1","",89797.0028822184,162607.79570266,"Macao"
"59","Bonga1","M260","F","Bangui","Adulte",1,"1","1",162607.79570266,246301.029748941,"Macao"
"60","Bonga1","M261","F","Bangui","Adulte",1,"4","4",46200.1960374823,91569.6988834075,"Macao"
"61","Bete2","M262","F","Bangui","Adulte",1,"5","2",46378.5853212635,46378.5853212635,"Macao"
"62","Bete2","M263","F","Bangui","Adulte",1,"5","8",51962.4091224245,51962.4091224245,"Macao"
"63","Bete2","M264","F","Bangui","Personne âgée",1,"1","5",NA,-Inf,"Macao"
"64","Bete2","M265","M","Bangui","Adulte",1,"4","4",105496.311696709,236348.85363608,"Macao"
"65","Bete2","M266","F","Bangui","Adulte",1,"4","4",54426.920884625,91679.2167088814,"Macao"
"66","Bete2","M267","M","Bangui","Adulte",1,"10","3",51962.4091224245,162803.755937329,"Macao"
"67","Bete3","M268","F","Bangui","Adulte",1,"3","1",31331.6660234837,46327.0918961585,"Macao"
"68","Bete2","M269","F","Bangui","Personne âgée",1,"2","4",NA,-Inf,"Macao"
"69","Payo","M270","F","Bangui","Enfant",0,"0","",NA,-Inf,"Macao"
"70","Mboule","M271","M","Bangui","Adulte",1,"4","Aucun",20830.8944805252,47313.7964735886,"Macao"
"71","Mboule","M272","M","Mboule","Adulte",1,"4","1",87332.4181569947,162783.362082754,"Macao"
"72","Mboule","M273","F","Bangui","Adolescent",0,"0","",47313.7964735886,47313.7964735886,"Macao"
"73","Mboule","M274","M","Mboule","Adolescent",0,"0","",105048.579278171,162783.362082754,"Macao"
"74","Mboule","M275","M","Bangui","Personne âgée",1,"3","2",NA,-Inf,"Macao"
"75","Mboule","M277","F","","Personne âgée",1,"7","4",91771.183507721,235683.496777527,"Macao"
"76","Mboule","M279","F","Mboule","Adulte",1,"3","3",18101.5448824699,18101.5448824699,"Macao"
"77","Mboule","M278","M","Mboule","Adulte",1,"3","1",54681.7788202883,91262.0127581066,"Macao"
"78","Mboule","M280","F","Mboule","Adulte",1,"1","2",47313.7964735886,91262.0127581066,"Macao"
"79","Mboule","M281","F","Mboule","Adulte",1,"2","2",54464.6829016138,91262.0127581066,"Macao"
"80","Mboule","M282","M","Bangui","Adulte",1,"4","3",54681.7788202883,91262.0127581066,"Macao"
"81","Mboule","M283","F","Bangui","Adulte",1,"2","2",18101.5448824699,18101.5448824699,"Macao"
"82","Mboule","M284","F","Bangui","Adulte",1,"3","1",47313.7964735886,115279.51520256,"Macao"
"83","Mboule","M285","M","Bangui","Adolescent",0,"0","",32707.6706780292,47313.7964735886,"Macao"
"84","Mboule","M286","F","Bangui","Adulte",1,"2","1",18101.5448824699,18101.5448824699,"Macao"
"85","Mboule","M287","F","Bangui","Adolescent",0,"0","",20830.8944805252,47313.7964735886,"Macao"
"86","Goumakoungou2","M288","M","Mboule","Personne âgée",1,"6","0",55191.4663033573,162613.589052307,"Macao"
"87","Goumakoungou2","M373","F","Bangui","Personne âgée",1,"1","4",55191.4663033573,55191.4663033573,"Macao"
"88","Goumakoungou2","M289","F","Bangui","Adulte",1,"7","0",40566.3573098816,87865.5209012988,"Macao"
"89","Goumakoungou2","M290","F","Bangui","Personne âgée",1,"3","4",16772.219273093,25941.248316406,"Macao"
"90","Goumakoungou2","M291","M","Mboule","Adulte",1,"1","4",55191.4663033573,162613.589052307,"Macao"
"91","Goumakoungou2","M293","M","Bangui","",0,"0","",28783.5331570299,55191.4663033573,"Macao"
"92","Goumakoungou2","M294","F","Bangui","Adolescent",0,"0","",28783.5331570299,55191.4663033573,"Macao"
"93","Goumakoungou2","M295","F","Bangui","Adolescent",0,"0","",28783.5331570299,55191.4663033573,"Macao"
"94","Keke","M296","M","Djoube","Adulte",1,"7","1",71783.3063629806,159480.715769916,"Macao"
"95","Keke","M297","F","Bangui","Adulte",1,"6","1",13339.2020776609,31564.1086582054,"Macao"
"96","Mboule","M298","M","Bangui","Adolescent",0,"0","",47313.7964735886,162783.362082754,"Macao"
"97","Keke","M501","M","Djoube","Enfant",0,"0","",NA,-Inf,"Macao"
"98","Keke","M502","F","Djoube","Enfant",0,"0","",NA,-Inf,"Macao"
"99","Keke","M299","M","Djoube","Adulte",1,"3","0",70092.134560394,113957.712040218,"Macao"
"100","Keke","M300","F","Djoube","Adulte",1,"3","0",12338.3567810634,13339.2020776609,"Macao"
"101","Keke","M301","M","Mboule","Adulte",1,"8","2",70092.134560394,159480.715769916,"Macao"
"102","Keke","M302","F","","",0,"0","",NA,-Inf,"Macao"
"103","Keke","M303","F","Moumbelou","Adulte",1,"3","2",37275.0992789362,60318.7114715386,"Macao"
"104","Keke","M503","F","Mboule","Personne âgée",0,"0","",NA,-Inf,"Macao"
"105","Keke","M304","F","Bobate","Adulte",1,"1","1",45732.8212318661,82832.6981882526,"Macao"
"106","Keke","M305","M","Bangui","Adulte",1,"1","1",60318.7114715386,159480.715769916,"Macao"
"107","Keke","M306","M","","Adulte",1,"5","2",70092.134560394,113957.712040218,"Macao"
"108","Keke","M307","F","Mafoueté","Adulte",1,"4","2",33018.3593778313,60318.7114715386,"Macao"
"109","Keke","M308","M","Bangui","Adulte",1,"2","0",109899.713620727,234837.753031167,"Macao"
"110","Keke","M309","F","Bangui","Adulte",1,"2","0",31564.1086582054,46458.2785981672,"Macao"
"111","Ngomo","M310","F","Mboule","Personne âgée",1,"4","4",25569.0034955092,46096.5748835738,"Macao"
"112","Ngomo","M311","F","Mboule","Adulte",1,"2","0",26068.9967613292,52064.119141195,"Macao"
"113","Ngomo","M312","M","Bangui","Adulte",1,"6","10",87545.519209747,294224.696967563,"Macao"
"114","Ngomo","M313","M","Bangui","Adulte",1,"0","1",86778.3910647977,160309.679299901,"Macao"
"115","Ngomo","M314","F","Bangui","Adulte",1,"1","1",15555.2144343869,26068.9967613292,"Macao"
"116","Ngomo","M315","M","Mboule","Adolescent",0,"0","",46096.5748835738,160309.679299901,"Macao"
"117","Ngomo","M316","M","Bangui","Adolescent",0,"0","",5041.43210744455,5041.43210744455,"Macao"
"118","Midiba","M317","M","Bangui","Adolescent",0,"0","",45480.3290719346,119856.039088623,"Macao"
"119","Bayamoto","M318","M","Bangui","Personne âgée",1,"4","3",78305.2548694023,122462.661620186,"Macao"
"120","Bayamoto","M319","F","Bangui","Personne âgée",1,"3","3",25348.110436199,44234.2609490367,"Macao"
"121","Bayamoto","M321","F","Bangui","Adulte",1,"4","1",6461.95992336132,6461.95992336132,"Macao"
"122","Bayamoto","M322","M","Bangui","Adulte",1,"3","1",53952.2338638525,157431.834866536,"Macao"
"123","Bayamoto","M323","M","Bangui","Adulte",0,"0","",81946.8973949489,157431.834866536,"Macao"
"124","Bayamoto","M324","M","Bangui","Adolescent",1,"2","0",51604.8663201156,157431.834866536,"Macao"
"125","Bayamoto","M325","F","Bangui","Adolescent",1,"1","0",6461.95992336132,6461.95992336132,"Macao"
"126","Lango","M326","F","Macao","Adulte",1,"4","2",36089.5496587332,43349.6122946961,"Macao"
"127","Lango","M327","M","Zingo","Adulte",1,"4","2",NA,-Inf,"Macao"
"128","Lango","M328","M","Zingo","Personne âgée",1,"7","9",109732.857723649,889588.584410154,"Macao"
"129","Lango","M329","M","Macao","Adulte",1,"4","2",118411.556825984,136393.068783339,"Macao"
"130","Lango","M330","M","Macao","Adulte",1,"2","0",71579.5609968212,114655.158111725,"Macao"
"131","Mbila_MA","M331","M","Bangui","Personne âgée",1,"2","5",28808.9602945663,55815.0201030496,"Macao"
"132","Banga","M332","F","Macao","Adulte",1,"5","3",94849.5419812115,103169.003798667,"Macao"
"133","Banga","M333","M","Seke","Adulte",1,"5","3",152240.372620556,249231.163279127,"Macao"
"134","Banga","M334","M","Bangui","Adulte",1,"2","1",134906.713412748,215486.526093233,"Macao"
"135","Banga","M335","M","Seke","Adolescent",0,"0","",94191.6335303777,103169.003798667,"Macao"
"136","Ndobalikanbo","M336","F","Macao","Adulte",0,"0","",31555.3469088322,31555.3469088322,"Macao"
"137","Ndobalikanbo","M337","M","Macao","Adulte",1,"0","0",94525.897770448,162743.380978679,"Macao"
"138","Ndobalikanbo","M338","M","Macao","Adulte",1,"2","5",62638.1168698498,162743.380978679,"Macao"
"139","Ndobalikanbo","M339","F","Macao","Adulte",1,"2","4",18568.3366968675,31555.3469088322,"Macao"
"140","Macao_camp1","M340","M","Thanry","Adulte",1,"2","0",60243.0463344295,161233.488169065,"Macao"
"141","Macao_camp1","M341","F","Nzingou","Adulte",1,"2","6",28473.0443862932,57547.9792793679,"Macao"
"142","Macao_camp3","M342","F","Bangui","Adulte",1,"1","1",23803.5960563636,27896.0473511169,"Macao"
"143","Macao_camp3","M343","F","Macao","Adulte",1,"2","2",23803.5960563636,27896.0473511169,"Macao"
"144","Macao_camp3","M344","M","Bangui","Adulte",1,"5","0",72785.6596482562,161443.968308824,"Macao"
"145","Macao_camp3","M345","M","Macao","Adolescent",1,"1","1",79583.7599656336,115608.888416923,"Macao"
"146","Macao_camp5","M346","M","Macao","Personne âgée",1,"1","3",102358.212699978,146412.073880876,"Macao"
"147","Macao_camp5","M347","F","Djoube","Personne âgée",1,"3","3",42613.8785638009,57273.2711207911,"Macao"
"148","Macao_camp4","M348","M","","Adulte",1,"2","0",106627.910064074,161488.022268551,"Macao"
"149","Macao_camp6","M349","F","Macao","Adulte",1,"8","1",28417.3136676547,115094.58575077,"Macao"
"150","Macao_camp1","M350","F","Zingo","Personne âgée",1,"1","3",43010.5118328305,57547.9792793679,"Macao"
"151","Macao_camp7","M351","F","Macao","Adulte",1,"4","2",23805.1437677743,28507.1706957234,"Macao"
"152","Macao_camp7","M352","M","","Adulte",1,"5","3",105910.928629149,255488.194937006,"Macao"
"153","Macao_camp6","M353","F","Pape_village","Adulte",1,"4","3",28417.3136676547,161372.437761434,"Macao"
"154","Macao_camp8","M354","F","Thanry","Adulte",1,"6","4",28575.2458818185,28575.2458818185,"Macao"
"155","Macao_camp8","M355","M","Pape","Adolescent",0,"0","",28575.2458818185,28575.2458818185,"Macao"
"156","Macao_camp2","M356","","","",0,"0","",NA,-Inf,"Macao"
"157","Macao_camp9","M357","","Macao","Adulte",1,"3","0",23804.6668328865,28506.7770502886,"Macao"
"158","Macao_camp9","M359","M","Macao","Adulte",1,"3","2",118300.640981196,161790.498088387,"Macao"
"159","Macao_camp10","M360","F","Macao","Adulte",1,"5","5",27783.0722781368,38515.9503622977,"Macao"
"160","Macao_camp4","M361","F","Macao","Adolescent",1,"2","0",30705.5996701294,33534.1429761364,"Macao"
"161","Pape_village","M362","M","Berandjokou","Adulte",1,"0","0",66402.1484988759,86026.7806383533,"Macao"
"162","Macao_camp10","M363","M","Macao","Adulte",1,"1","2",27783.0722781368,43328.2253242895,"Macao"
