"","Estimate","Est.Error","Q1.5","Q2.5","Q5.5","Q25","Q75","Q16.5","Q10","Q90","Q94.5","Q98.5","Q97.5","sex","age","region"
"1",17522.2725199277,3316.61904878983,11506.7994152591,11985.1167743647,12745.1820790877,15191.3136988131,19529.5631678423,14337.6576099876,13503.2199840679,21879.5755468507,23166.6885542596,25987.4298370542,24809.1775603539,"F","Adolescent","Dongou"
"2",20067.5884330813,3919.211593682,12974.7963161906,13518.5037995001,14478.8322791831,17265.8009967326,22412.8663599852,16301.5632225764,15347.2423217593,25220.5854270859,26863.774783216,30319.3151011617,28885.7295583888,"M","Adolescent","Dongou"
"3",16083.8792662896,2631.98614113552,11194.1696932652,11530.1761364645,12289.0203192798,14194.3609738645,17714.7610581022,13527.4528926018,12916.1853113806,19563.9404488046,20605.1932600534,22578.6177267054,21784.5155815643,"F","Adulte","Dongou"
"4",27890.7837864786,4589.98737157748,19341.118854863,20073.4672067059,21203.6197140908,24665.9961651764,30754.4382508195,23464.6227040481,22344.6827777105,33934.2004127075,35705.0798481059,39361.3893543728,37885.8417148704,"M","Adulte","Dongou"
"5",19588.9167015294,3506.28756328981,13159.0515485422,13658.6537508956,14572.3699107965,17110.7888883747,21697.0834944959,16224.4209852896,15403.5371183012,24189.7195330726,25622.4705221305,28422.8598086422,27313.1250565878,"F","Personne âgée","Dongou"
"6",31368.4527453949,6056.73208037427,20407.409569676,21255.3034788864,22671.5813897454,27073.8134252899,35008.9244897032,25646.5981619847,24200.1375622819,39512.0279038242,41768.4381774306,46717.7992641898,44684.7843573184,"M","Personne âgée","Dongou"
"7",20976.1088004946,3114.69394269189,15086.3045991206,15521.8882646642,16397.2292478761,18788.7238108336,22921.6613588558,17978.4001385609,17152.2041561447,25016.1516912429,26212.8464537645,28620.2663694644,27668.5056549817,"F","Adolescent","Macao"
"8",24025.4174074465,3766.89294287135,17076.4973750493,17564.2129585268,18518.5778648786,21317.9109852819,26333.9004332502,20399.5103109171,19450.9143798017,29055.9291040582,30426.6278969839,33208.5527357043,32118.5989915816,"M","Adolescent","Macao"
"9",19260.3293839822,2262.36319105428,14863.8724211957,15240.8468451221,15847.5270929227,17680.7490164086,20672.6205907171,17053.3923801734,16475.1904227145,22165.9716251583,23062.8821283678,24726.8231200433,24112.2734782021,"F","Adulte","Macao"
"10",33398.2329336022,3956.41644737747,25535.8000022223,26146.9848769392,27449.6758389703,30659.8451740087,35939.7051314889,29593.2363907114,28518.6115607935,38556.8191963847,40007.5293741368,42756.3603615648,41819.014584374,"M","Adulte","Macao"
