"","Estimate","Est.Error","Q1.5","Q2.5","Q5.5","Q25","Q75","Q16.5","Q10","Q90","Q94.5","Q98.5","Q97.5","sex","age","region"
"1",75081.2766705604,11105.0728352734,53958.0105059042,55691.6743781875,58817.6778142293,67315.6884609188,81949.7635883254,64482.8225568488,61742.0457907027,89563.9841520646,93944.9737620083,102339.62355435,99332.9437428744,"F","Adolescent","Dongou"
"2",137789.058841672,22295.3075611134,96757.658461786,99660.3837927918,105753.128175073,122211.822327304,151291.876872958,116526.230920598,111167.817040099,166757.072083514,175702.563153061,194031.303919633,187502.989251725,"M","Adolescent","Dongou"
"3",87325.5365176373,9359.16481438026,68886.4944937777,70431.143204368,73160.474916108,80852.2505857852,93293.5494738084,78314.2619431352,75767.2541359681,99521.6420547256,103160.745115002,109771.560593017,107060.730215796,"F","Adulte","Dongou"
"4",180413.954996632,19453.7418196148,141667.238098587,145073.64178879,150732.101607633,167240.609389359,192692.564936499,161721.987210584,156342.528328395,205854.067159564,212962.931207909,226331.92376341,221755.261779175,"M","Adulte","Dongou"
"5",95011.8274763041,12160.2569294101,71758.006921252,73751.603545898,77028.1477976037,86456.6652544126,102603.953014941,83314.3410665761,80124.3913250847,110841.507673824,115691.861321183,125265.858850681,121468.802316881,"F","Personne âgée","Dongou"
"6",291296.783902784,46682.927198467,206127.021733681,212325.531396932,224361.331911411,258000.735626773,320147.520050661,246144.39932242,234942.126328037,352034.695092805,370946.948419141,408999.428443281,394337.165822412,"M","Personne âgée","Dongou"
"7",63200.6478887808,8544.24715148541,46962.9647467484,48266.912004871,50542.2707562207,57214.9938239645,68540.1943378394,55020.3134984219,52794.0573013312,74316.2304342876,77537.235704053,84229.1143172934,81589.759389796,"F","Adolescent","Macao"
"8",115871.593444803,16620.6329790236,85483.8380486364,87740.9752653387,92071.477138941,104063.320375499,125890.02721171,99897.075515656,95864.2455177687,137578.011828727,144386.211838721,157878.267002311,152589.289976257,"M","Adolescent","Macao"
"9",73489.4266602244,6350.84088875875,60850.9791956747,61952.280488434,63938.3020370434,69058.2173281365,77521.1982083093,67443.9739878146,65734.6854154463,81851.4590296755,84155.5719993477,88407.7753827162,86827.7660042062,"F","Adulte","Macao"
"10",151843.026031212,13410.3530561202,125495.381799144,127686.954541399,131531.383492548,142538.349750104,160446.363189564,138831.519495707,135281.011444982,169548.966972087,174393.080682845,183272.839294802,180503.663852717,"M","Adulte","Macao"
"11",80010.7240656552,9351.62190686713,62131.473439774,63727.2654942179,66160.6502140734,73406.1050671695,85991.051350631,70969.665668107,68623.2087514591,92302.5429832791,95826.2274493053,102876.101005494,100423.256661719,"F","Personne âgée","Macao"
"12",245203.281160989,36403.9386598331,177825.365779635,183172.532179211,192932.157250113,219336.166285882,267682.449169915,210489.762004983,201828.683550107,293096.43421782,307577.026599975,336520.77299195,325310.949574478,"M","Personne âgée","Macao"
"13",53848.3411108646,8329.57137726739,38010.4340566963,39155.2123499296,41635.3625725904,47971.9976398,58982.8693154051,45853.5794186689,43736.0786237923,64751.4761280757,68131.6055917439,74649.7285222155,71978.4829540905,"F","Adolescent","Minganga"
"14",98678.6426484123,15690.1886802682,70195.3288411761,72238.7544805223,76135.8965019666,87596.1760851767,108138.326390568,83670.6763502021,79681.9453461527,119678.236578995,125962.769112454,138156.428375028,133669.926930723,"M","Adolescent","Minganga"
"15",62596.1531733365,6999.64217822942,48758.0452019262,49990.5880449111,52074.7060843716,57676.7410832946,67049.9857057784,55853.8129406436,54059.482932602,71774.9118564228,74319.6348597847,79092.9992734679,77353.3402232311,"F","Adulte","Minganga"
"16",129375.387530942,15007.3124808908,99859.4549555558,102237.139314154,106847.799284107,118725.369809203,138999.066070612,114916.536371775,110783.623097498,149165.866504607,154646.260722482,165170.925899246,161084.945962868,"M","Adulte","Minganga"
"17",68128.7221493621,9144.51204599927,50546.7978748022,51973.1439620796,54557.7490130702,61716.204018263,73921.9066020643,59219.8294133829,56868.8939919333,80170.2796619231,83562.4894035999,89922.8233034155,87526.849122806,"F","Personne âgée","Minganga"
"18",209061.609609966,35714.9182038834,143379.237345473,148316.893719632,157960.564009768,183687.918831679,230870.879769797,175129.208974402,166383.404986117,256732.309495786,270192.99669261,299623.439912455,288527.815242275,"M","Personne âgée","Minganga"
"19",52915.7902256726,8572.42438592656,36662.4371627902,37998.0306328872,40372.4228173186,46911.3814502373,58200.9316996324,44685.0824608508,42526.4791466286,64214.8649728537,67425.7009131551,74342.7024559788,71628.1369444198,"F","Adolescent","Enyelle"
"20",96941.5807422818,15933.8861247861,67844.4811647157,70036.0416344017,73787.1963104217,85615.4099219843,106578.966110473,81481.6389110978,77711.1383736418,117614.923820971,124651.734222451,136897.911873784,132378.735957378,"M","Adolescent","Enyelle"
"21",61487.7265870873,7268.26979905749,46947.1394364573,48206.8790793713,50542.764064274,56459.1103983019,66063.0128706501,54499.0025015032,52555.8693819801,70977.4650681988,73757.8900182931,78727.9534321261,76929.4519649062,"F","Adulte","Enyelle"
"22",127087.42828469,15549.4226286466,96457.4800148765,98701.3779907063,103334.405647855,116189.798338393,137002.6648906,112164.648616269,107978.705755675,147640.34936303,153213.52542313,163706.421207619,160158.062403123,"M","Adulte","Enyelle"
"23",66909.957677447,9254.63798882891,49248.1092632663,50383.1347562866,53124.774653911,60385.4164710509,72880.8799088538,57966.1074282896,55528.130949543,79130.0136347229,82566.2723422078,89151.6107208853,86635.7951532087,"F","Personne âgée","Enyelle"
"24",205326.337909441,35712.2830912623,139543.710368563,144732.228514663,153651.86497487,179825.438640754,227261.44534795,170847.828670345,162095.145262317,252510.879647375,267123.96436135,293133.155695657,283630.863821196,"M","Personne âgée","Enyelle"
