"","Estimate","Est.Error","Q1.5","Q2.5","Q5.5","Q25","Q75","Q16.5","Q10","Q90","Q94.5","Q98.5","Q97.5","sex","age","region"
"1",70433.1196274125,23594.5128682557,27813.7008753037,32382.6297390252,39860.9104181004,56376.6949891685,81167.470336792,51267.0285621519,46035.8822763433,96277.7916738022,106784.09946429,135046.617196064,120900.816950666,"F","Adolescent","Dongou"
"2",129074.902622173,43518.3977165944,50905.237591356,58735.5468554289,72284.714388156,103061.752513629,148560.442642041,93773.178142339,84169.6065961545,177235.265865852,196022.446887818,248603.049530726,226510.331117559,"M","Adolescent","Dongou"
"3",81820.876202147,25551.4025323294,33188.3154858043,38271.7588677351,47618.9386062268,67609.1939622078,93005.3976279825,61808.3851973843,55371.235126318,108536.802268578,119892.632054421,152222.464398194,137729.411156415,"F","Adulte","Dongou"
"4",169093.748970448,52864.2456149498,68116.7642812139,79357.3929472302,98479.3589288399,139531.926945442,192163.187176541,127134.928730483,113740.11627506,225915.916832776,248230.961397771,313217.965805822,286392.727798218,"M","Adulte","Dongou"
"5",89050.2423124555,28514.2696357202,35979.482866234,40455.9726811414,51100.444997915,72507.838641375,101731.269666318,66348.1584777687,59307.6210695946,120381.715060657,133459.831619936,168003.646746475,151635.683418721,"F","Personne âgée","Dongou"
"6",273102.685476836,92010.5423933269,106005.913764559,123712.321882946,154063.523105671,216878.761570483,316655.339057079,197272.461478295,176819.071405858,376241.873063404,416444.237364347,524485.259595276,477931.957748939,"M","Personne âgée","Dongou"
"7",70433.1196274125,23594.5128682557,27813.7008753037,32382.6297390252,39860.9104181004,56376.6949891685,81167.470336792,51267.0285621519,46035.8822763433,96277.7916738022,106784.09946429,135046.617196064,120900.816950666,"F","Adolescent","Macao"
"8",129074.902622173,43518.3977165944,50905.237591356,58735.5468554289,72284.714388156,103061.752513629,148560.442642041,93773.178142339,84169.6065961545,177235.265865852,196022.446887818,248603.049530726,226510.331117559,"M","Adolescent","Macao"
"9",81820.876202147,25551.4025323294,33188.3154858043,38271.7588677351,47618.9386062268,67609.1939622078,93005.3976279825,61808.3851973843,55371.235126318,108536.802268578,119892.632054421,152222.464398194,137729.411156415,"F","Adulte","Macao"
"10",169093.748970448,52864.2456149498,68116.7642812139,79357.3929472302,98479.3589288399,139531.926945442,192163.187176541,127134.928730483,113740.11627506,225915.916832776,248230.961397771,313217.965805822,286392.727798218,"M","Adulte","Macao"
"11",89050.2423124555,28514.2696357202,35979.482866234,40455.9726811414,51100.444997915,72507.838641375,101731.269666318,66348.1584777687,59307.6210695946,120381.715060657,133459.831619936,168003.646746475,151635.683418721,"F","Personne âgée","Macao"
"12",273102.685476836,92010.5423933269,106005.913764559,123712.321882946,154063.523105671,216878.761570483,316655.339057079,197272.461478295,176819.071405858,376241.873063404,416444.237364347,524485.259595276,477931.957748939,"M","Personne âgée","Macao"
"13",70433.1196274125,23594.5128682557,27813.7008753037,32382.6297390252,39860.9104181004,56376.6949891685,81167.470336792,51267.0285621519,46035.8822763433,96277.7916738022,106784.09946429,135046.617196064,120900.816950666,"F","Adolescent","Minganga"
"14",129074.902622173,43518.3977165944,50905.237591356,58735.5468554289,72284.714388156,103061.752513629,148560.442642041,93773.178142339,84169.6065961545,177235.265865852,196022.446887818,248603.049530726,226510.331117559,"M","Adolescent","Minganga"
"15",81820.876202147,25551.4025323294,33188.3154858043,38271.7588677351,47618.9386062268,67609.1939622078,93005.3976279825,61808.3851973843,55371.235126318,108536.802268578,119892.632054421,152222.464398194,137729.411156415,"F","Adulte","Minganga"
"16",169093.748970448,52864.2456149498,68116.7642812139,79357.3929472302,98479.3589288399,139531.926945442,192163.187176541,127134.928730483,113740.11627506,225915.916832776,248230.961397771,313217.965805822,286392.727798218,"M","Adulte","Minganga"
"17",89050.2423124555,28514.2696357202,35979.482866234,40455.9726811414,51100.444997915,72507.838641375,101731.269666318,66348.1584777687,59307.6210695946,120381.715060657,133459.831619936,168003.646746475,151635.683418721,"F","Personne âgée","Minganga"
"18",273102.685476836,92010.5423933269,106005.913764559,123712.321882946,154063.523105671,216878.761570483,316655.339057079,197272.461478295,176819.071405858,376241.873063404,416444.237364347,524485.259595276,477931.957748939,"M","Personne âgée","Minganga"
"19",70433.1196274125,23594.5128682557,27813.7008753037,32382.6297390252,39860.9104181004,56376.6949891685,81167.470336792,51267.0285621519,46035.8822763433,96277.7916738022,106784.09946429,135046.617196064,120900.816950666,"F","Adolescent","Enyelle"
"20",129074.902622173,43518.3977165944,50905.237591356,58735.5468554289,72284.714388156,103061.752513629,148560.442642041,93773.178142339,84169.6065961545,177235.265865852,196022.446887818,248603.049530726,226510.331117559,"M","Adolescent","Enyelle"
"21",81820.876202147,25551.4025323294,33188.3154858043,38271.7588677351,47618.9386062268,67609.1939622078,93005.3976279825,61808.3851973843,55371.235126318,108536.802268578,119892.632054421,152222.464398194,137729.411156415,"F","Adulte","Enyelle"
"22",169093.748970448,52864.2456149498,68116.7642812139,79357.3929472302,98479.3589288399,139531.926945442,192163.187176541,127134.928730483,113740.11627506,225915.916832776,248230.961397771,313217.965805822,286392.727798218,"M","Adulte","Enyelle"
"23",89050.2423124555,28514.2696357202,35979.482866234,40455.9726811414,51100.444997915,72507.838641375,101731.269666318,66348.1584777687,59307.6210695946,120381.715060657,133459.831619936,168003.646746475,151635.683418721,"F","Personne âgée","Enyelle"
"24",273102.685476836,92010.5423933269,106005.913764559,123712.321882946,154063.523105671,216878.761570483,316655.339057079,197272.461478295,176819.071405858,376241.873063404,416444.237364347,524485.259595276,477931.957748939,"M","Personne âgée","Enyelle"
"25",70433.1196274125,23594.5128682557,27813.7008753037,32382.6297390252,39860.9104181004,56376.6949891685,81167.470336792,51267.0285621519,46035.8822763433,96277.7916738022,106784.09946429,135046.617196064,120900.816950666,"F","Adolescent","Betou"
"26",129074.902622173,43518.3977165944,50905.237591356,58735.5468554289,72284.714388156,103061.752513629,148560.442642041,93773.178142339,84169.6065961545,177235.265865852,196022.446887818,248603.049530726,226510.331117559,"M","Adolescent","Betou"
"27",81820.876202147,25551.4025323294,33188.3154858043,38271.7588677351,47618.9386062268,67609.1939622078,93005.3976279825,61808.3851973843,55371.235126318,108536.802268578,119892.632054421,152222.464398194,137729.411156415,"F","Adulte","Betou"
"28",169093.748970448,52864.2456149498,68116.7642812139,79357.3929472302,98479.3589288399,139531.926945442,192163.187176541,127134.928730483,113740.11627506,225915.916832776,248230.961397771,313217.965805822,286392.727798218,"M","Adulte","Betou"
"29",89050.2423124555,28514.2696357202,35979.482866234,40455.9726811414,51100.444997915,72507.838641375,101731.269666318,66348.1584777687,59307.6210695946,120381.715060657,133459.831619936,168003.646746475,151635.683418721,"F","Personne âgée","Betou"
"30",273102.685476836,92010.5423933269,106005.913764559,123712.321882946,154063.523105671,216878.761570483,316655.339057079,197272.461478295,176819.071405858,376241.873063404,416444.237364347,524485.259595276,477931.957748939,"M","Personne âgée","Betou"
