"","Estimate","Est.Error","Q1.5","Q2.5","Q5.5","Q25","Q75","Q16.5","Q10","Q90","Q94.5","Q98.5","Q97.5","sex","age","region"
"1",61979.5617319418,15893.4706357847,30473.5540885589,34822.9812850875,40652.5405929458,53416.8157105434,69423.8025909449,49892.9578318461,45408.5860167276,78606.1200610254,84611.0417427451,102449.39298617,94437.1448714254,"F","Adolescent","Dongou"
"2",134514.120498384,68392.848503434,37199.0755753036,45584.406802118,61613.6775750051,99142.1761307321,154991.086748109,88092.7113885087,75684.9129105309,198741.285713247,230957.096458534,330758.596621626,284281.811902878,"M","Adolescent","Dongou"
"3",88954.2303564592,49971.3854646292,17632.8002871872,25255.3003202614,35853.9234173907,62306.9477256237,103884.754331805,53394.0167971821,44077.0854732618,136105.622346845,162417.799201593,235119.465763624,200134.391872027,"F","Adulte","Dongou"
"4",186835.7516843,181376.57442876,17096.8928645919,21022.5423290179,43104.8216918243,106248.980963569,217611.323167781,85751.6964262995,64746.0276115785,310399.909441762,393455.769036028,671573.587228806,536275.09954584,"M","Adulte","Dongou"
"5",81134.6934431445,24753.8794449941,34925.3407849387,40775.5855267795,49411.7284366063,67585.7580507615,91558.275344437,62261.9787536847,56075.7636127049,108380.833834009,119784.731384715,145913.098245284,133598.398667628,"F","Personne âgée","Dongou"
"6",263664.770178488,203950.55352908,46054.6083738466,58380.7472616779,86515.8453896125,170827.570047846,307163.378454745,143598.116940201,114703.788488113,415415.277691204,512695.769484871,821138.008575069,660220.307527271,"M","Personne âgée","Dongou"
"7",61979.5617319418,15893.4706357847,30473.5540885589,34822.9812850875,40652.5405929458,53416.8157105434,69423.8025909449,49892.9578318461,45408.5860167276,78606.1200610254,84611.0417427451,102449.39298617,94437.1448714254,"F","Adolescent","Macao"
"8",134514.120498384,68392.848503434,37199.0755753036,45584.406802118,61613.6775750051,99142.1761307321,154991.086748109,88092.7113885087,75684.9129105309,198741.285713247,230957.096458534,330758.596621626,284281.811902878,"M","Adolescent","Macao"
"9",88954.2303564592,49971.3854646292,17632.8002871872,25255.3003202614,35853.9234173907,62306.9477256237,103884.754331805,53394.0167971821,44077.0854732618,136105.622346845,162417.799201593,235119.465763624,200134.391872027,"F","Adulte","Macao"
"10",186835.7516843,181376.57442876,17096.8928645919,21022.5423290179,43104.8216918243,106248.980963569,217611.323167781,85751.6964262995,64746.0276115785,310399.909441762,393455.769036028,671573.587228806,536275.09954584,"M","Adulte","Macao"
"11",81134.6934431445,24753.8794449941,34925.3407849387,40775.5855267795,49411.7284366063,67585.7580507615,91558.275344437,62261.9787536847,56075.7636127049,108380.833834009,119784.731384715,145913.098245284,133598.398667628,"F","Personne âgée","Macao"
"12",263664.770178488,203950.55352908,46054.6083738466,58380.7472616779,86515.8453896125,170827.570047846,307163.378454745,143598.116940201,114703.788488113,415415.277691204,512695.769484871,821138.008575069,660220.307527271,"M","Personne âgée","Macao"
"13",61979.5617319418,15893.4706357847,30473.5540885589,34822.9812850875,40652.5405929458,53416.8157105434,69423.8025909449,49892.9578318461,45408.5860167276,78606.1200610254,84611.0417427451,102449.39298617,94437.1448714254,"F","Adolescent","Minganga"
"14",134514.120498384,68392.848503434,37199.0755753036,45584.406802118,61613.6775750051,99142.1761307321,154991.086748109,88092.7113885087,75684.9129105309,198741.285713247,230957.096458534,330758.596621626,284281.811902878,"M","Adolescent","Minganga"
"15",88954.2303564592,49971.3854646292,17632.8002871872,25255.3003202614,35853.9234173907,62306.9477256237,103884.754331805,53394.0167971821,44077.0854732618,136105.622346845,162417.799201593,235119.465763624,200134.391872027,"F","Adulte","Minganga"
"16",186835.7516843,181376.57442876,17096.8928645919,21022.5423290179,43104.8216918243,106248.980963569,217611.323167781,85751.6964262995,64746.0276115785,310399.909441762,393455.769036028,671573.587228806,536275.09954584,"M","Adulte","Minganga"
"17",81134.6934431445,24753.8794449941,34925.3407849387,40775.5855267795,49411.7284366063,67585.7580507615,91558.275344437,62261.9787536847,56075.7636127049,108380.833834009,119784.731384715,145913.098245284,133598.398667628,"F","Personne âgée","Minganga"
"18",263664.770178488,203950.55352908,46054.6083738466,58380.7472616779,86515.8453896125,170827.570047846,307163.378454745,143598.116940201,114703.788488113,415415.277691204,512695.769484871,821138.008575069,660220.307527271,"M","Personne âgée","Minganga"
"19",61979.5617319418,15893.4706357847,30473.5540885589,34822.9812850875,40652.5405929458,53416.8157105434,69423.8025909449,49892.9578318461,45408.5860167276,78606.1200610254,84611.0417427451,102449.39298617,94437.1448714254,"F","Adolescent","Enyelle"
"20",134514.120498384,68392.848503434,37199.0755753036,45584.406802118,61613.6775750051,99142.1761307321,154991.086748109,88092.7113885087,75684.9129105309,198741.285713247,230957.096458534,330758.596621626,284281.811902878,"M","Adolescent","Enyelle"
"21",88954.2303564592,49971.3854646292,17632.8002871872,25255.3003202614,35853.9234173907,62306.9477256237,103884.754331805,53394.0167971821,44077.0854732618,136105.622346845,162417.799201593,235119.465763624,200134.391872027,"F","Adulte","Enyelle"
"22",186835.7516843,181376.57442876,17096.8928645919,21022.5423290179,43104.8216918243,106248.980963569,217611.323167781,85751.6964262995,64746.0276115785,310399.909441762,393455.769036028,671573.587228806,536275.09954584,"M","Adulte","Enyelle"
"23",81134.6934431445,24753.8794449941,34925.3407849387,40775.5855267795,49411.7284366063,67585.7580507615,91558.275344437,62261.9787536847,56075.7636127049,108380.833834009,119784.731384715,145913.098245284,133598.398667628,"F","Personne âgée","Enyelle"
"24",263664.770178488,203950.55352908,46054.6083738466,58380.7472616779,86515.8453896125,170827.570047846,307163.378454745,143598.116940201,114703.788488113,415415.277691204,512695.769484871,821138.008575069,660220.307527271,"M","Personne âgée","Enyelle"
"25",61979.5617319418,15893.4706357847,30473.5540885589,34822.9812850875,40652.5405929458,53416.8157105434,69423.8025909449,49892.9578318461,45408.5860167276,78606.1200610254,84611.0417427451,102449.39298617,94437.1448714254,"F","Adolescent","Betou"
"26",134514.120498384,68392.848503434,37199.0755753036,45584.406802118,61613.6775750051,99142.1761307321,154991.086748109,88092.7113885087,75684.9129105309,198741.285713247,230957.096458534,330758.596621626,284281.811902878,"M","Adolescent","Betou"
"27",88954.2303564592,49971.3854646292,17632.8002871872,25255.3003202614,35853.9234173907,62306.9477256237,103884.754331805,53394.0167971821,44077.0854732618,136105.622346845,162417.799201593,235119.465763624,200134.391872027,"F","Adulte","Betou"
"28",186835.7516843,181376.57442876,17096.8928645919,21022.5423290179,43104.8216918243,106248.980963569,217611.323167781,85751.6964262995,64746.0276115785,310399.909441762,393455.769036028,671573.587228806,536275.09954584,"M","Adulte","Betou"
"29",81134.6934431445,24753.8794449941,34925.3407849387,40775.5855267795,49411.7284366063,67585.7580507615,91558.275344437,62261.9787536847,56075.7636127049,108380.833834009,119784.731384715,145913.098245284,133598.398667628,"F","Personne âgée","Betou"
"30",263664.770178488,203950.55352908,46054.6083738466,58380.7472616779,86515.8453896125,170827.570047846,307163.378454745,143598.116940201,114703.788488113,415415.277691204,512695.769484871,821138.008575069,660220.307527271,"M","Personne âgée","Betou"
