"","Estimate","Est.Error","Q1.5","Q2.5","Q5.5","Q25","Q75","Q16.5","Q10","Q90","Q94.5","Q98.5","Q97.5","sex","age","region"
"1",16350.3449599351,3943.1837686415,8829.99707865451,9424.1828349206,10553.6969202411,13647.5771621919,18700.4950965289,12572.0006008829,11590.0898734472,21424.9873921211,22962.2639390691,26247.707008999,25014.1633656625,"F","Adolescent","Dongou"
"2",18444.1963950352,5467.79569049713,8728.54488026766,9443.72238251464,10708.1791331069,14657.8080113869,21520.3374079662,13316.7141088949,12010.0898578842,25377.5667778766,27560.8259206724,32709.2664314482,30806.8411853858,"M","Adolescent","Dongou"
"3",16750.8656504232,3094.60024775534,11115.4735963922,11593.5714755969,12342.4218416634,14573.9984531858,18634.1516231131,13768.8165089486,13046.7510706575,20808.9185422565,22065.1096636824,24660.9317427705,23602.2662178101,"F","Adulte","Dongou"
"4",28696.1896337239,5703.55672780675,18734.1990209099,19406.7949230153,20708.6952249013,24604.1863847121,32019.334221931,23248.7623292434,22003.0372454438,36199.9814470152,38686.0326212646,43455.3594781367,41665.3690153834,"M","Adulte","Dongou"
"5",19121.0737956766,5077.62371404658,10465.9740054389,11098.2605987501,12308.5369409006,15680.840194417,21803.1435806606,14570.9292831924,13448.8653443023,25400.4109451982,27817.372511281,33184.909062758,31072.3292175006,"F","Personne âgée","Dongou"
"6",37172.2036203711,16958.3795111179,16378.6741914146,17640.5804394575,19748.3724195352,26897.5858594953,42730.5093591353,24284.2453992554,21925.3574610449,55825.5396538202,65101.3303405827,90119.8663882949,79400.7850323494,"M","Personne âgée","Dongou"
"7",19008.4019551632,3368.41288900381,12684.1177111147,13089.25571019,13996.0665190521,16639.1493498267,21138.6834463494,15764.3504813908,14871.5830935985,23443.1796034447,24712.5471202178,27123.4434239987,26184.1485666414,"F","Adolescent","Macao"
"8",19996.2120715612,4245.67542957531,11965.7483976123,12692.04622934,13803.2043558017,16971.9059027382,22618.9328591153,15871.2557699759,14893.1524990389,25580.0668497907,27339.3467168247,30268.6002071175,29292.7552845954,"M","Adolescent","Macao"
"9",19493.0998142971,2587.52730591326,14556.2141536108,14980.4985753835,15665.8663898518,17686.1993914631,21104.6681382471,16992.4400395926,16326.0419787131,22853.261162699,23844.096592066,25823.9763307684,25093.3530116824,"F","Adulte","Macao"
"10",35527.5773621268,4941.36729217832,26148.6829053539,26874.9274307232,28252.5207581872,32076.3902786365,38501.8793741653,30816.6929080291,29522.9890245571,42107.2033694384,44003.4102987195,47754.3648563834,46247.3184995129,"M","Adulte","Macao"
"11",23800.284754744,4011.63364365243,16550.490834148,17142.1939126467,18077.3068082701,20985.3787205263,26188.5995985232,20006.3370243322,18997.1302846132,29076.0112228073,30704.6782872609,34111.7361207649,32943.5083520829,"F","Personne âgée","Macao"
"12",35579.5428628554,6973.94759714251,23040.1989943813,24023.4907413552,25730.2001388124,30617.1640840031,39731.9340917745,28911.4271051639,27313.9360566837,44716.0349958005,47597.9828372139,53683.3000957431,51271.3057387777,"M","Personne âgée","Macao"
"13",10795.6765633774,2208.41311489342,7002.675219515,7279.96297869517,7741.7905781041,9250.94932022403,12054.0338449395,8748.46773372235,8268.73744760307,13678.5777757922,14662.255998857,16736.2201230257,15966.972261177,"F","Adolescent","Minganga"
"14",12034.0084208999,3056.66964119349,6862.7187541513,7261.41851388079,7973.132670522,9900.48876017595,13687.7862040654,9235.93649602479,8598.45490898397,16001.9067352289,17332.1701568987,20438.5736673156,19047.1772697188,"M","Adolescent","Minganga"
"15",8829.07534918639,1236.89973001698,6502.98005867729,6675.33972953794,6972.64739903239,7945.65878633082,9613.3328846198,7639.09343905663,7302.66062259638,10420.4895099368,10896.5664505404,11819.1723537554,11482.449421925,"F","Adulte","Minganga"
"16",12925.818626761,2033.79759484225,9152.26000813952,9423.27342677371,9945.7558955521,11484.0867117185,14160.5785717817,10980.2940927618,10462.5824194642,15577.530689459,16411.302534984,17973.3729728608,17430.5389220016,"M","Adulte","Minganga"
"17",11342.256700709,1916.81596342113,7796.36218667831,8071.31103341274,8560.267999654,10003.195773456,12515.4551018579,9506.9786560521,9024.81626444247,13868.003836944,14618.5105312479,16174.9835199907,15558.7072293416,"F","Personne âgée","Minganga"
"18",19582.0270493972,5520.91356569494,10837.7916334557,11386.6351640414,12552.7732577638,15745.8602320171,22324.1735360722,14611.0835999796,13581.3735070467,26553.0891013696,29415.9902323677,35549.7898777696,33232.3923821653,"M","Personne âgée","Minganga"
"19",31902.7947697884,4831.11262941037,22870.6855831316,23604.1346547683,24898.462993929,28532.0431489089,34857.3986954906,27286.1987211336,26075.7747745774,38173.4415326955,40117.0404060707,44097.2974999559,42460.6582636789,"F","Adolescent","Enyelle"
"20",41144.9266728658,6902.24599606213,28683.4507240763,29732.2830976489,31305.0549321578,36239.7150316776,45414.9399008961,34567.3700710956,32822.4150018189,50233.6116730975,53061.6671882731,58462.8500047169,56528.0309555694,"M","Adolescent","Enyelle"
"21",29115.307845283,3063.87378893681,23094.4264491212,23574.0459241424,24509.2674768687,26961.4624441829,31102.0069903962,26119.1100809134,25312.0848880372,33129.7072658768,34287.5124887698,36272.4468008655,35526.7338468655,"F","Adulte","Enyelle"
