"","Estimate","Est.Error","Q1.5","Q2.5","Q5.5","Q25","Q75","Q16.5","Q10","Q90","Q94.5","Q98.5","Q97.5","sex","age","region"
"1",67001.1610688549,10243.6638209919,49507.9303245182,50755.8025747193,53052.0190446982,59746.5225293001,72780.8343971048,57395.3089593155,55177.0922310096,80530.2612370129,85168.5634251823,94200.3593686505,90464.2451435797,"F","Adolescent","Dongou"
"2",144908.739315448,47030.6723031216,62031.0547892566,72512.1610141044,88189.3429316796,117164.668122194,164502.464192042,108043.207910664,98215.6129003182,197237.802174428,219413.791479931,271676.877451216,250149.511160547,"M","Adolescent","Dongou"
"3",91981.1422333629,41069.4715201061,31741.4456963043,37447.403149345,47538.3738712715,71120.2168711894,104485.226248267,64297.9577558023,56350.0173259587,129680.759075324,149975.134114833,204629.836196523,180251.03064299,"F","Adulte","Dongou"
"4",197093.8050299,105653.16149133,54255.9606525279,65897.5214665712,86573.5388084246,143271.082142218,228776.455070055,126667.313463763,106879.708706889,290168.96824789,340492.832187785,475800.547599793,422122.059995673,"M","Adulte","Dongou"
"5",99709.8623671427,24196.3957224457,52595.1641126587,59575.4025867755,68562.2162346369,86186.091553515,110903.990356215,80996.2042007983,75438.4280466658,124918.208477722,134069.060298535,159477.247063649,148409.431895844,"F","Personne âgée","Dongou"
"6",215865.740940903,89058.7021474573,77090.023988798,92142.7560357888,115902.712286957,169917.017015354,247484.9377908,153291.550532647,135717.678084705,297900.207180626,337472.279642271,434473.101544224,395029.10410829,"M","Personne âgée","Dongou"
"7",61113.1453931878,7431.53611829907,46706.4279348624,47912.5133220117,50253.8398697447,55979.7323262316,65612.1057948929,54058.8336077954,52087.5866540072,70790.3527822613,73638.6908700446,79336.610583082,77025.6678176259,"F","Adolescent","Macao"
"8",132100.378442064,40362.8643261176,58604.7665790489,67463.7787513549,81413.774838071,109473.576590932,148935.926138205,101018.613125597,91829.627441255,174643.061969155,193766.361900676,242692.509773183,221577.762702563,"M","Adolescent","Macao"
"9",84019.4323656214,37054.5619227033,29477.8330342794,35072.6652488775,44436.006697654,65773.9980475948,95020.9179514151,59140.8861711552,52124.948991924,117166.480457379,135007.67287976,188360.913338306,162331.095145413,"F","Adulte","Macao"
"10",179915.237896193,94903.0254939324,50966.0358779053,61350.8873777528,81171.546897546,131938.25830387,207463.749810293,117558.611940788,99504.2051902022,264291.758447377,304455.156499149,433523.383273592,380200.348110991,"M","Adulte","Macao"
"11",91020.872867473,21504.7522346284,50831.784617976,57071.2634462534,65034.4207607513,79956.676525915,99457.1523672319,75603.3623959906,70726.6356778696,111283.055257307,119656.339339351,144593.909939325,132824.490357406,"F","Personne âgée","Macao"
"12",196906.264575535,78495.0515146865,73627.6917150187,87612.427320226,108702.657830303,157566.103638378,223951.467174972,143254.882329582,126847.286764099,267221.165838686,300622.329413124,393639.720109513,357939.811574438,"M","Personne âgée","Macao"
"13",57306.2603184442,8552.19904899083,39628.7162987345,41110.2936533495,44063.3028915167,51544.4137384484,62685.6477351574,49121.7788379805,46592.5389273504,68067.5186935976,71076.8264853836,77325.1850352965,75154.3383948487,"F","Adolescent","Minganga"
