"","Estimate","Est.Error","Q1.5","Q2.5","Q5.5","Q25","Q75","Q16.5","Q10","Q90","Q94.5","Q98.5","Q97.5","sex","age","region"
"1",16201.8674791268,4046.01143575059,8492.22811819816,9096.55860745911,10155.1778319259,13410.14848354,18699.6857200035,12325.3979810361,11256.5809333827,21509.9021120191,23025.9895134444,25990.3011943597,25040.0046466704,"F","Adolescent","Dongou"
"2",18543.5789816163,5081.94566739098,9082.54432244422,9807.81203972356,11153.1906843053,15009.2047458768,21679.6111275513,13709.8328895986,12378.3123196374,25166.359079127,27088.4848351119,31167.8147957695,29718.7460714794,"M","Adolescent","Dongou"
"3",17009.516366196,3031.88742874773,11476.063163516,11864.3120860041,12643.4778971882,14874.3104792173,18861.8416599857,14105.5626187005,13404.8322676356,20952.7258045742,22200.1647472136,24771.6824734348,23828.8746571398,"F","Adulte","Dongou"
"4",28779.8700495702,5384.81238770534,18938.9054924373,19612.4365771008,21078.5684506974,24997.0392109227,32073.6144923165,23702.7344695308,22359.9805270459,35801.1661320833,37885.1768627337,42626.2276941989,40822.1387979571,"M","Adulte","Dongou"
"5",19715.7216845889,4993.70914541954,11370.9399154919,11953.9054376432,13074.0735702203,16324.2569986712,22344.544564833,15211.3100392935,14142.424281863,25992.8475498975,28323.3702112724,33615.4677442756,31459.340686871,"F","Personne âgée","Dongou"
"6",31713.912224541,8930.62470528633,17056.1847290959,17976.8661621575,19907.3968250847,25628.883276559,36376.7741983114,23608.1810677091,21731.4580268595,42821.2205775706,47199.5823585046,56990.7649809295,53223.3309570505,"M","Personne âgée","Dongou"
"7",18489.8501596078,3402.42709026137,12006.4268746597,12496.8151414065,13451.3257863264,16075.3880727761,20641.7827058046,15205.1926474951,14277.56650188,22915.5145532506,24169.3134178538,26834.7555330385,25744.51640264,"F","Adolescent","Macao"
"8",21038.6938616727,4223.29670025743,13167.6554088448,13758.9462221628,14816.9788901369,18019.6395114213,23706.8008527479,16867.2958913836,15862.3457199643,26683.7168869963,28218.3181315529,31239.9404656001,29938.1418716506,"M","Adolescent","Macao"
"9",20200.6370106927,2581.54167759716,15167.5227793171,15642.9441281837,16356.2844621008,18398.6016124684,21786.9045546562,17717.3693175631,17032.4228624551,23644.178635927,24607.0620711277,26524.0434398178,25720.1508946009,"F","Adulte","Macao"
"10",34052.3348049309,4512.72603759931,25390.191675189,26113.0406298713,27314.435952506,30930.184599341,36827.7856360982,29748.9144736195,28560.430348751,39898.7961195765,41804.8672101611,45055.1817474696,43777.0468287908,"M","Adulte","Macao"
"11",23299.8630101354,3660.89033123877,16478.1256906476,17028.8302498672,18014.5586592517,20722.7675226733,25531.5518134582,19783.6482244984,18854.1145935624,28158.753846278,29598.7960285588,32455.2475048652,31378.6936658893,"F","Personne âgée","Macao"
"12",37228.9852292166,6567.66620245115,25319.2559306597,26168.5774354275,27853.1891162161,32561.5781157971,41178.8971532642,30920.2998179809,29343.8356051249,45717.9443015098,48476.8188638183,53969.0476430955,51867.9149604842,"M","Personne âgée","Macao"
"13",11317.5930456707,2426.13768435216,7171.71950012733,7507.62501301403,8000.27905984572,9595.82523592728,12717.1575442824,9041.56720891065,8486.79825053265,14561.9896424399,15580.7303565562,17645.1916513533,16939.3726061824,"F","Adolescent","Minganga"
"14",11632.6302499478,2728.75486416538,7067.28046875762,7374.91030412336,7973.50409369591,9706.61645379872,13140.5728545627,9138.983051545,8533.22031324093,15206.5842405141,16510.4895076841,19153.9919101001,18138.3144367913,"M","Adolescent","Minganga"
"15",8669.68808082336,1201.38252179018,6347.72103482814,6544.4780937607,6895.79659937934,7830.73742967663,9421.47012773936,7514.73631487014,7205.26795208752,10221.2628982937,10683.3180746718,11550.8147568731,11226.4770775657,"F","Adulte","Minganga"
"16",13201.8161509022,1975.6205893289,9475.83424243195,9758.70647150073,10277.4572315189,11815.1771546199,14429.2023896666,11308.9823522117,10811.3792274688,15820.5626794433,16560.6039499735,18046.0180045012,17445.7427262029,"M","Adulte","Minganga"
"17",11709.0797556691,1955.90307942787,8110.41534698053,8405.71865637819,8894.08048474213,10327.3708893464,12929.1430978643,9833.25113428165,9352.64881931905,14271.6065508701,15009.3932800647,16567.7746187862,15921.6698188564,"F","Personne âgée","Minganga"
"18",16959.0280118878,3538.75642535662,10744.7064060167,11147.8067256617,12003.7090201646,14444.8361207876,19037.0533759825,13617.3078527023,12759.3263815106,21636.8196205456,23170.9620596945,26120.6793104355,25078.2047677153,"M","Personne âgée","Minganga"
"19",31077.6429496619,4745.63699268491,22167.6480732465,22879.8402620202,24153.7143070436,27761.7151114998,33971.5622210207,26527.4898148506,25345.4895236292,37312.4308610875,39123.5560179564,42986.2259893156,41473.3333598155,"F","Adolescent","Enyelle"
"20",43931.5640603119,6891.22279611942,31051.4713570077,32046.7567098124,33945.1900938529,39030.5362338276,48072.0505530698,37271.9623877648,35669.4464643403,53126.7396167139,55895.0948757537,61160.108824368,59150.1916021671,"M","Adolescent","Enyelle"
"21",29401.3412712707,3072.44051822213,23352.3967164305,23887.4663680271,24803.0583751784,27233.5031477147,31393.6995112545,26417.7915644396,25594.8388174587,33438.0581542248,34560.0005578099,36598.3179955736,35882.0315811214,"F","Adulte","Enyelle"
"22",61692.8650145314,6431.75169142195,48972.4338762092,50166.7612775232,52042.3199928194,57203.0161304034,65852.371844285,55466.8720740841,53623.2399562812,70228.1437408375,72431.5812657964,76621.0810181482,74968.504013951,"M","Adulte","Enyelle"
"23",33094.9058003196,4933.92353981416,23721.0777614582,24440.1351681521,25813.808723232,29640.7180646696,36164.773766277,28321.7694810948,27079.7459754878,39509.8543668244,41499.2975207861,45203.6357606816,43733.895754281,"F","Personne âgée","Enyelle"
"24",65777.0481616019,10587.443401605,46170.2584462684,47410.7579970892,50416.7783039814,58240.5795526427,72266.3040754514,55625.3960062372,53002.1314385762,79525.9892229832,83786.1598109317,92503.0645529219,89085.5326366255,"M","Personne âgée","Enyelle"
"25",20407.0997174686,4019.26745246121,13641.7500679702,14089.5682511608,14947.4487867094,17567.2842069044,22621.3605182731,16684.450791213,15803.4475643252,25803.165371342,27617.3619552087,31204.2585680892,29847.4728444737,"F","Adolescent","Betou"
"26",18997.8836214131,3651.71119728206,12525.4895991127,13140.2493770298,13981.0217285474,16427.0304766136,21076.3971404942,15612.4410812367,14790.8952204106,23856.6788036803,25483.9503527497,28590.2411148031,27469.3044434335,"M","Adolescent","Betou"
"27",16441.3941636881,2323.44605121699,12045.680704336,12404.3742024466,13005.3140886647,14805.2029046523,17895.1481376281,14188.582541613,13605.166913612,19520.0022806185,20422.3209721087,22018.77883288,21450.3122055767,"F","Adulte","Betou"
"28",22779.8474451304,3421.43963970555,16317.8417585206,16825.2797694147,17742.5146950048,20379.673701744,24908.0402911918,19479.0383703294,18619.4218771093,27237.6600793068,28605.1487351892,31249.3434290124,30121.5782944443,"M","Adulte","Betou"
"29",19580.718887654,3416.92936084585,13255.9568406588,13664.4235536558,14633.8359909068,17161.599311353,21669.7525261429,16306.4369392368,15410.516033851,24020.5903756413,25496.5797258959,28197.2215524292,27178.2568590889,"F","Personne âgée","Betou"
"30",25850.382441935,5674.44369934884,15270.7805494275,16201.7937769843,17653.2604448759,21825.6905627385,29366.4247660209,20406.9196692265,18989.423665465,33371.2195236441,35524.5448511223,39953.6942607704,38194.4070648001,"M","Personne âgée","Betou"
