"","Estimate","Est.Error","Q1.5","Q2.5","Q5.5","Q25","Q75","Q16.5","Q10","Q90","Q94.5","Q98.5","Q97.5","sex","age","region"
"1",61575.5879890052,13295.4945058293,33958.4223403461,38725.610896489,44691.6367683223,54527.1921760516,66978.1927874432,51808.2760709334,48700.548691818,75184.8499746815,81575.5775508379,99124.5519500193,91425.5292927971,"F","Adolescent","Dongou"
"2",132722.921331951,46111.9307794436,49806.1039754841,59136.4272677221,74493.2428520715,107275.646350073,150680.745953568,97687.3225675323,86938.0336173081,181093.303614285,201935.204868921,264340.282740252,237902.498655797,"M","Adolescent","Dongou"
"3",84503.9310788414,38436.369959061,25995.9820546232,30643.7660380455,40521.6630558524,63449.4680675068,97751.7437123905,56000.3837987358,48530.1160526049,121722.327232166,140157.784254152,197581.91912494,172344.08321624,"F","Adulte","Dongou"
"4",180361.490533966,95224.4358530912,47149.8397160978,55290.1227384652,74308.4441569062,129841.572641249,210465.638244271,112283.429165783,93143.7858203581,269317.84995613,314759.914643429,445980.693009695,389265.133616068,"M","Adulte","Dongou"
"5",91637.6116816174,26965.5702523634,41213.1717831213,48079.0970664942,58946.8486966528,77784.0402535043,101286.598355649,72508.644057813,66251.0676730528,117803.285840192,130411.655585616,168904.602047505,151852.009555256,"F","Personne âgée","Dongou"
"6",197669.393833649,84407.293821933,65740.8206931838,78400.0365609204,100789.547393774,154200.21319304,225428.712284293,138799.608172252,120538.383131489,273966.667678381,314775.747855011,429266.702593048,378702.612396563,"M","Personne âgée","Dongou"
"7",61575.5879890052,13295.4945058293,33958.4223403461,38725.610896489,44691.6367683223,54527.1921760516,66978.1927874432,51808.2760709334,48700.548691818,75184.8499746815,81575.5775508379,99124.5519500193,91425.5292927971,"F","Adolescent","Macao"
"8",132722.921331951,46111.9307794436,49806.1039754841,59136.4272677221,74493.2428520715,107275.646350073,150680.745953568,97687.3225675323,86938.0336173081,181093.303614285,201935.204868921,264340.282740252,237902.498655797,"M","Adolescent","Macao"
"9",84503.9310788414,38436.369959061,25995.9820546232,30643.7660380455,40521.6630558524,63449.4680675068,97751.7437123905,56000.3837987358,48530.1160526049,121722.327232166,140157.784254152,197581.91912494,172344.08321624,"F","Adulte","Macao"
"10",180361.490533966,95224.4358530912,47149.8397160978,55290.1227384652,74308.4441569062,129841.572641249,210465.638244271,112283.429165783,93143.7858203581,269317.84995613,314759.914643429,445980.693009695,389265.133616068,"M","Adulte","Macao"
"11",91637.6116816174,26965.5702523634,41213.1717831213,48079.0970664942,58946.8486966528,77784.0402535043,101286.598355649,72508.644057813,66251.0676730528,117803.285840192,130411.655585616,168904.602047505,151852.009555256,"F","Personne âgée","Macao"
"12",197669.393833649,84407.293821933,65740.8206931838,78400.0365609204,100789.547393774,154200.21319304,225428.712284293,138799.608172252,120538.383131489,273966.667678381,314775.747855011,429266.702593048,378702.612396563,"M","Personne âgée","Macao"
"13",61575.5879890052,13295.4945058293,33958.4223403461,38725.610896489,44691.6367683223,54527.1921760516,66978.1927874432,51808.2760709334,48700.548691818,75184.8499746815,81575.5775508379,99124.5519500193,91425.5292927971,"F","Adolescent","Minganga"
"14",132722.921331951,46111.9307794436,49806.1039754841,59136.4272677221,74493.2428520715,107275.646350073,150680.745953568,97687.3225675323,86938.0336173081,181093.303614285,201935.204868921,264340.282740252,237902.498655797,"M","Adolescent","Minganga"
"15",84503.9310788414,38436.369959061,25995.9820546232,30643.7660380455,40521.6630558524,63449.4680675068,97751.7437123905,56000.3837987358,48530.1160526049,121722.327232166,140157.784254152,197581.91912494,172344.08321624,"F","Adulte","Minganga"
"16",180361.490533966,95224.4358530912,47149.8397160978,55290.1227384652,74308.4441569062,129841.572641249,210465.638244271,112283.429165783,93143.7858203581,269317.84995613,314759.914643429,445980.693009695,389265.133616068,"M","Adulte","Minganga"
"17",91637.6116816174,26965.5702523634,41213.1717831213,48079.0970664942,58946.8486966528,77784.0402535043,101286.598355649,72508.644057813,66251.0676730528,117803.285840192,130411.655585616,168904.602047505,151852.009555256,"F","Personne âgée","Minganga"
"18",197669.393833649,84407.293821933,65740.8206931838,78400.0365609204,100789.547393774,154200.21319304,225428.712284293,138799.608172252,120538.383131489,273966.667678381,314775.747855011,429266.702593048,378702.612396563,"M","Personne âgée","Minganga"
"19",61575.5879890052,13295.4945058293,33958.4223403461,38725.610896489,44691.6367683223,54527.1921760516,66978.1927874432,51808.2760709334,48700.548691818,75184.8499746815,81575.5775508379,99124.5519500193,91425.5292927971,"F","Adolescent","Enyelle"
"20",132722.921331951,46111.9307794436,49806.1039754841,59136.4272677221,74493.2428520715,107275.646350073,150680.745953568,97687.3225675323,86938.0336173081,181093.303614285,201935.204868921,264340.282740252,237902.498655797,"M","Adolescent","Enyelle"
"21",84503.9310788414,38436.369959061,25995.9820546232,30643.7660380455,40521.6630558524,63449.4680675068,97751.7437123905,56000.3837987358,48530.1160526049,121722.327232166,140157.784254152,197581.91912494,172344.08321624,"F","Adulte","Enyelle"
"22",180361.490533966,95224.4358530912,47149.8397160978,55290.1227384652,74308.4441569062,129841.572641249,210465.638244271,112283.429165783,93143.7858203581,269317.84995613,314759.914643429,445980.693009695,389265.133616068,"M","Adulte","Enyelle"
"23",91637.6116816174,26965.5702523634,41213.1717831213,48079.0970664942,58946.8486966528,77784.0402535043,101286.598355649,72508.644057813,66251.0676730528,117803.285840192,130411.655585616,168904.602047505,151852.009555256,"F","Personne âgée","Enyelle"
"24",197669.393833649,84407.293821933,65740.8206931838,78400.0365609204,100789.547393774,154200.21319304,225428.712284293,138799.608172252,120538.383131489,273966.667678381,314775.747855011,429266.702593048,378702.612396563,"M","Personne âgée","Enyelle"
"25",61575.5879890052,13295.4945058293,33958.4223403461,38725.610896489,44691.6367683223,54527.1921760516,66978.1927874432,51808.2760709334,48700.548691818,75184.8499746815,81575.5775508379,99124.5519500193,91425.5292927971,"F","Adolescent","Betou"
"26",132722.921331951,46111.9307794436,49806.1039754841,59136.4272677221,74493.2428520715,107275.646350073,150680.745953568,97687.3225675323,86938.0336173081,181093.303614285,201935.204868921,264340.282740252,237902.498655797,"M","Adolescent","Betou"
"27",84503.9310788414,38436.369959061,25995.9820546232,30643.7660380455,40521.6630558524,63449.4680675068,97751.7437123905,56000.3837987358,48530.1160526049,121722.327232166,140157.784254152,197581.91912494,172344.08321624,"F","Adulte","Betou"
"28",180361.490533966,95224.4358530912,47149.8397160978,55290.1227384652,74308.4441569062,129841.572641249,210465.638244271,112283.429165783,93143.7858203581,269317.84995613,314759.914643429,445980.693009695,389265.133616068,"M","Adulte","Betou"
"29",91637.6116816174,26965.5702523634,41213.1717831213,48079.0970664942,58946.8486966528,77784.0402535043,101286.598355649,72508.644057813,66251.0676730528,117803.285840192,130411.655585616,168904.602047505,151852.009555256,"F","Personne âgée","Betou"
"30",197669.393833649,84407.293821933,65740.8206931838,78400.0365609204,100789.547393774,154200.21319304,225428.712284293,138799.608172252,120538.383131489,273966.667678381,314775.747855011,429266.702593048,378702.612396563,"M","Personne âgée","Betou"
