"","age","sex","region","median_dist_mean","median_dist_median","max_dist_mean","max_dist_median"
"1","Adolescent","F","Betou",9.70234591508627,8.79533072794626,22.4743148278793,16.3997158936714
"2","Adolescent","F","Dongou",18.2336932799899,12.5276981916953,108.001906125937,58.1112770133697
"3","Adolescent","F","Enyelle",20.970656692936,14.1775674310586,63.6071697519653,52.247007957094
"4","Adolescent","F","Macao",39.2103116102045,38.4234107408582,66.0750457021004,52.953158834772
"5","Adolescent","F","Minganga",24.6242017589565,12.1527242278768,53.7506863546551,61.2882741304611
"6","Adolescent","M","Betou",8.0730730586245,8.0730730586245,487.202991048995,487.202991048995
"7","Adolescent","M","Dongou",19.7800756199939,13.9086206109622,73.3205952859076,74.7500716451141
"8","Adolescent","M","Enyelle",12.6817374459352,8.99154472651015,223.686912514736,198.224331832874
"9","Adolescent","M","Macao",47.4303236075208,46.0965748835738,108.533722412199,119.856039088623
"10","Adolescent","M","Minganga",25.0492791822953,11.5968963734129,95.1632372862711,78.453212437966
"11","Adulte","F","Betou",17.1532284208068,9.26104932135044,289.640105236358,120.87138509975
"12","Adulte","F","Dongou",21.754670720427,14.0452142484372,69.015947025322,64.9157750386983
"13","Adulte","F","Enyelle",9.97868737871037,6.899145368153,63.0437569533452,39.0916729342256
"14","Adulte","F","Macao",30.9710890107582,26.3277978143218,76.115308548746,58.9333453754532
"15","Adulte","F","Minganga",20.0561647826689,14.004189233607,75.1409716674346,75.8725526767325
"16","Adulte","M","Betou",35.8780548640567,18.0393184847113,349.218071390309,168.939789358363
"17","Adulte","M","Dongou",44.5686021359411,23.012175228206,210.25782949422,77.3902411022632
"18","Adulte","M","Enyelle",16.075422048471,10.813238748623,176.264899226044,81.0299133483854
"19","Adulte","M","Macao",67.3316920600056,69.2155916510833,141.751748669709,157.431834866536
"20","Adulte","M","Minganga",23.4001371879573,15.7166934340609,103.202811954374,79.9734540143441
"21","Personne âgée","F","Betou",23.325654736234,18.377311751471,103.154216480091,105.539674940874
"22","Personne âgée","F","Dongou",30.2210524627294,19.4409745111851,123.701032455942,77.622720628387
"23","Personne âgée","F","Enyelle",13.8710178366094,9.78155679394045,58.9828754484274,48.5643659262619
"24","Personne âgée","F","Macao",35.9291326036168,31.5765761453479,79.6127153470112,57.2732711207911
"25","Personne âgée","F","Minganga",22.0422974803624,20.1979469006592,77.1704209479822,75.8725526767325
"26","Personne âgée","M","Betou",70.4877158584172,70.4877158584172,184.323600475667,184.323600475667
"27","Personne âgée","M","Dongou",51.9727464674913,18.5951167490015,305.486140213385,124.374648294447
"28","Personne âgée","M","Enyelle",25.1776303364121,8.74749753119534,479.738964081114,549.052070828146
"29","Personne âgée","M","Macao",69.0121761968803,78.3052548694023,237.451240546531,128.65331795126
"30","Personne âgée","M","Minganga",13.8033304142178,13.2350387615768,109.23220847837,104.960535916725
