"","Nom.du.campement","Old_person","Adulte","Enfant...Notez.si.la.personne.est.un.enfant.","MY.REFERENCE","Sexe","Lieu.de.naissance.coded","Est.ce.que.la.personne.à.des.enfants.....La.personne.à.des.enfants....Combien.d.enfants.en.vie","Tranche.d.age","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","median","max"
"1","Lokoko6",0,0,"Oui","E1","F","Lokoko6",NA,"Enfant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14256.8995803071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4450.69474488852,0,0,0,0,0,57488.0439046715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14256.8995803071,57488.0439046715
"2","Likeko",0,0,"Oui","E10","M","Likeko",NA,"Enfant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13602.8003664751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13602.8003664751,13602.8003664751
"3","Lokoko1",0,0,"Oui","E100","F","Lokoko1",NA,"Enfant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3019.91995986196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3019.91995986196,3019.91995986196
"4","Lokoko1",0,0,"Oui","E101","F","Lokoko1",NA,"Enfant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3019.91995986196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3019.91995986196,3019.91995986196
"5","Lokoko1",0,1,"Non","E102","F","Enyelle",NA,"Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,10404.8772481664,10296.6898189865,10275.0890789261,10028.8647641748,10299.7301730953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3019.91995986196,0,0,0,0,37427.4903394973,58938.5189839516,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10298.2099960409,58938.5189839516
"6","Sobé",0,0,"Oui","E103","F","Sobé",NA,"Enfant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf
"7","Sobé",0,1,"Non","E104","M","Enyelle",NA,"Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12364.9746863724,0,0,2582.18169629846,3041.07615964603,3079.55857038282,0,2616.32902109827,2617.30121187744,2750.73813670969,0,0,81952.0286629164,0,0,0,0,0,0,128766.102140528,40683.8383252678,32727.5660295331,4476.77789597856,0,0,0,0,0,65617.7855178854,25743.5000152573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8420.8762911755,128766.102140528
"8","Sobé",0,1,"Non","E105","F","Enyelle",NA,"Adulte",7267.05290044401,8324.99865446892,8367.05917075037,8406.90368172991,8361.81563644302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2582.18169629846,3041.07615964603,3079.55857038282,2542.59355596808,2616.32902109827,2617.30121187744,2750.73813670969,0,0,81952.0286629164,0,0,0,0,0,0,128766.102140528,0,32727.5660295331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7267.05290044401,128766.102140528
"9","Sobé",0,0,"Non","E106","F","Enyelle",NA,"Adolescent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2582.18169629846,3041.07615964603,3079.55857038282,2542.59355596808,2616.32902109827,2617.30121187744,2750.73813670969,0,0,0,0,0,0,0,0,0,0,0,0,4476.77789597856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38850.6401838768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2750.73813670969,38850.6401838768
"10","Molapa_EN",0,1,"Non","E107","M","Enyelle",NA,"Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2050.79522727313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7226.89474625398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4638.84498676356,7226.89474625398
"11","Molapa_EN",0,1,"Non","E108","F","Enyelle",NA,"Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2050.79522727313,2813.93587762802,0,0,0,0,2750.73813670969,0,0,0,0,0,0,0,0,0,38987.7735191422,31467.7823180439,0,0,0,0,0,0,0,26090.9734223986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14452.4546500133,38987.7735191422
"12","Molapa_EN",0,1,"Oui","E109","F","Enyelle",NA,"Enfant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf
