"","Nom.du.campement","Old_person","Adulte","Enfant...Notez.si.la.personne.est.un.enfant.","MY.REFERENCE","Sexe","Lieu.de.naissance.coded","Est.ce.que.la.personne.à.des.enfants.....La.personne.à.des.enfants....Combien.d.enfants.en.vie","Tranche.d.age","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","median","max"
"1","Bateké2",0,0,"Oui","M65","M","Macao",NA,"Enfant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26986.3058374308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26986.3058374308,26986.3058374308
"2","Bakouengué",0,0,"Oui","M30","F","Macao",NA,"Enfant",0,0,0,0,0,2354.70991101907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23900.5982679839,0,0,0,0,0,24156.7445854683,0,0,0,0,0,0,162000.298192499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24028.6714267261,162000.298192499
"3","Boua1",0,0,"Oui","M64","F","Bangui",NA,"Enfant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39410.9412185178,0,115691.860861513,0,0,0,0,48740.7224788328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22611.5407632446,0,0,0,0,0,44075.8318486753,115691.860861513
"4","Kakélo6",0,1,"Non","M151","F","Bangui",NA,"Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,2796.94375733602,2341.8448165916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50376.2539772928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27327.593512902,0,0,0,0,0,15062.268635119,50376.2539772928
"5","Boua2",0,0,"","M75","F","Bangui",NA,"FALSE",0,0,0,0,0,0,0,0,0,0,0,0,2139.85027524602,9011.84018413536,8919.50767534176,9372.23789720004,9863.62628293346,9944.53369670127,10235.1190240658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48714.5232436876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22625.2879203358,0,0,0,0,0,9863.62628293346,48714.5232436876
"6","Kakélo6",0,0,"Oui","M113","F","Bangui",NA,"Enfant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11840.2978704713,0,0,0,0,0,50376.2539772928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27327.593512902,0,0,0,0,0,27327.593512902,50376.2539772928
"7","Kakélo4",0,1,"Non","M167","M","Bangui",2,"Adulte",0,0,0,0,0,0,0,0,0,0,0,0,7756.07326036817,2211.02980634604,0,0,0,0,0,0,95956.0772220769,88723.4461560168,82763.4618925051,0,0,0,0,123385.048481804,0,0,0,0,0,0,0,0,0,0,0,0,50714.8513661867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82763.4618925051,123385.048481804
"8","Boua1",0,1,"Non","M90","F","Bangui",NA,"Adulte",0,0,0,0,0,0,0,0,13874.257005192,10223.7824240457,0,0,2306.38930255378,9172.8837897126,9085.00963425744,9540.52380693512,10038.0800338818,10120.0868718259,10411.3955637844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48740.7224788328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89004.8307634215,0,0,0,0,10120.0868718259,89004.8307634215
"9","Kakélo6",0,1,"Non","M111","F","Bangui",2,"Adulte",0,0,0,0,0,0,0,0,0,0,0,0,8148.95067736465,2796.94375733602,2341.8448165916,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11840.2978704713,0,0,0,0,0,50376.2539772928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136588.681769081,0,0,0,0,0,0,0,0,0,0,0,0,0,9994.62427391797,136588.681769081
"10","Kakélo4",0,0,"Non","M119","F","Bangui",NA,"Adolescent",0,0,0,0,0,0,0,0,0,0,0,0,7756.07326036817,2211.02980634604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11509.7489234474,0,0,0,0,0,50714.8513661867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9632.9110919078,50714.8513661867
"11","Boua2",0,0,"Oui","M78","F","Bangui",NA,"Enfant",0,0,0,0,0,0,0,0,0,10180.0960465773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10180.0960465773,10180.0960465773
"12","Boua2",0,0,"Oui","M80","F","Bangui",NA,"Enfant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48714.5232436876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48714.5232436876,48714.5232436876
"13","Kakélo2",0,1,"Non","M132","F","Bangui",NA,"Adulte",0,0,0,0,0,0,0,0,0,14631.1288382643,9085.00963425744,0,6779.67222175919,0,0,0,0,0,0,0,94426.4274009964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51756.9057453129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14631.1288382643,94426.4274009964
"14","Kakélo2",0,0,"Oui","M135","F","Bangui",NA,"Enfant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf
"15","Kakélo5",0,0,"Non","M142","M","Bangui",NA,"Adolescent",0,0,0,0,0,0,0,0,0,0,10120.0868718259,9944.53369670127,7848.88419351203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50486.2716079486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151034.58260435,0,0,10120.0868718259,151034.58260435
"16","Kakélo2",0,0,"Oui","M134","F","Bangui",NA,"Enfant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf
"17","Boua1",1,1,"Non","M63","F","Bangui",NA,"Personne âgée",0,0,0,0,0,0,0,0,0,0,0,0,0,9172.8837897126,9085.00963425744,9540.52380693512,10038.0800338818,10120.0868718259,10411.3955637844,0,94999.900951864,0,0,0,0,0,0,125796.580993017,0,0,0,0,0,0,0,0,0,0,0,0,48740.7224788328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10120.0868718259,125796.580993017
"18","Bateké1",0,1,"Non","M11","M","Djoubou",NA,"Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123026.740058616,0,105277.767860279,253807.993763848,0,0,0,154119.4245682,0,0,0,0,67990.6458306737,0,0,0,162035.328529368,0,0,0,0,0,0,79244.0436877342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123026.740058616,253807.993763848
"19","Kakélo4",0,1,"Non","M162","F","Bangui",NA,"Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50714.8513661867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27460.7476359288,0,0,0,0,0,39087.7995010578,50714.8513661867
"20","Bakouengué",0,0,"Oui","M27","F","Macao",NA,"Enfant",0,0,0,0,0,2354.70991101907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24156.7445854683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8016.84589738934,0,0,0,0,0,8016.84589738934,24156.7445854683
"21","Bakouengué",0,0,"Oui","M29","F","Macao",NA,"Enfant",0,0,0,0,0,2354.70991101907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23900.5982679839,0,0,0,0,0,24156.7445854683,0,0,0,0,0,0,162000.298192499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24028.6714267261,162000.298192499
"22","Boua2",0,1,"Non","M130","M","Bangui",NA,"Adulte",0,0,0,0,0,0,0,0,0,0,0,0,2139.85027524602,9011.84018413536,8919.50767534176,9372.23789720004,9863.62628293346,9944.53369670127,10235.1190240658,0,95051.2893869942,86475.3939933409,79223.9135333604,0,0,0,0,125790.273432866,0,0,0,85434.9993040442,40909.4204302595,0,0,0,0,0,0,0,48714.5232436876,0,0,54223.313255282,0,0,0,0,0,0,0,48817.1425292464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44811.9718369735,125790.273432866
