"Region","Age_Group","W_Statistic","P_Value","Female_Median","Male_Median","Female_N","Male_N"
"Dongou","Adult",988,0.00135102218177226,64.9157750386983,77.3902411022632,72,55
"Dongou","Old person",134,0.304101025482775,77.622720628387,124.374648294447,26,17
"Dongou","Adolescent",72.5,0.406311128931318,58.1112770133697,74.7500716451141,20,16
"Macao","Adult",1094,3.39703864296009e-12,58.9333453754533,157.431834866536,84,76
"Macao","Old person",67.5,0.00407635628845782,57.2732711207911,128.65331795126,25,16
"Macao","Adolescent",89,0.0359426427416731,52.953158834772,119.856039088623,18,17
"Minganga","Adult",446,0.00275932353444216,75.8725526767325,79.9734540143441,40,38
"Minganga","Old person",24.5,0.11923089853366,75.8725526767325,104.960535916725,16,6
"Minganga","Adolescent",23,0.00535956681280688,61.2882741304611,78.453212437966,13,11
"Enyelle","Adult",683.5,1.79539799761235e-05,39.0916729342256,81.0299133483854,66,41
"Enyelle","Old person",29,0.0228234396526681,48.5643659262619,549.052070828146,25,6
"Enyelle","Adolescent",8,0.140480752269671,52.247007957094,198.224331832874,9,4
"Betou","Adult",221,0.630225550601057,120.87138509975,168.939789358363,22,22
"Betou","Old person",2,0.474549143449401,105.539674940874,184.323600475667,4,2
"Betou","Adolescent",4,1,16.3997158936714,487.202991048995,4,2
