"Region","Age_Group","W_Statistic","P_Value","Female_Median","Male_Median","Female_N","Male_N"
"Dongou","Adult",1113,0.013714364695141,14.0452142484372,23.012175228206,72,55
"Dongou","Old person",168,1,19.4409745111851,18.5951167490015,26,17
"Dongou","Adolescent",87,0.902864644862181,12.5276981916953,13.9086206109622,20,16
"Macao","Adult",1259.5,1.78944641700144e-10,26.3277978143218,69.2155916510833,84,76
"Macao","Old person",71,0.00577926927372991,31.5765761453479,78.3052548694023,25,16
"Macao","Adolescent",131,0.477763619643999,38.4234107408582,46.0965748835738,18,17
"Minganga","Adult",645,0.335196929712447,14.004189233607,15.7166934340609,40,38
"Minganga","Old person",62,0.198958931092402,20.1979469006592,13.2350387615768,16,6
"Minganga","Adolescent",68.5,0.884786367817652,12.1527242278768,11.5968963734129,13,11
"Enyelle","Adult",756,0.000131819048331356,6.899145368153,10.813238748623,66,41
"Enyelle","Old person",75,1,9.78155679394045,8.74749753119534,25,6
"Enyelle","Adolescent",21,0.699675625634705,14.1775674310586,8.99154472651015,9,4
"Betou","Adult",195.5,0.280020251858303,9.26104932135044,18.0393184847113,22,22
"Betou","Old person",1,0.247159973211907,18.377311751471,70.4877158584172,4,2
"Betou","Adolescent",5,0.814337492632143,8.79533072794626,8.0730730586245,4,2
