"","residence_camp","ref","sex","birthplace","age","children_alive","median_dist","max_dist","region"
"1","Bateké2","M65","M","Macao","Enfant",NA,26986.3058374308,26986.3058374308,"Macao"
"2","Bakouengué","M30","F","Macao","Enfant",NA,23900.5982679839,24156.7445854683,"Macao"
"3","Boua1","M64","F","Bangui","Enfant",NA,39410.9412185178,48740.7224788328,"Macao"
"4","Kakélo6","M151","F","Bangui","Adulte",NA,2341.8448165916,50376.2539772928,"Macao"
"5","Boua2","M75","F","Bangui","FALSE",NA,9372.23789720004,48714.5232436876,"Macao"
"6","Kakélo6","M113","F","Bangui","Enfant",NA,31108.275923882,50376.2539772928,"Macao"
"7","Kakélo4","M167","M","Bangui","Adulte","2",45259.7675764366,95956.0772220769,"Macao"
"8","Boua1","M90","F","Bangui","Adulte",NA,10038.0800338818,48740.7224788328,"Macao"
"9","Kakélo6","M111","F","Bangui","Adulte","2",5472.94721735033,50376.2539772928,"Macao"
"10","Kakélo4","M119","F","Bangui","Adolescent",NA,4983.55153335711,50714.8513661867,"Macao"
"11","Boua2","M78","F","Bangui","Enfant",NA,6027.13440153074,10180.0960465773,"Macao"
"12","Boua2","M80","F","Bangui","Enfant",NA,48714.5232436876,48714.5232436876,"Macao"
"13","Kakélo2","M132","F","Bangui","Adulte",NA,9085.00963425744,14631.1288382643,"Macao"
"14","Kakélo2","M135","F","Bangui","Enfant",NA,NA,-Inf,"Macao"
"15","Kakélo5","M142","M","Bangui","Adolescent",NA,9944.53369670127,10120.0868718259,"Macao"
"16","Kakélo2","M134","F","Bangui","Enfant",NA,NA,-Inf,"Macao"
"17","Boua1","M63","F","Bangui","Personne âgée",NA,10038.0800338818,125796.580993017,"Macao"
"18","Bateké1","M11","M","Djoubou","Adulte",NA,105277.767860279,154119.4245682,"Macao"
"19","Kakélo4","M162","F","Bangui","Adulte",NA,NA,-Inf,"Macao"
"20","Bakouengué","M27","F","Macao","Enfant",NA,13255.7272482437,24156.7445854683,"Macao"
"21","Bakouengué","M29","F","Macao","Enfant",NA,23900.5982679839,24156.7445854683,"Macao"
"22","Boua2","M130","M","Bangui","Adulte",NA,10235.1190240658,86475.3939933409,"Macao"
"23","Boua2","M126","M","Bangui","Adulte",NA,9372.23789720004,10235.1190240658,"Macao"
"24","Boua2","M72","M","Bangui","Enfant",NA,25294.3480000859,48714.5232436876,"Macao"
"25","Kakélo5","M101","F","Bangui","Enfant",NA,2480.03501039679,50486.2716079486,"Macao"
