"","Estimate","Est.Error","Q1.5","Q2.5","Q5.5","Q25","Q75","Q16.5","Q10","Q90","Q94.5","Q98.5","Q97.5","sex","age","region"
"1",32312.3910064956,4887.01351535544,23333.973809336,24056.461361328,25244.6658890114,28862.8490161237,35275.0798487553,27633.5707739406,26399.612754139,38747.7041765519,40692.4196667465,44624.9480638252,43106.1775726344,"F","Adolescent","Macao"
"2",36642.9092955823,6270.37204374428,25217.1886150762,26037.2856015567,27679.2910094988,32216.5420467568,40454.2025143025,30700.0198032542,29164.0133258787,44780.554048641,47308.3211105301,52688.4371095081,50778.4530339361,"M","Adolescent","Macao"
"3",38522.9996702314,3508.91046292955,31386.1692532173,32127.75378049,33169.8907160792,36083.4619733485,40788.8227220216,35118.8035005677,34166.8091816264,43006.7149399313,44285.005505079,46836.2322443392,45839.0631564874,"F","Adulte","Macao"
"4",65221.7553599381,5812.89200461082,53707.4308600715,54726.4272967239,56479.7169397391,61155.9443852224,68982.2585733754,59655.4353182327,58039.7089769622,72885.2104117191,74974.4458746145,78857.2105270403,77501.3397299096,"M","Adulte","Macao"
"5",44429.1667114027,5712.10726597517,33378.5657927117,34345.5375576078,35931.3284802023,40454.2328085528,48023.887071709,38883.4356247498,37396.1619845653,51817.2372846847,54098.4544483738,58161.9457568153,56623.2352900166,"F","Personne âgée","Macao"
"6",97292.1786350113,17015.7480393978,66811.0980415561,69014.0874916886,73221.4634157864,85213.5328238975,107366.934973458,81040.806434162,76954.5444421133,119828.840552824,126676.281577991,140745.30373421,135463.824998134,"M","Personne âgée","Macao"
"7",21241.3960731353,3532.55263507599,14866.9069279822,15356.6539414833,16169.5470185442,18740.2667692813,23381.4671544566,17831.7360187125,16996.4388859474,25880.8834178067,27290.3421370912,29993.4522227488,28867.3834775021,"F","Adolescent","Minganga"
"8",24056.218541299,4252.02616639579,16266.0161270592,16890.6807870613,17948.384677666,21072.1640123311,26619.8770371032,20014.7648479166,18955.0310634651,29643.3634806685,31261.8705639574,34794.7493628165,33460.9978732083,"M","Adolescent","Minganga"
"9",25315.9495417305,2811.13478894446,19851.4603830415,20328.8622058355,21119.703512705,23354.31181773,27074.1185580597,22617.8022395797,21875.4529836432,28983.2947747436,30009.7860832285,32166.0967340732,31313.8657675267,"F","Adulte","Minganga"
"10",42886.8600821559,4915.29751905217,33209.9766866725,34198.3372501107,35504.1666494458,39456.1530873945,46051.6035849343,38087.9556438371,36860.9274101513,49301.7116205927,51000.2328883379,54572.2798848434,53193.0252064585,"M","Adulte","Minganga"
