"","Estimate","Est.Error","Q1.5","Q2.5","Q5.5","Q25","Q75","Q16.5","Q10","Q90","Q94.5","Q98.5","Q97.5","sex","age","region"
"1",78742.9934144593,15832.005349963,52329.143017241,53715.1039942456,57032.9155593402,67469.6637871435,87622.6287739995,63807.0040950379,60401.4330019493,100164.414676167,107151.807978974,120933.550205061,115773.37088567,"F","Adolescent","Dongou"
"2",174982.371677408,102745.136004675,56212.1747232304,66513.532191151,83828.8943790853,121069.621203752,200490.586254786,108991.766424908,96950.0561184961,267765.85355433,320906.800871157,470650.620627451,402084.136332888,"M","Adolescent","Dongou"
"3",114169.36953052,66031.8013021616,29506.5891179643,36785.7855844387,46901.4330358149,78957.7853345423,132623.295368903,69364.0944545735,58865.345520389,177326.135629408,211427.478891984,312567.325374942,265673.302096554,"F","Adulte","Dongou"
"4",242569.880394922,265264.276800102,18573.63998678,32119.9055459802,60958.8724554124,135448.746062752,275211.854441107,111605.543906935,86226.0110526224,402824.396721668,529854.996752434,912502.226631154,723940.845781425,"M","Adulte","Dongou"
"5",103715.004774451,29203.6345713574,52839.6487621728,58280.7869382957,66922.3992406266,86027.2699391817,117682.867259033,79760.085373529,73677.8507125523,136474.73257564,148499.212321151,181080.863306127,166288.926369231,"F","Personne âgée","Dongou"
"6",343945.618791028,291157.795870278,63933.656863707,81843.4296474247,113625.694276225,211228.771780038,396296.996933403,181260.8186774,149969.147466492,554553.455550227,680125.787967989,1132227.70968434,918609.382399924,"M","Personne âgée","Dongou"
"7",63785.5188933567,9772.86912222748,45571.4946935869,47047.4410353143,49506.9349821697,56974.0779684671,69682.7502515886,54403.3772463206,51931.9778754922,76566.8853635475,80402.815186972,88414.7271888022,84975.4709110472,"F","Adolescent","Macao"
"8",140606.904586186,73226.9710883697,45318.1487860334,54301.0533009654,69445.7093103896,102534.872027026,160990.820525445,92230.3534199637,81264.0031197886,208808.815104555,245732.050325016,349961.110564525,303551.230359,"M","Adolescent","Macao"
"9",92093.0481229516,51040.9296326669,24594.1737120165,30968.3060322723,39291.1014289377,65978.7987751276,106236.855542982,58190.2895031659,49313.1863252546,138021.028995041,163798.007407071,239776.79262275,205784.363196984,"F","Adulte","Macao"
"10",195689.670285201,216412.652129554,16319.8346737677,25557.2813756325,49948.4576417186,112640.899727123,223291.003612433,91146.1328405,70644.3893329324,322115.884627393,401309.454892906,725507.447221748,556078.821598126,"M","Adulte","Macao"
"11",83826.8397864147,20047.7268421272,47099.711354426,51878.5809049659,58622.6296317984,72184.336017129,92800.6013831445,68128.1629929402,63564.5000124884,105596.896537721,114578.91134915,138978.989473839,129401.286568475,"F","Personne âgée","Macao"
"12",275847.959112285,215750.873166968,52853.1177379962,67852.7617145765,97821.7935123331,177275.119073322,320693.293438934,151600.391742124,123522.317817784,435791.398038009,526307.785405831,832377.984620192,689776.721666043,"M","Personne âgée","Macao"
"13",57530.3863882762,10673.1698017302,36777.8480816198,38494.7689936993,41507.704854776,50092.4407396845,64355.0470953854,47177.1379539816,44319.9912689445,71529.9161816929,75169.7536412304,82869.3789575934,79973.0824853216,"F","Adolescent","Minganga"
"14",126107.306054497,62843.5130288619,39623.7644726575,47057.2979386748,60523.9560406977,91519.5359289543,145789.820747715,81282.1044376729,71677.3699538425,188218.877520834,217485.320326145,305364.890527289,267965.102537133,"M","Adolescent","Minganga"
"15",82702.6875938354,46011.4559845945,21216.1251105228,26842.7644563172,36415.9809174118,58775.6477680055,95552.1331917231,51056.0955428587,43282.7475221341,123953.931111366,146697.936576055,214860.758594773,183714.934390797,"F","Adulte","Minganga"
"16",175134.95652657,183850.592182911,16629.1669896301,22670.3381054343,43749.8054238557,100502.59805212,202407.397569115,81327.2110886529,63584.3621096932,288061.0957673,359460.913943905,607293.282359444,499299.138958637,"M","Adulte","Minganga"
"17",75380.4821226704,18650.8408063539,41417.904499962,44894.725713195,51237.5908012878,63946.2246909817,84268.9181836604,59823.9579602108,55635.6178962691,96918.4870885621,105709.766197998,125089.030877619,116569.888974157,"F","Personne âgée","Minganga"
"18",247247.623008609,193148.339899328,46218.3940199754,59226.2446830564,85359.1529907029,158706.389848702,289209.250452222,134874.183577054,110284.189837715,392652.653062633,475931.610979135,738049.306373761,611684.144226448,"M","Personne âgée","Minganga"
"19",52690.2093735714,11600.795420175,31467.6959357133,33125.9732511399,35764.6971452421,44322.9511060057,60079.9724425011,41225.6830336827,38473.0175646861,68170.6135077907,72461.3681616636,80240.769585688,77388.029487162,"F","Adolescent","Enyelle"
"20",115219.231134853,58767.280096448,35077.8408552721,40813.8242943217,51892.721498214,83003.4229813278,134347.961659091,73171.1534998672,62571.6325066853,172078.392704619,198898.863917943,275495.687320034,243082.969896738,"M","Adolescent","Enyelle"
"21",75778.8544905515,43728.5354165172,19174.0791607795,24269.5361454666,32790.9943301692,52373.2780824972,88811.219140746,45852.6283264043,38857.2352589746,116420.500222893,137535.662460095,202531.534268675,175212.420741702,"F","Adulte","Enyelle"
"22",159888.443167569,161809.467092963,16274.8926358895,19969.6114348734,38813.5988193302,90279.7862805664,186094.819407005,72641.6920504999,55680.3913756041,267588.219288032,337665.672812293,545431.024065837,456866.827602982,"M","Adulte","Enyelle"
"23",69066.8373012386,19850.7488939991,37298.4349943213,40244.4617366591,45298.1378297782,56603.3653064623,77892.8893715901,52721.2150969558,49051.168190839,91623.1827671434,101372.31281396,125058.048248667,115021.014746633,"F","Personne âgée","Enyelle"
"24",226044.129799326,178015.84895106,39946.9113549044,51992.7137938584,75644.0702528903,143642.851726681,265072.370712114,120621.529388391,97809.399950192,357137.765843958,442573.69961554,691959.434102804,564372.401850562,"M","Personne âgée","Enyelle"
"25",67225.5481543532,23006.7455118695,31315.8757871117,34503.4254761035,39316.4534101774,53026.1611026012,76434.4476252272,48592.5517889184,43929.0155055287,94450.1742575583,107141.91477379,138330.220464732,126687.332562725,"F","Adolescent","Betou"
"26",146028.950627886,84761.996678162,39571.680737723,46742.5175470765,61366.7326178836,100097.173337946,171065.293269412,87778.4384454584,74822.2489472454,227027.287691797,270107.135064329,381030.672004897,331686.678354572,"M","Adolescent","Betou"
