"","Estimate","Est.Error","Q1.5","Q2.5","Q5.5","Q25","Q75","Q16.5","Q10","Q90","Q94.5","Q98.5","Q97.5","sex","age","region"
"1",33671.944167098,6442.47233448507,22711.3881078125,23435.457243421,24828.5976067719,29176.1375466896,37365.9328113585,27688.8938402797,26213.2619320658,42193.2493818194,44993.1322865764,51218.6387329348,48737.2754781771,"F","Adolescent","Macao"
"2",36895.1925187368,17938.0222788691,11582.7665642304,14295.7652421084,19473.888979632,28319.080358621,42160.413247456,25649.0248713291,22736.5388250138,51145.5904562075,58305.2349280415,81236.5061360224,69868.1290242962,"M","Adolescent","Macao"
"3",52088.3663323425,45511.217459546,4466.98361899731,7494.23423837373,14909.296359156,32454.1893937963,59312.4910980949,27145.7002304724,21313.2616480013,84836.4297545674,105900.72988358,185722.333402883,147939.977395607,"F","Adulte","Macao"
"4",87119.7858048627,105163.623396128,5052.04670775526,8296.96239838944,16771.1327835344,45334.044750335,97980.9467901459,35280.2565843467,25746.3615745563,147779.389811702,191767.566759397,381778.769345246,286832.00365174,"M","Adulte","Macao"
"5",74662.3779827344,248796.152469231,12887.9091422469,16473.3250981923,23729.0732725994,39933.398522856,69369.8083530465,35343.264183063,29991.1078269004,101865.249050333,133544.962448561,252145.101851952,187305.239018553,"F","Personne âgée","Macao"
"6",211072.1202931,1466671.51303428,10659.7544021998,14860.9198300144,25238.2628692151,65941.8838148677,172888.118217992,51207.6818770402,36764.3970521691,297116.052928616,414205.982353391,969059.452136942,676062.977825877,"M","Personne âgée","Macao"
"7",24617.4402427087,5096.00043907745,15325.421292296,15968.7014548673,17253.5817839415,21002.7119451303,27738.4242054956,19683.812989616,18425.5752327881,31284.6717787394,33375.1429194014,37178.087034706,35852.9270548039,"F","Adolescent","Minganga"
"8",26830.9610460981,13038.291556886,8629.12434862692,10605.6342551636,14137.5720164419,20769.1382324707,30461.5779107596,18746.4885117072,16696.4129871301,37031.0779801717,42039.5961017516,57612.3254366602,51092.0907725237,"M","Adolescent","Minganga"
"9",37615.1580728477,30165.5922006729,3044.77445578626,5096.83697024304,10756.8027296758,23662.2681218475,43310.4499120748,19764.0833808257,15504.3055391048,61109.4407438051,75886.1135239294,128008.940754935,104122.864298272,"F","Adulte","Minganga"
"10",62843.193325174,70545.1084409171,3475.89336617836,5932.64069305214,12109.0133267836,32978.0345024966,72055.8920758125,25877.0184081152,18930.2230633067,106778.082912016,139455.77820983,264767.614565902,205359.220491986,"M","Adulte","Minganga"
"11",52677.4221457078,158752.104296807,9119.39189129311,11799.8486065551,16877.8865821018,29556.7313934265,50259.4132851921,25826.8444109059,21542.2722911551,71764.2820707003,92848.4155623245,171418.252287778,132396.35244108,"F","Personne âgée","Minganga"
"12",145984.250111457,887407.36529988,7617.57261273879,10699.3144466384,18300.4280909331,48323.6569290294,125647.77597916,37228.8693849336,26946.8641090763,211023.482146859,294091.092977939,674035.821903581,480649.495136554,"M","Personne âgée","Minganga"
"13",26513.2068358147,5681.00247692329,16031.974952053,16874.9956730442,18407.8304318859,22601.3580089641,29851.8071160141,21203.7276326196,19732.8368011937,33882.1717838866,36237.4152692126,41220.319279315,39216.0628993333,"F","Adolescent","Enyelle"
"14",28987.4140178899,13631.2980079042,9002.68579330895,11096.6333377914,14564.414812399,21985.9401052449,33457.8584806635,19714.0154786215,17301.7155316028,40907.1610082383,46389.933623933,63222.3177011344,55476.0556332166,"M","Adolescent","Enyelle"
"15",40650.524183448,34294.6330307328,3454.8580005088,5600.24941212677,11203.2433175453,25528.5421099596,46696.0580682683,21109.0962329244,16420.1921018333,65149.2623904765,81742.2094410918,141973.521328981,113701.431378726,"F","Adulte","Enyelle"
"16",67984.9023904042,80659.7449989974,3853.50574180604,6439.8418458253,13013.9731838794,35513.6558831374,77256.6311403622,27537.6635489033,19738.476691542,113667.513756419,149942.281528379,289509.001088946,223267.292302122,"M","Adulte","Enyelle"
"17",57559.7408565163,185779.904152703,9846.53009660243,12676.5710498402,18008.5653585601,31586.7195531596,54044.4679111793,27746.3425364397,23073.1456628968,79332.2002321215,101707.477177003,190598.71983696,147428.676931547,"F","Personne âgée","Enyelle"
"18",157957.433435548,899407.595344423,8298.35500663292,11256.8237281999,19953.9126540423,51593.2145664983,135204.345913154,39871.5782062619,28801.649431952,230188.341470994,320884.85014986,713831.902615916,524719.858002701,"M","Personne âgée","Enyelle"
