"","Estimate","Est.Error","Q1.5","Q2.5","Q5.5","Q25","Q75","Q16.5","Q10","Q90","Q94.5","Q98.5","Q97.5","sex","age","region"
"1",27636.1116878597,4417.96667464655,19935.8255759775,20408.4794564416,21523.4975913915,24521.0865059698,30167.1511240367,23491.111787026,22470.1034935499,33495.5689440713,35327.1418057623,39140.2234078751,37627.347907491,"F","Adolescent","Macao"
"2",45984.7818840705,29927.3712993987,14235.8115704257,18032.1021677324,23751.6833619948,35588.6776540781,51561.4151461031,31951.8315717177,28088.4735552299,61835.0091421742,69677.9776849814,102226.958877229,86639.6990657686,"M","Adolescent","Macao"
"3",48546.5299785485,40046.4761341203,7957.80289556997,10893.479599192,17092.3331332809,32655.8120723076,54367.9027196819,28189.198767628,23192.9762892556,73756.7392012238,90818.413686292,155406.060374457,123491.256528663,"F","Adulte","Macao"
"4",78811.3336201744,78309.6843417396,9322.83076344861,13127.4375788643,22647.0664660358,48507.7071475602,88603.3780948197,40111.9569274614,31929.2576273817,124020.491916555,155395.544279766,275813.347746047,217278.406850213,"M","Adulte","Macao"
"5",63941.2146482606,82152.2967661526,13386.3675810361,17283.5569460352,25282.7666853616,41788.2737345189,69292.7555834989,37305.7967640976,31797.9991696378,98804.4908838344,122450.993476142,207628.609838767,166716.554303302,"F","Personne âgée","Macao"
"6",103665.316527346,133957.385588401,14074.4688524809,20000.0614786658,32609.2740913689,62553.7607572613,113478.524716649,53148.1444791872,43264.3712120249,165117.155770586,211455.211830454,372868.013284918,298328.75500269,"M","Personne âgée","Macao"
"7",21141.8159634791,3784.60297692288,14020.8393145692,14551.415636692,15568.0165386448,18417.1270317735,23556.0112528059,17457.9328265356,16496.1094378882,26046.333664687,27494.713880267,30345.1914481722,29308.8164486774,"F","Adolescent","Minganga"
"8",35208.7861698048,24329.0025631677,11531.6286474119,14033.8255676651,18318.9481547196,26696.7714576304,39300.1555376122,24321.4919801365,21562.5432170139,47813.0412475845,55298.578221644,81066.9501329795,67862.8342331188,"M","Adolescent","Minganga"
"9",37056.6852432828,31544.8222321567,5798.43213669076,8296.1375419718,12876.5935081022,24680.6958949652,42277.0208262466,21382.8616445597,17448.4154674596,55601.6928919868,68698.3966017572,112255.895157637,90695.7378621379,"F","Adulte","Minganga"
"10",60094.4304281309,60388.3292000769,6988.88623773933,10121.3474047161,17346.5178183274,36900.4781258857,67708.8659437126,30898.1072218276,24236.9523758025,94450.1953801494,118569.329915171,216987.154834485,162577.338938129,"M","Adulte","Minganga"
