"","Nom.du.campement","Old_person","Adulte","Enfant...Notez.si.la.personne.est.un.enfant.","MY.REFERENCE","Sexe","Lieu.de.naissance.coded","Est.ce.que.la.personne.à.des.enfants.....La.personne.à.des.enfants....Combien.d.enfants.en.vie","Tranche.d.age","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","median","max"
"1","Bateké2",0,0,"Oui","M65","M","Macao",NA,"Enfant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26986.3058374308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26986.3058374308,26986.3058374308
"2","Bakouengué",0,0,"Oui","M30","F","Macao",NA,"Enfant",0,0,0,0,0,2354.70991101907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23900.5982679839,0,0,0,0,0,24156.7445854683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23900.5982679839,24156.7445854683
"3","Boua1",0,0,"Oui","M64","F","Bangui",NA,"Enfant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39410.9412185178,1752.49987354925,0,0,0,0,0,48740.7224788328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39410.9412185178,48740.7224788328
"4","Kakélo6",0,1,"Non","M151","F","Bangui",NA,"Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2341.8448165916,1797.2539444575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50376.2539772928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2341.8448165916,50376.2539772928
"5","Boua2",0,0,"","M75","F","Bangui",NA,"FALSE",0,0,0,0,0,0,0,0,0,0,0,0,2139.85027524602,9011.84018413536,8919.50767534176,9372.23789720004,9863.62628293346,9944.53369670127,10235.1190240658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1874.17275648421,0,0,0,0,0,48714.5232436876,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9372.23789720004,48714.5232436876
"6","Kakélo6",0,0,"Oui","M113","F","Bangui",NA,"Enfant",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11840.2978704713,0,0,0,0,0,50376.2539772928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31108.275923882,50376.2539772928
"7","Kakélo4",0,1,"Non","M167","M","Bangui",2,"Adulte",0,0,0,0,0,0,0,0,0,0,0,0,7756.07326036817,0,1750.38603825094,1212.33052015549,0,0,0,0,95956.0772220769,88723.4461560168,82763.4618925051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45259.7675764366,95956.0772220769
"8","Boua1",0,1,"Non","M90","F","Bangui",NA,"Adulte",0,0,0,0,0,0,0,0,13874.257005192,10223.7824240457,0,0,2306.38930255378,9172.8837897126,9085.00963425744,9540.52380693512,10038.0800338818,10120.0868718259,10411.3955637844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1752.49987354925,0,0,0,0,0,48740.7224788328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10038.0800338818,48740.7224788328
"9","Kakélo6",0,1,"Non","M111","F","Bangui",2,"Adulte",0,0,0,0,0,0,0,0,0,0,0,0,8148.95067736465,2796.94375733602,2341.8448165916,1797.2539444575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11840.2978704713,0,0,0,0,0,50376.2539772928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5472.94721735033,50376.2539772928
"10","Kakélo4",0,0,"Non","M119","F","Bangui",NA,"Adolescent",0,0,0,0,0,0,0,0,0,0,0,0,7756.07326036817,2211.02980634604,1750.38603825094,1212.33052015549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11509.7489234474,0,0,0,0,0,50714.8513661867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4983.55153335711,50714.8513661867
