"","Nom.du.campement.coded","Tranche.d.age","MY.REFERENCE","Sexe","Est.ce.que.la.personne.à.des.enfants.....La.personne.à.des.enfants....1","Est.ce.que.la.personne.à.des.enfants.....La.personne.à.des.enfants....Combien.d.enfants.en.vie","Est.ce.que.la.personne.à.des.enfants.....La.personne.à.des.enfants....Combien.d.enfants.morts","Lieu.de.naissance.coded","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","median","max"
"1","Bonga2","Adulte","M202","M",1,"3","1","Bangui",0,96905.630405279,0,0,0,0,0,0,128375.313917929,0,0,0,0,0,0,1365.664498575,0,0,0,0,0,46588.987314476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71747.3088598775,128375.313917929
"2","Bonga2","Adulte","M203","F",1,"3","3","Bonga2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1365.664498575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1365.664498575,1365.664498575
"3","Bonga2","Adulte","M204","F",1,"3","0","Bonga2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf
"4","Bonga2","Adulte","M205","F",1,"7","0","Bangui",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf
"5","Bonga2","Adulte","M401","F",1,"","","Bangui",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf
"6","Bonga2","Personne âgée","M206","F",1,"","10","Bonga2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,NA,-Inf
"7","Bonga2","Adulte","M207","M",0,"","","Bonga2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,-Inf
"8","Bate","Adulte","M208","M",1,"3","3","Bate",0,96863.5700178281,87923.6820229656,80281.8255092124,0,0,0,0,128341.492227516,0,0,0,0,0,0,1351.89673137639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87923.6820229656,128341.492227516
"9","Bonga2","Enfant","M209","F",0,"","","Thanry",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf
"10","Bonga1","Adulte","M210","M",1,"4","3","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1485.68664851611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,1485.68664851611,1485.68664851611
