Region,Age_Group,W_Statistic,P_Value,Female_Median,Male_Median,Female_N,Male_N
Macao,Adult,1382.5,2.16E-05,13.31123771,33.74790192,84,76
Macao,Adolescent,99,0.963243087,18.10154488,16.60090476,18,17
Macao,Old person,98.5,0.215461148,20.70280918,24.71432152,25,16
Minganga,Adult,654,0.383290639,12.15272423,12.70188743,40,38
Minganga,Adolescent,60.5,0.757998988,9.256528425,10.09750385,13,11
Minganga,Old person,58.5,0.311357652,14.37881472,10.51454112,16,6
Enyelle,Adult,1032.5,0.040254114,3.447735843,8.792515998,66,41
Enyelle,Adolescent,18,1,4.852868896,6.916850383,9,4
Enyelle,Old person,60,0.468317472,7.007790787,8.467423534,25,6
Betou,Adult,176,0.185068599,6.011749749,6.740582967,22,22
Betou,Adolescent,4,1,3.881537726,5.258491002,4,2
Betou,Old person,4,1,3.69025647,1.615707025,4,2
