"residence_camp","ref","sex","birthplace","age","name","distance","activity","region"
"Wongo3","BE10","M","Kenkenze","Adulte","V10",131.594846860887,"bantu_work","betou"
"Wongo3","BE10","M","Kenkenze","Adulte","V78",2242.1322609352,"bantu_work","betou"
"Wongo3","BE12","F","","Adulte","V78",2242.1322609352,"bantu_work","betou"
"Wongo2","BE13","M","Bétou","Personne âgée","V36",68164.4949811906,"bantu_work","betou"
"Wongo2","BE13","M","Bétou","Personne âgée","V42",14769.7910184279,"bantu_work","betou"
"Wongo3","BE15","M","Kenkenze","Adulte","V10",131.594846860887,"bantu_work","betou"
"Wongo3","BE15","M","Kenkenze","Adulte","V78",2242.1322609352,"bantu_work","betou"
"Wongo2","BE17","F","Kenkenze","Personne âgée","V78",2300.77958010419,"bantu_work","betou"
"Wongo1","BE21","F","","Personne âgée","V42",14502.5608383559,"bantu_work","betou"
"Popo1","BE31","M","Bétou","Adulte","V33",160515.116373446,"bantu_work","betou"
"Popo1","BE31","M","Bétou","Adulte","V50",884270.205809933,"bantu_work","betou"
"Popo1","BE31","M","Bétou","Adulte","V56",246054.428500095,"bantu_work","betou"
"Popo1","BE33","F","","Adulte","V42",16786.1996039867,"bantu_work","betou"
"Mondika","BE60","M","","Adulte","V33",158408.303395481,"bantu_work","betou"
"Mondika","BE60","M","","Adulte","V50",883246.305614614,"bantu_work","betou"
"Wongo5","BE64","F","","Adolescent","V42",15188.9594725149,"bantu_work","betou"
"Wongo5","BE65","F","","Adolescent","V42",15188.9594725149,"bantu_work","betou"
"Wongo2","BE75","M","Bétou","Adulte","V22",28329.3978723797,"bantu_work","betou"
"Wongo2","BE75","M","Bétou","Adulte","V23",27908.3149039076,"bantu_work","betou"
"Wongo2","BE75","M","Bétou","Adulte","V24",27892.9357178015,"bantu_work","betou"
"Wongo2","BE75","M","Bétou","Adulte","V26",137277.926118596,"bantu_work","betou"
"Wongo2","BE75","M","Bétou","Adulte","V33",181491.73471107,"bantu_work","betou"
"Wongo2","BE79","F","Kenkenze","Adulte","V42",14769.7910184279,"bantu_work","betou"
"Wongo1","BE80","M","","Adulte","V42",14502.5608383559,"bantu_work","betou"
"Wongo1","BE82","M","Kenkenze","Adulte","V42",14502.5608383559,"bantu_work","betou"
"Wongo1","BE82","M","Kenkenze","Adulte","V50",906620.286319326,"bantu_work","betou"
"Wongo1","BE82","M","Kenkenze","Adulte","V70",312866.822573406,"bantu_work","betou"
"Wongo1","BE84","F","Mongoumba(Centrafrique)","Adulte","V42",14502.5608383559,"bantu_work","betou"
"Koueta","BE90","M","Wongo1","Adulte","V33",164425.14987108,"bantu_work","betou"
"Koueta","BE90","M","Wongo1","Adulte","V50",887850.618691564,"bantu_work","betou"
"Koueta","BE90","M","Wongo1","Adulte","V78",21498.079487614,"bantu_work","betou"
"Popo2","BE93","M","Wongo4","Adulte","V2",5818.58936061242,"bantu_work","betou"
"Popo2","BE93","M","Wongo4","Adulte","V33",164188.286607879,"bantu_work","betou"
"Popo2","BE93","M","Wongo4","Adulte","V50",887625.275305809,"bantu_work","betou"
"Popo1","BE94","M","","Adulte","V78",23809.6832486286,"bantu_work","betou"
"Popo1","BE96","F","Bétou","Adulte","V1",4888.71977624945,"bantu_work","betou"
"Bobo1","BE107","F","Enyelle","Adulte","V42",20030.300121231,"bantu_work","betou"
"Bobo1","BE113","M","Bobo1","Adulte","V1",1764.7472167051,"bantu_work","betou"
"Bobo1","BE113","M","Bobo1","Adulte","V42",20030.300121231,"bantu_work","betou"
"Ngola2","BE114","M","","Adolescent","V4",9264.62924779644,"bantu_work","betou"
"Ngola2","BE117","F","Bétou","Adulte","V20",2048.70664465525,"bantu_work","betou"
"Ngola2","BE117","F","Bétou","Adulte","V33",157575.973441216,"bantu_work","betou"
"Popo1","BE31","M","Bétou","Adulte","V36",45920.2204447816,"dance","betou"
"Popo1","BE33","F","","Adulte","V2",2327.92306718681,"dance","betou"
"Popo1","BE33","F","","Adulte","V78",23809.6832486286,"dance","betou"
"Bobo1","BE48","M","Bétou","Adulte","V57",156387.844005655,"dance","betou"
"Bobo1","BE50","F","Bétou","Adolescent","V3",5542.55909212492,"dance","betou"
"Bobo1","BE50","F","Bétou","Adolescent","V4",9240.5125114101,"dance","betou"
"Bobo1","BE50","F","Bétou","Adolescent","V5",9322.65975117146,"dance","betou"
"Mondika","BE60","M","","Adulte","V13",24119.0729475011,"dance","betou"
