"","Nom.du.campement.coded","Tranche.d.age","MY.REFERENCE","Sexe","Est.ce.que.la.personne.à.des.enfants.....La.personne.à.des.enfants....1","Est.ce.que.la.personne.à.des.enfants.....La.personne.à.des.enfants....Combien.d.enfants.en.vie","Est.ce.que.la.personne.à.des.enfants.....La.personne.à.des.enfants....Combien.d.enfants.morts","Lieu.de.naissance.coded","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","median","max","min","places_visited","total_bantu_work"
"1","Bonga2","Adulte","M202","M",1,"3","1","Bangui",0,96905.630405279,0,80327.6466141472,0,0,0,0,128375.313917929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96905.630405279,128375.313917929,80327.6466141472,7,4
"2","Bonga2","Adulte","M203","F",1,"3","3","Bonga2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf,-Inf,0,0
"3","Bonga2","Adulte","M204","F",1,"3","0","Bonga2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46588.987314476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163069.420712733,0,0,0,0,0,0,0,0,0,0,0,0,104829.204013604,163069.420712733,46588.987314476,4,3
"4","Bonga2","Adulte","M205","F",1,"7","0","Bangui",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1365.664498575,0,0,0,0,0,46588.987314476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23977.3259065255,46588.987314476,1365.664498575,2,2
"5","Bonga2","Adulte","M401","F",1,"","","Bangui",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf,-Inf,0,0
"6","Bonga2","Personne âgée","M206","F",1,"","10","Bonga2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46588.987314476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46588.987314476,46588.987314476,46588.987314476,2,1
"7","Bonga2","Adulte","M207","M",0,"","","Bonga2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46588.987314476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46588.987314476,46588.987314476,46588.987314476,2,1
"8","Bate","Adulte","M208","M",1,"3","3","Bate",0,96863.5700178281,0,0,0,0,0,0,128341.492227516,0,0,0,0,0,0,0,0,0,0,0,0,46629.5862509959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96863.5700178281,128341.492227516,46629.5862509959,5,3
"10","Bonga1","Adulte","M210","M",1,"4","3","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46200.1960374823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46200.1960374823,46200.1960374823,46200.1960374823,3,2
"11","Bonga1","Adulte","M211","F",1,"5","2","Bangui",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16986.2100617771,46200.1960374823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31593.2030496297,46200.1960374823,16986.2100617771,3,3
