,Nom.du.campement,Old_person,Adulte,Enfant...Notez.si.la.personne.est.un.enfant.,MY.REFERENCE,Sexe,Lieu.de.naissance.coded,Tranche.d.age,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,median,max,min,places_visited,total_fam_visit
2,Makossa1,0,1,0,MI10,M,Minganga,Adulte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25823.2577,0,0,0,25823.2577,25823.2577,25823.2577,23,2
8,VMA,1,1,0,MI105,F,Mbili,Personne âgée,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21580.69754,0,0,0,0,0,0,0,0,0,21580.69754,21580.69754,21580.69754,5,1
9,VMA,0,1,0,MI106,F,Mossombo,Adulte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103668.4976,0,0,0,0,0,0,78453.21244,0,21239.88479,11823.49477,0,0,0,0,0,0,0,49846.54861,103668.4976,11823.49477,19,4
10,Bokéya1,1,0,0,MI107,M,Attention,Adolescent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,99725.1687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77553.79863,0,0,0,0,0,0,0,0,0,0,88639.48367,99725.1687,77553.79863,16,2
12,Bokéya1,0,1,0,MI109,M,Attention,Adulte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,#NAME?,#NAME?,19,0
13,Makossa3,1,1,0,MI11,F,Mossombo,Personne âgée,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93112.9134,0,0,0,0,0,0,0,0,0,0,0,0,0,26190.32443,0,0,0,59651.61892,93112.9134,26190.32443,16,2
14,Bokéya1,0,1,0,MI110,F,Toukoulaka,Adulte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11467.3403,0,0,0,0,0,0,0,11467.3403,11467.3403,11467.3403,18,1
17,Bokéya1,0,1,0,MI113,M,Attention,Adulte,0,0,0,0,977.6420203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19394.16801,11467.3403,0,0,0,0,0,0,0,11467.3403,19394.16801,977.6420203,19,3
18,Moundouala1,0,1,0,MI114,M,,Adulte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9036.417678,0,0,0,0,0,0,0,9036.417678,9036.417678,9036.417678,19,1
19,Bokéya1,0,1,0,MI115,F,Bène,Adulte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19394.16801,11467.3403,0,0,0,0,0,0,0,15430.75416,19394.16801,11467.3403,19,2
