"","Nom.du.campement.coded","Old_person","Enfant...Notez.si.la.personne.est.un.enfant.","MY.REFERENCE","Sexe","Est.ce.que.la.personne.à.des.enfants.....La.personne.à.des.enfants....Oui.","Est.ce.que.la.personne.à.des.enfants.....La.personne.à.des.enfants....Combien.d.enfants.en.vie","Est.ce.que.la.personne.à.des.enfants.....La.personne.à.des.enfants....Combien.d.enfants.morts","Lieu.de.naissance.coded","Tranche.d.age","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","median","max","min","places_visited","total_fam_visit"
"1","Bylikombo1",0,"Adulte","MI205","M",1,6,2,"Mossombo","Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14615.287209499,0,0,0,0,0,0,0,0,0,0,14615.287209499,14615.287209499,14615.287209499,8,1
"2","Bylikombo1",0,"Adulte","MI206","F",1,6,2,"Mossombo","Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf,-Inf,5,0
"3","Bylikombo1",0,"Adulte","MI209","F",1,5,1,"Mossombo","Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75872.5526767324,0,0,14615.287209499,0,0,0,0,0,0,0,0,0,0,45243.9199431157,75872.5526767324,14615.287209499,6,2
"4","Bylikombo1",0,"Adulte","MI211","F",1,3,0,"Mossombo","Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf,-Inf,6,0
"5","Bylikombo1",0,"Adolescent","MI212","M",0,NA,NA,"Mossombo","Adolescent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf,-Inf,8,0
"6","Bylikombo2",1,"Personne âgée","MI210","F",1,4,2,"Mossombo","Personne âgée",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25167.9742996709,24892.005416506,0,0,0,0,0,0,0,0,0,0,0,25029.9898580885,25167.9742996709,24892.005416506,5,2
"7","Bouma",0,"Adulte","MI154","M",1,4,1,"Minganga","Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27984.5061024109,0,0,0,0,0,0,0,0,0,0,27984.5061024109,27984.5061024109,27984.5061024109,5,1
"8","Bouma",0,"Adulte","MI155","F",1,4,1,"Minganga","Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36883.222265333,0,0,0,0,0,0,0,0,0,0,0,36883.222265333,36883.222265333,36883.222265333,6,1
"13","Bouma",0,"Adulte","MI160","M",1,5,0,"Mossombo","Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68980.8872360246,0,0,0,0,92488.7085955045,0,0,0,0,0,0,0,61512.065331846,0,0,0,0,0,0,0,0,0,0,0,0,27986.9005068757,65246.4762839353,92488.7085955045,27986.9005068757,11,4
"14","Bouma",0,"Adulte","MI161","F",1,5,0,"Impfondo","Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91856.4107154401,0,0,0,0,0,0,0,0,36883.222265333,0,0,0,0,0,0,0,0,0,0,0,64369.8164903865,91856.4107154401,36883.222265333,7,2
"15","Bouma",1,"Personne âgée","MI162","F",1,5,5,"Mossombo","Personne âgée",0,0,0,0,0,0,0,0,137317.169288959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91856.4107154401,0,0,0,0,0,0,61512.065331846,0,36883.222265333,0,0,78005.4782414879,80699.6193159609,0,0,0,0,0,0,0,79352.5487787244,137317.169288959,36883.222265333,10,6
"20","Bouma",0,"Adolescent","MI178","F",0,NA,NA,"Mossombo","Adolescent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14628.4506802055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61512.065331846,0,0,0,0,0,0,0,0,0,0,0,0,0,38070.2580060257,61512.065331846,14628.4506802055,4,2
"21","Bouma",0,"Adolescent","MI179","F",0,NA,NA,"Mossombo","Adolescent",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,-Inf,-Inf,6,0
"22","Bouma",0,"Adulte","MI180","F",1,3,0,"Mossombo","Adulte",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36737.3637134701,0,0,0,0,0,0,0,0,0,0,0,0,36737.3637134701,36737.3637134701,36737.3637134701,6,1
