"","age","sex","region","mean_fam_visit","mean_friend_visit","mean_gather","mean_hunt","mean_explore","mean_fish","mean_dance","mean_bantu_work","mean_live"
"1","Adolescent","F","Dongou",0.407142857142857,0,0,0,0.0476190476190476,0.0142857142857143,0.142857142857143,0.0535714285714286,0.171428571428571
"2","Adolescent","F","Enyelle",0.204761904761905,0.129982363315697,0.0511463844797178,0,0,0,0.286860670194004,0.0368606701940035,0.00793650793650794
"3","Adolescent","F","Macao",0.238425925925926,0.0185185185185185,0.108796296296296,0,0.0277777777777778,0.0393518518518518,0,0.231481481481481,0.134259259259259
"4","Adolescent","F","Minganga",0.136405349036928,0,0.0219298245614035,0,0,0.0593540669856459,0.0616666666666667,0.0802631578947368,0.0219298245614035
"5","Adolescent","F","betou",0.0454545454545455,0.305555555555556,0,0,0.0227272727272727,0,0.0681818181818182,0.0555555555555556,0.272727272727273
"6","Adolescent","M","Dongou",0.2,0.1,0,0.05,0,0.15,0.1,0.0666666666666667,0.0333333333333333
"7","Adolescent","M","Enyelle",0.116477272727273,0.0916666666666667,0.0227272727272727,0,0.0227272727272727,0.0227272727272727,0.280681818181818,0.168560606060606,0.0454545454545455
"8","Adolescent","M","Macao",0.0819327731092437,0.00840336134453782,0.0823529411764706,0.0280112044817927,0.0343137254901961,0.00840336134453781,0.0147058823529412,0.313305322128852,0.0682072829131653
"9","Adolescent","M","Minganga",0.0629015721120984,0.0406582054309327,0.0312143996354523,0.0282861078315624,0.078030303030303,0.090798017771702,0.0571969696969697,0.074409681227863,0.0420831693558966
"10","Adolescent","M","betou",0,0.125,0.15,0,0,0.125,0,0.0833333333333333,0.0916666666666667
"11","Adulte","F","Dongou",0.367272727272727,0,0,0,0.0378787878787879,0.0242424242424242,0.0406060606060606,0.0212121212121212,0.148484848484848
"12","Adulte","F","Enyelle",0.141308157330885,0.0503221610039792,0.0338881236608509,0,0.0224747474747475,0.0303883532292623,0.078757215007215,0.120827266168175,0.0761032948532949
"13","Adulte","F","Macao",0.137436500399463,0.0350970017636684,0.104832204832205,0,0.01329534662868,0.0385067607289829,0.0281893004115226,0.293072702331962,0.0755144032921811
"14","Adulte","F","Minganga",0.160501308537636,0.0253349406124006,0.0965876173470567,0,0.0123018143184047,0.0903549604000119,0.0421745268620269,0.0674002320619883,0.0173785914060514
"15","Adulte","F","betou",0.13844832263774,0.105213176603551,0.029490580486218,0,0.022285325613499,0.0643086617544822,0.0416975654204756,0.0437354312354312,0.0519198325207332
"16","Adulte","M","Dongou",0.210947712418301,0,0,0.0418300653594771,0.073202614379085,0.0130718954248366,0.0310457516339869,0.153921568627451,0.0555555555555555
"17","Adulte","M","Enyelle",0.161706974690574,0.0783509512168049,0.0260815205726896,0.0478987277557505,0.0608933410762679,0.0333880632030338,0.0972017224435223,0.141992249877027,0.0668347795555533
"18","Adulte","M","Macao",0.0896953046953047,0.0481447441447441,0.0335407925407925,0.0229345469345469,0.0636210826210826,0.0302846412846413,0.0105185185185185,0.340494986494986,0.0654080364080364
"19","Adulte","M","Minganga",0.139547500302649,0.0308138966033703,0.0634971437603016,0.00739555344818503,0.0382205922823772,0.0924788320669327,0.059014653980329,0.129191331937327,0.0120148343832554
"20","Adulte","M","betou",0.0918798537869684,0.134740203607909,0.00837789661319073,0.0149632975719932,0.0513335149698786,0.0306933049899802,0.0490646376828369,0.0844572602666651,0.056686103928751
"21","Personne âgée","F","Dongou",0.361111111111111,0,0.0138888888888889,0,0.0185185185185185,0.0555555555555555,0.0185185185185185,0.0925925925925926,0.115740740740741
"22","Personne âgée","F","Enyelle",0.209582417582418,0.0354261294261294,0.0773919413919414,0,0.028,0.022,0.104140415140415,0.0648949938949939,0.0884444444444444
"23","Personne âgée","F","Macao",0.29609015323301,0,0.0685563114134543,0,0.0288600288600289,0.0170068027210884,0.00340136054421769,0.259128701985845,0.0717893217893218
"24","Personne âgée","F","Minganga",0.276756351663472,0.0134453781512605,0.0501547987616099,0,0.00784313725490196,0.0799886972332793,0.0207636738906089,0.0536278195488722,0.0927407980736154
"25","Personne âgée","F","betou",0.106060606060606,0.0539772727272727,0.0833333333333333,0,0.0520833333333333,0,0,0.0748106060606061,0.126893939393939
"26","Personne âgée","M","Dongou",0.233333333333333,0,0,0.166666666666667,0,0,0.0222222222222222,0.294444444444444,0.0666666666666667
"27","Personne âgée","M","Enyelle",0.302525252525253,0,0,0.0277777777777778,0.0621212121212121,0.0303030303030303,0.0555555555555556,0.211111111111111,0.0503367003367003
"28","Personne âgée","M","Macao",0.178726088726089,0.0133333333333333,0.00606060606060606,0.00606060606060606,0.0312087912087912,0.00732600732600733,0.00512820512820513,0.301182521182521,0.181058201058201
"29","Personne âgée","M","Minganga",0.0737389770723104,0,0.114578754578755,0.0238095238095238,0.153913987247321,0.0896119929453263,0.0128395061728395,0.106099579432913,0.0494695428028761
"30","Personne âgée","M","betou",0.0769230769230769,0.0769230769230769,0,0,0.275641025641026,0,0,0.0769230769230769,0.0801282051282051
