"","age","sex","region","median_fam_visit","median_friend_visit","median_gather","median_hunt","median_explore","median_fish","median_dance","median_bantu_work","median_live"
"1","Adolescent","F","Dongou",0.35,0,0,0,0,0,0,0,0
"2","Adolescent","F","Enyelle",0.285714285714286,0.2,0,0,0,0,0.214285714285714,0,0
"3","Adolescent","F","Macao",0,0,0,0,0,0,0,0,0
"4","Adolescent","F","Minganga",0.0717703349282297,0,0,0,0,0,0,0,0
"5","Adolescent","F","betou",0,0.222222222222222,0,0,0,0,0,0.0555555555555556,0.0454545454545455
"6","Adolescent","M","Dongou",0,0,0,0,0,0,0,0,0
"7","Adolescent","M","Enyelle",0.0454545454545455,0.0833333333333333,0,0,0,0,0.261363636363636,0.170454545454545,0
"8","Adolescent","M","Macao",0,0,0,0,0,0,0,0.25,0
"9","Adolescent","M","Minganga",0,0,0,0,0,0.0625,0,0.0952380952380952,0.0454545454545455
"10","Adolescent","M","betou",0,0.125,0.15,0,0,0.125,0,0.0833333333333333,0.0916666666666667
"11","Adulte","F","Dongou",0.2,0,0,0,0,0,0,0,0
"12","Adulte","F","Enyelle",0.0833333333333333,0,0,0,0,0,0,0,0
"13","Adulte","F","Macao",0,0,0,0,0,0,0,0.142857142857143,0
"14","Adulte","F","Minganga",0.105263157894737,0,0,0,0,0.054093567251462,0,0.0526315789473684,0
"15","Adulte","F","betou",0.108187134502924,0.071078431372549,0,0,0,0,0,0,0.0526315789473684
"16","Adulte","M","Dongou",0,0,0,0,0,0,0,0,0
"17","Adulte","M","Enyelle",0.166666666666667,0,0,0,0,0,0,0.111111111111111,0
"18","Adulte","M","Macao",0,0,0,0,0,0,0,0.333333333333333,0
"19","Adulte","M","Minganga",0.105263157894737,0,0,0,0,0.0714285714285714,0,0.0740740740740741,0
"20","Adulte","M","betou",0.0990338164251208,0.0791925465838509,0,0,0,0,0,0.0840909090909091,0.015625
"21","Personne âgée","F","Dongou",0.125,0,0,0,0,0,0,0,0
"22","Personne âgée","F","Enyelle",0.2,0,0,0,0,0,0,0,0
"23","Personne âgée","F","Macao",0.285714285714286,0,0,0,0,0,0,0,0
"24","Personne âgée","F","Minganga",0.2,0,0,0,0,0,0,0,0.0588235294117647
"25","Personne âgée","F","betou",0.0454545454545455,0.0454545454545455,0.0416666666666667,0,0.0416666666666667,0,0,0.0871212121212121,0.0871212121212121
"26","Personne âgée","M","Dongou",0,0,0,0,0,0,0,0,0
"27","Personne âgée","M","Enyelle",0.240909090909091,0,0,0,0,0,0,0.266666666666667,0.0454545454545455
"28","Personne âgée","M","Macao",0.1,0,0,0,0,0,0,0.3,0
"29","Personne âgée","M","Minganga",0.04,0,0.0714285714285714,0,0.056980056980057,0.111428571428571,0,0.112637362637363,0.0557142857142857
"30","Personne âgée","M","betou",0.0769230769230769,0.0769230769230769,0,0,0.275641025641026,0,0,0.0769230769230769,0.0801282051282051
