"","sex","region","median_fam_visit","median_friend_visit","median_gather","median_hunt","median_explore","median_fish","median_dance","median_bantu_work","median_live"
"1","F","Dongou",0.2,0,0,0,0,0,0,0,0
"2","F","Enyelle",0.148351648351648,0,0,0,0,0,0,0,0
"3","F","Macao",0,0,0,0,0,0,0,0.0954545454545455,0
"4","F","Minganga",0.130434782608696,0,0,0,0,0.0526315789473684,0,0,0
"5","F","betou",0.0954545454545455,0.071078431372549,0,0,0,0,0,0,0.054093567251462
"6","M","Dongou",0,0,0,0,0,0,0,0,0
"7","M","Enyelle",0.166666666666667,0,0,0,0,0,0,0.111111111111111,0
"8","M","Macao",0,0,0,0,0,0,0,0.307692307692308,0
"9","M","Minganga",0.0816666666666667,0,0,0,0,0.0757142857142857,0,0.0754985754985755,0
"10","M","betou",0.0819397993311037,0.0791925465838509,0,0,0,0,0,0.0840909090909091,0.0571895424836601
