"age","sex","region","sd_fam_visit","sd_friend_visit","sd_gather","sd_hunt","sd_explore","sd_fish","sd_dance","sd_bantu_work","sd_live"
"Adolescent","F","Dongou",0.435826863496337,0,0,0,0.17817416127495,0.0534522483824849,0.363136519601281,0.200445931434318,0.309909593339664
"Adolescent","F","Enyelle",0.16014449257905,0.129592371278766,0.12883760849876,0,0,0,0.265915393184918,0.0602536095721767,0.0238095238095238
"Adolescent","F","Macao",0.354074542677058,0.0785674201318386,0.261632510294482,0,0.0857492925712544,0.0974262564911803,0,0.384073832468731,0.263350844678507
"Adolescent","F","Minganga",0.17839306485168,0,0.0534776057256488,0,0,0.0932770623435872,0.101242283656583,0.166949206497112,0.0534776057256488
"Adolescent","F","betou",0.0909090909090909,0.378158849197447,0,0,0.0454545454545454,0,0.136363636363636,0.0641500299099584,0.486738739521485
"Adolescent","M","Dongou",0.349602949390051,0.316227766016838,0,0.158113883008419,0,0.337474278855276,0.316227766016838,0.140545673785261,0.105409255338946
"Adolescent","M","Enyelle",0.177596586455543,0.106718737290547,0.0454545454545454,0,0.0454545454545454,0.0454545454545454,0.24613751783495,0.150803251798442,0.0909090909090909
"Adolescent","M","Macao",0.171170148355007,0.0346479464337619,0.245548605467551,0.0859435154533064,0.0979779220162093,0.0346479464337619,0.0606339062590832,0.336883789965981,0.134999530675652
"Adolescent","M","Minganga",0.0974257404696045,0.0700597821998463,0.0755327403335676,0.0491514137494043,0.148243077750734,0.116183649858099,0.124778844765489,0.0769633688221213,0.052900412146056
"Adolescent","M","betou",0,0.176776695296637,0.212132034355964,0,0,0.176776695296637,0,0.117851130197758,0.0117851130197758
"Adulte","F","Dongou",0.421795149951087,0,0,0,0.125070126232725,0.141341972926964,0.131263393843874,0.111363350053458,0.355255555255429
"Adulte","F","Enyelle",0.163404461446699,0.105021453238141,0.0911450277272286,0,0.0743342200845362,0.0723896196531506,0.142696543012611,0.190743006522873,0.139750953321214
"Adulte","F","Macao",0.207072740426421,0.0877222010400081,0.196770868648546,0,0.0565119437654649,0.11469408075552,0.0919934318046615,0.336038859861119,0.16340034948325
"Adulte","F","Minganga",0.190973686733479,0.0645316330093467,0.151667494154589,0,0.0359980840926708,0.105193530737064,0.106395129666924,0.0826457500672447,0.0456485644182436
"Adulte","F","betou",0.209030730351802,0.155014558375046,0.061174426230825,0,0.0410731028300242,0.124898729989191,0.0592267911067753,0.0605272573300247,0.0640804573987792
"Adulte","M","Dongou",0.318967475684688,0,0,0.13949801069946,0.193536629647337,0.0733570965657565,0.111754672178897,0.246589813146676,0.141329664522612
"Adulte","M","Enyelle",0.148864414011366,0.109368286571284,0.0574277172149916,0.128910846077857,0.118099363327858,0.0845824153979685,0.15592390054847,0.148272859795683,0.107827855008871
"Adulte","M","Macao",0.164306083619479,0.0953162557461441,0.0802074579514493,0.0750994024990584,0.161355026020684,0.0887107561544623,0.0409632652532891,0.242933200753104,0.154844438603024
"Adulte","M","Minganga",0.160074385512671,0.0655388721748873,0.108688391359869,0.0193718316898662,0.0786853969844369,0.0969102916985674,0.109276681558165,0.139749188846228,0.0277532515788876
"Adulte","M","betou",0.0677030673568827,0.22587431157841,0.0282346574921863,0.0611778072882059,0.086958593992617,0.0689502090849397,0.090023604143947,0.0844745093495843,0.0877628007999436
"Personne âgée","F","Dongou",0.425878561352421,0,0.058925565098879,0,0.0785674201318386,0.235702260395516,0.0785674201318386,0.275480698244544,0.237667878212558
"Personne âgée","F","Enyelle",0.198754165546723,0.0706370961364378,0.14571820641678,0,0.106144555520604,0.0537399465892034,0.164378688761172,0.128926905033137,0.150632411707408
"Personne âgée","F","Macao",0.314042045107167,0,0.159267043652024,0,0.0916516093198946,0.0635062342462835,0.0155869921597137,0.350325035754665,0.181243077946714
"Personne âgée","F","Minganga",0.199723108044445,0.0388740622057828,0.138219654868239,0,0.0303763399702542,0.100537342809241,0.053293887624203,0.0945328049298601,0.109474076284272
"Personne âgée","F","betou",0.157459164324443,0.0638625579548764,0.117851130197758,0,0.0625,0,0,0.0530641125989466,0.143656686752157
"Personne âgée","M","Dongou",0.339525813124389,0,0,0.308606699924184,0,0,0.086066296582387,0.421244691298407,0.258198889747161
"Personne âgée","M","Enyelle",0.370145860940785,0,0,0.0680413817439772,0.110657937190971,0.0742269619025206,0.136082763487954,0.175962959065148,0.0555111545863395
"Personne âgée","M","Macao",0.226592129422618,0.0516397779494322,0.023472626340651,0.023472626340651,0.0681265506609807,0.0203123379238268,0.0198614530574739,0.31542810222975,0.34608295334906
"Personne âgée","M","Minganga",0.0912596523208807,0,0.151767856506729,0.0583211843519804,0.256906370790347,0.0753020041765295,0.0199129334850923,0.0826051630274486,0.0296970352651438
"Personne âgée","M","betou",0.108785658644084,0.108785658644084,0,0,0.154113016412453,0,0,0.108785658644084,0.00453273577683684
