"sex","region","sd_fam_visit","sd_friend_visit","sd_gather","sd_hunt","sd_explore","sd_fish","sd_dance","sd_bantu_work","sd_live"
"F","Dongou",0.420139231768594,0,0.0268028133709449,0,0.126210024440958,0.155419295981345,0.183395492204501,0.172323367240276,0.324392591358044
"F","Enyelle",0.173778424168286,0.102123595734424,0.110870424980036,0,0.0800776489046508,0.0649524760618294,0.170581926024064,0.170801148578647,0.137189223004842
"F","Macao",0.25969012115519,0.0789869376243116,0.200680429515003,0,0.0682601548005093,0.104621572384725,0.0767120228473692,0.343741998000892,0.183943406496125
"F","Minganga",0.195297095343684,0.0543768093336147,0.139550756663825,0,0.0317985558467762,0.101493863773015,0.095518403091059,0.100525756740732,0.0727705160948058
"F","betou",0.190022437414733,0.195206229484696,0.0682323235443904,0,0.0441036590347752,0.110149703430272,0.069253697922606,0.0590639034537553,0.188436079120936
"M","Dongou",0.322675126604817,0.114707866935281,0,0.190280392264447,0.161770178473274,0.139809812337085,0.149344735101489,0.284127198816327,0.164875166907476
"M","Enyelle",0.188923414704558,0.104571410494279,0.0532309106735722,0.118115370311629,0.112316011550905,0.0800440306997673,0.166571681820685,0.15023975696285,0.100803644363441
"M","Macao",0.176221576151724,0.0847005730364467,0.118905427669373,0.0718815353762935,0.142963849204769,0.0763917495005565,0.0422537753021791,0.267789904369838,0.19215209780484
"M","Minganga",0.145449293956842,0.0630020142227827,0.108555654020052,0.0333920227421012,0.126391458500867,0.0972734845012125,0.106289528777583,0.12457203743557,0.0370545492542414
"M","betou",0.0703327368325993,0.211722539889988,0.0630122987086082,0.0563400470391077,0.106553922700575,0.077494737313291,0.0844599670532869,0.0838289991001831,0.0812229432505326
