"Response_Variable","Model","ELPD_Diff","SE_ELPD_Diff"
"times_fish","With Interaction",0,0
"times_fish","No Interaction",-16.9377037367797,7.41370114438942
"times_fish","Random intercept",-18.3286457959489,7.61034321443254
"times_bantu_work","With Interaction",0,0
"times_bantu_work","No Interaction",-8.05080154767762,5.85108263903685
"times_bantu_work","Random intercept",-11.6391274248475,6.05400429414863
"times_hunt","With Interaction",0,0
"times_hunt","No Interaction",-19.7930450846944,7.3248766570917
"times_hunt","Random intercept",-20.700535022793,8.00014886087532
"times_friend_visit","With Interaction",0,0
"times_friend_visit","No Interaction",-26.7663369744948,9.93912442462768
"times_friend_visit","Random intercept",-31.0764841890742,10.835613862762
"times_dance","With Interaction",0,0
"times_dance","No Interaction",-24.0344343214119,12.4203876689572
"times_dance","Random intercept",-26.0888142060285,13.9577598520233
"times_fam_visit","With Interaction",0,0
"times_fam_visit","No Interaction",-10.891220960243,6.62217335206417
"times_fam_visit","Random intercept",-14.2565363246419,7.34452252682463
"times_gather","With Interaction",0,0
"times_gather","No Interaction",-25.811806333455,8.38003994754303
"times_gather","Random intercept",-36.2542707409439,9.82884717107987
"times_live","With Interaction",0,0
"times_live","No Interaction",-2.08876733850165,0.897023055541294
"times_live","Random intercept",-2.35842858799321,2.55752068761652
"times_just_visit","With Interaction",0,0
"times_just_visit","No Interaction",-57.9743693679963,14.0101117330114
"times_just_visit","Random intercept",-59.5216897648983,14.3790206828654
