"","residence_camp","ref","sex","birthplace","age","median_dist","max_dist","min_dist","places_visited","times_gather","region"
"4","Kakélo6","M151","F","Bangui","Adulte",NA,-Inf,-Inf,4,0,"Macao"
"5","Boua2","M75","F","Bangui","FALSE",5575.84522969069,9011.84018413536,2139.85027524602,5,3,"Macao"
"7","Kakélo4","M167","M","Bangui","Adulte",NA,-Inf,-Inf,7,0,"Macao"
"8","Boua1","M90","F","Bangui","Adulte",9172.8837897126,10411.3955637844,2306.38930255378,10,5,"Macao"
"9","Kakélo6","M111","F","Bangui","Adulte",2341.8448165916,2796.94375733602,349.832173975241,8,3,"Macao"
"10","Kakélo4","M119","F","Bangui","Adolescent",NA,-Inf,-Inf,8,0,"Macao"
"13","Kakélo2","M132","F","Bangui","Adulte",14631.1288382643,14631.1288382643,14631.1288382643,1,1,"Macao"
"15","Kakélo5","M142","M","Bangui","Adolescent",NA,-Inf,-Inf,3,0,"Macao"
"17","Boua1","M63","F","Bangui","Personne âgée",9128.94671198502,9172.8837897126,9085.00963425744,4,2,"Macao"
"18","Bateké1","M11","M","Djoubou","Adulte",NA,-Inf,-Inf,3,0,"Macao"
"19","Kakélo4","M162","F","Bangui","Adulte",NA,-Inf,-Inf,1,0,"Macao"
"22","Boua2","M130","M","Bangui","Adulte",NA,-Inf,-Inf,11,0,"Macao"
"23","Boua2","M126","M","Bangui","Adulte",9011.84018413536,9011.84018413536,9011.84018413536,3,1,"Macao"
"27","Boua1","M68","F","Bangui","Adulte",NA,-Inf,-Inf,1,0,"Macao"
"31","Mopendé","M36","F","Papé","Personne âgée",NA,-Inf,-Inf,2,0,"Macao"
"32","Kakélo1","M94","M","Bangui","Personne âgée",NA,-Inf,-Inf,2,0,"Macao"
"33","Bakouengué","M32","F","Bayanga","Adulte",NA,-Inf,-Inf,1,0,"Macao"
"35","Kakélo2","M84","F","Bangui","Adulte",NA,-Inf,-Inf,0,0,"Macao"
"37","Bateké2","M15","F","Maca","Adolescent",NA,-Inf,-Inf,5,0,"Macao"
"38","Moyimbi","M2","M","Dongou","Adulte",NA,-Inf,-Inf,3,0,"Macao"
"39","Boua2","M74","M","Bangui","Adulte",NA,-Inf,-Inf,2,0,"Macao"
"40","Moyimbi","M5","F","Mobongo","Adulte",NA,-Inf,-Inf,0,0,"Macao"
"41","Bakouengué","M26","F","Macao","Adulte",NA,-Inf,-Inf,3,0,"Macao"
"42","Kakélo6","M154","F","Bangui","Adulte",NA,-Inf,-Inf,0,0,"Macao"
"43","Movossovosso","M81","M","Dongou","Personne âgée",NA,-Inf,-Inf,3,0,"Macao"
"44","Boua1","M93","M","Bangui","Adolescent",10265.7412178051,10411.3955637844,10120.0868718259,10,2,"Macao"
