"","age","sex","region","mean_fam_visit","mean_friend_visit","mean_gather","mean_hunt","mean_explore","mean_fish","mean_dance","mean_live"
"1","Adolescent","F","Enyelle",0.165432098765432,0.143427741466957,0.0580973129992738,0,0,0,0.391721132897604,0
"2","Adolescent","F","Macao",0.313333333333333,0.0266666666666667,0.131746031746032,0,0.0466666666666667,0.0607142857142857,0,0.206746031746032
"3","Adolescent","F","Minganga",0.0154320987654321,0,0.0283950617283951,0,0,0.183950617283951,0.0777777777777778,0.0283950617283951
"4","Adolescent","F","betou",0.0454545454545455,0.305555555555556,0,0,0.0227272727272727,0,0.0681818181818182,0.328282828282828
"5","Adolescent","M","Enyelle",0.15,0.125,0.0277777777777778,0,0.0277777777777778,0.0277777777777778,0.308333333333333,0.0555555555555556
"6","Adolescent","M","Macao",0.0714285714285714,0.0238095238095238,0.157142857142857,0.0238095238095238,0.107142857142857,0.0238095238095238,0.0714285714285714,0.144047619047619
"7","Adolescent","M","Minganga",0.0266955266955267,0.0503777268483151,0.0353535353535354,0.0213903743315508,0.113636363636364,0.183766233766234,0.0165945165945166,0.0574569221628045
"8","Adolescent","M","betou",0,0.15,0.166666666666667,0,0,0.15,0,0.105555555555556
"9","Adulte","F","Enyelle",0.183523071131767,0.0661663927224568,0.0423552470920892,0,0.0294871794871795,0.0346459756871656,0.104304603354947,0.0931929181929182
"10","Adulte","F","Macao",0.155191533176608,0.0860163468372424,0.178212210674897,0,0.0247799464217375,0.0506633499170813,0.0390547263681593,0.120522388059701
"11","Adulte","F","Minganga",0.163392981072935,0.0285998697724704,0.101673654110767,0,0.0141520467836257,0.111551408043281,0.0700291375291375,0.0210166441745389
"12","Adulte","F","betou",0.128993815156917,0.122126440107724,0.033023560663935,0,0.0247607376283847,0.0710779490859705,0.0503502365133381,0.0636561856147418
"13","Adulte","M","Enyelle",0.228202568200633,0.128152237339544,0.0308703525576591,0.0629076186970924,0.0764423076923077,0.0384060057589469,0.101097627862334,0.0737472943722944
"14","Adulte","M","Macao",0.14440688687264,0.0953690525608334,0.0686127419004131,0.0284735812133072,0.086252446183953,0.0553949475182352,0.011052303860523,0.118449662970211
"15","Adulte","M","Minganga",0.138483529969598,0.0386068841951195,0.0857133061854424,0.00870870870870871,0.0465267899478426,0.149695117496975,0.0842395801374129,0.017788841473052
"16","Adulte","M","betou",0.105872914963824,0.172067237575259,0.0106060606060606,0.012987012987013,0.0705211455211455,0.0438228438228438,0.043128084037175,0.0742522628886265
"17","Personne âgée","F","Enyelle",0.184623820623821,0.0395972915972916,0.0843956043956044,0,0.05,0.0243933843933844,0.140380952380952,0.0943809523809524
"18","Personne âgée","F","Macao",0.444117647058824,0,0.129411764705882,0,0.0588235294117647,0.0196078431372549,0,0.107843137254902
"19","Personne âgée","F","Minganga",0.235581421502474,0.00947712418300654,0.0427015250544662,0,0.00784313725490196,0.14790073474284,0.0254985754985755,0.109030280578268
"20","Personne âgée","F","betou",0.111111111111111,0.0694444444444444,0.106060606060606,0,0.0643939393939394,0,0,0.133838383838384
"21","Personne âgée","M","Enyelle",0.354761904761905,0,0,0,0.0738095238095238,0.0333333333333333,0,0.0821428571428571
"22","Personne âgée","M","Macao",0.305860805860806,0.0256410256410256,0.0384615384615385,0.0384615384615385,0.0576923076923077,0.0352564102564103,0,0.240384615384615
"23","Personne âgée","M","Minganga",0.0688552188552189,0,0.162962962962963,0.0303030303030303,0.181397306397306,0.118939393939394,0.0159090909090909,0.0680976430976431
"24","Personne âgée","M","betou",0.0909090909090909,0.0909090909090909,0,0,0.310606060606061,0,0,0.0871212121212121
