,residence_camp,ref,sex,birthplace,age,median_dist,max_dist,min_dist,region,places_visited,times_live,times_just_visit,times_hunt,times_friend_visit,times_dance,times_fam_visit,times_fish,times_gather
4,Kakélo6,M151,F,Bangui,Adulte,NA,#NAME?,#NAME?,Macao,4,0,0,0,1,0,0,0,0
5,Boua2,M75,F,Bangui,FALSE,NA,#NAME?,#NAME?,Macao,5,1,0,0,0,0,0,0,3
7,Kakélo4,M167,M,Bangui,Adulte,NA,#NAME?,#NAME?,Macao,7,0,0,1,2,0,0,0,0
8,Boua1,M90,F,Bangui,Adulte,NA,#NAME?,#NAME?,Macao,10,2,0,0,0,0,1,0,5
9,Kakélo6,M111,F,Bangui,Adulte,NA,#NAME?,#NAME?,Macao,8,1,0,0,1,0,1,0,3
10,Kakélo4,M119,F,Bangui,Adolescent,NA,#NAME?,#NAME?,Macao,8,1,0,0,0,0,0,1,0
13,Kakélo2,M132,F,Bangui,Adulte,NA,#NAME?,#NAME?,Macao,1,0,0,0,0,0,0,0,1
15,Kakélo5,M142,M,Bangui,Adolescent,NA,#NAME?,#NAME?,Macao,3,0,0,1,1,0,1,0,0
17,Boua1,M63,F,Bangui,Personne âgée,NA,#NAME?,#NAME?,Macao,4,0,0,0,0,0,0,0,2
18,Bateké1,M11,M,Djoubou,Adulte,NA,#NAME?,#NAME?,Macao,3,0,2,0,1,0,0,0,0
19,Kakélo4,M162,F,Bangui,Adulte,NA,#NAME?,#NAME?,Macao,1,0,0,0,1,0,0,0,0
22,Boua2,M130,M,Bangui,Adulte,63692.40721,86475.39399,40909.42043,Macao,11,0,0,0,1,2,1,5,0
23,Boua2,M126,M,Bangui,Adulte,NA,#NAME?,#NAME?,Macao,3,0,0,0,1,0,0,1,1
27,Boua1,M68,F,Bangui,Adulte,NA,#NAME?,#NAME?,Macao,1,0,0,0,1,0,0,0,0
31,Mopendé,M36,F,Papé,Personne âgée,NA,#NAME?,#NAME?,Macao,2,0,1,0,0,0,1,0,0
32,Kakélo1,M94,M,Bangui,Personne âgée,NA,#NAME?,#NAME?,Macao,2,2,0,0,0,0,0,0,0
33,Bakouengué,M32,F,Bayanga,Adulte,NA,#NAME?,#NAME?,Macao,1,0,0,0,1,0,0,0,0
35,Kakélo2,M84,F,Bangui,Adulte,NA,#NAME?,#NAME?,Macao,0,0,0,0,0,0,0,0,0
37,Bateké2,M15,F,Maca,Adolescent,NA,#NAME?,#NAME?,Macao,5,0,1,0,2,0,1,0,0
