"","age","sex","region","sd_fam_visit","sd_friend_visit","sd_gather","sd_hunt","sd_explore","sd_fish","sd_dance","sd_live"
"1","Adolescent","F","Enyelle",0.167814974210507,0.141736329040489,0.137621842390255,0,0,0,0.394441601540621,0
"2","Adolescent","F","Macao",0.44859569239806,0.103279555898864,0.282989654172831,0,0.135576371027375,0.144411190136827,0,0.354157496213141
"3","Adolescent","F","Minganga",0.0313996758478022,0,0.0669233740725654,0,0,0.346147720157299,0.171593835683117,0.0669233740725654
"4","Adolescent","F","betou",0.0909090909090909,0.378158849197447,0,0,0.0454545454545454,0,0.136363636363636,0.447912699623903
"5","Adolescent","M","Enyelle",0.3,0.144337567297406,0.0555555555555556,0,0.0555555555555556,0.0555555555555556,0.216666666666667,0.111111111111111
"6","Adolescent","M","Macao",0.19297807450728,0.0890870806374748,0.361012008567126,0.0890870806374748,0.28946711176092,0.0890870806374748,0.267261241912424,0.277935547381346
"7","Adolescent","M","Minganga",0.0397258061388031,0.0862000171895558,0.0870388279778489,0.0475905785268171,0.209870089687536,0.299951991547151,0.0379717816774637,0.0755994481737852
"8","Adolescent","M","betou",0,0.212132034355964,0.235702260395516,0,0,0.212132034355964,0,0.00785674201318385
"9","Adulte","F","Enyelle",0.228981654185888,0.159945020033488,0.112492830298626,0,0.0977955470207822,0.0801116552586246,0.203982026698617,0.167767077070468
"10","Adulte","F","Macao",0.265936155157742,0.227673269117783,0.301265394037174,0,0.0983490387546749,0.124693872761589,0.153537200846639,0.252588986379062
"11","Adulte","F","Minganga",0.21659543363083,0.0867445274271068,0.170044273236824,0,0.0421829143521337,0.139172731896698,0.2028090885513,0.0804143291666566
"12","Adulte","F","betou",0.213112111684835,0.170557418160835,0.0714305864217529,0,0.0452495565971497,0.134814526881959,0.0730811101052915,0.0727129734300984
"13","Adulte","M","Enyelle",0.237227271237723,0.202664767741354,0.0732588875687971,0.163510997816604,0.148265734140522,0.0929347907523522,0.162673159640015,0.126708085222461
"14","Adulte","M","Macao",0.27857647602517,0.206861222350924,0.189781445414818,0.0953243973693931,0.228402322624807,0.14402699805407,0.0498127801013885,0.247098542728802
"15","Adulte","M","Minganga",0.211999538337064,0.0854680716380155,0.14613607958592,0.0232973171676361,0.113151761793131,0.17430410326351,0.198375844492364,0.0478961887431513
"16","Adulte","M","betou",0.0804320991341219,0.263005031163513,0.034711758885228,0.0609144903873173,0.114874744955646,0.0975640475016141,0.0695089233119952,0.099877186407946
"17","Personne âgée","F","Enyelle",0.256136938311007,0.0766465026268613,0.158114160965033,0,0.204124145231931,0.0601553721360277,0.256837332375812,0.154439346397858
"18","Personne âgée","F","Macao",0.394358708347709,0,0.280099772140109,0,0.166052791038768,0.0808452083454443,0,0.269652402734805
"19","Personne âgée","F","Minganga",0.311865605015857,0.0254353716241201,0.137651524819452,0,0.0303763399702542,0.26365858582563,0.0664137029909339,0.147034582885196
"20","Personne âgée","F","betou",0.157134840263677,0.0833333333333333,0.157459164324443,0,0.0805314076722322,0,0,0.141504300263858
"21","Personne âgée","M","Enyelle",0.379087698287873,0,0,0,0.124676452015105,0.0816496580927726,0,0.102394794191653
"22","Personne âgée","M","Macao",0.334902225361907,0.0924500327042048,0.138675049056307,0.138675049056307,0.114789538620199,0.0959934559735381,0,0.364892268377075
"23","Personne âgée","M","Minganga",0.0885448269270425,0,0.218487128944483,0.0742269619025206,0.287241970939243,0.103668920989192,0.0246881374800005,0.0440413500346304
"24","Personne âgée","M","betou",0.128564869306645,0.128564869306645,0,0,0.203561043068855,0,0,0.00535686955444355
